	F_distichus_pep_CA	F_serratus_pep_CA	PUBLIC_Ectocarpus-sp7_proteins
F_distichus_pep_CA	0.0	4350.0	2981.0
F_serratus_pep_CA	4350.0	0.0	3205.0
PUBLIC_Ectocarpus-sp7_proteins	2981.0	3205.0	0.0
