	F_distichus_pep_CA	F_serratus_pep_CA	PUBLIC_Ectocarpus-sp7_proteins
F_distichus_pep_CA	6324	4799	4186
F_serratus_pep_CA	4799	7031	4774
PUBLIC_Ectocarpus-sp7_proteins	4186	4774	8287
