	F_distichus_pep_CA	F_serratus_pep_CA	PUBLIC_Ectocarpus-sp7_proteins
F_distichus_pep_CA	0.0	5285.0	4624.0
F_serratus_pep_CA	5720.0	0.0	5743.0
PUBLIC_Ectocarpus-sp7_proteins	6504.0	7638.0	0.0
