	F_distichus_pep_CA	F_serratus_pep_CA	PUBLIC_Ectocarpus-sp7_proteins
F_distichus_pep_CA	0.0	446.0	1095.0
F_serratus_pep_CA	185.0	0.0	1205.0
PUBLIC_Ectocarpus-sp7_proteins	160.0	412.0	0.0
