Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	54	54
OG0000001	52	52
OG0000002	50	50
OG0000003	44	44
OG0000004	45	45
OG0000005	38	38
OG0000006	30	28
OG0000007	33	33
OG0000008	32	32
OG0000009	32	32
OG0000010	30	30
OG0000011	26	23
OG0000012	21	21
OG0000013	27	27
OG0000014	25	25
OG0000015	26	26
OG0000016	24	24
OG0000017	25	25
OG0000018	25	25
OG0000019	23	23
OG0000020	17	14
OG0000021	22	22
OG0000022	22	22
OG0000023	22	22
OG0000024	15	15
OG0000025	16	15
OG0000026	14	10
OG0000027	20	20
OG0000028	21	21
OG0000029	11	10
OG0000030	17	17
OG0000031	19	19
OG0000032	14	13
OG0000033	18	18
OG0000034	16	15
OG0000035	18	18
OG0000036	19	19
OG0000037	11	11
OG0000038	11	9
OG0000039	16	16
OG0000040	15	14
OG0000041	18	18
OG0000042	18	18
OG0000043	18	18
OG0000044	11	9
OG0000045	12	12
OG0000046	17	17
OG0000047	16	16
OG0000048	17	17
OG0000049	17	17
OG0000050	17	17
OG0000051	11	10
OG0000052	12	12
OG0000053	11	11
OG0000054	14	14
OG0000055	13	13
OG0000056	15	15
OG0000057	16	16
OG0000058	16	16
OG0000059	16	16
OG0000060	11	11
OG0000061	13	13
OG0000062	10	10
OG0000063	10	9
OG0000064	12	12
OG0000065	10	7
OG0000066	14	14
OG0000067	13	13
OG0000068	13	13
OG0000069	15	15
OG0000070	15	15
OG0000071	7	3
OG0000072	13	13
OG0000073	6	6
OG0000074	8	7
OG0000075	10	9
OG0000076	10	10
OG0000077	8	7
OG0000078	14	14
OG0000079	13	13
OG0000080	13	13
OG0000081	13	13
OG0000082	13	13
OG0000083	14	14
OG0000084	14	14
OG0000085	14	14
OG0000086	8	8
OG0000087	9	9
OG0000088	10	10
OG0000089	8	8
OG0000090	9	9
OG0000091	12	12
OG0000092	12	12
OG0000093	13	13
OG0000094	13	13
OG0000095	13	13
OG0000096	13	13
OG0000097	13	13
OG0000098	7	7
OG0000099	10	10
OG0000100	11	11
OG0000101	9	9
OG0000102	9	9
OG0000103	11	11
OG0000104	10	10
OG0000105	11	11
OG0000106	12	12
OG0000107	12	12
OG0000108	12	12
OG0000109	12	12
OG0000110	12	12
OG0000111	7	7
OG0000112	7	7
OG0000113	6	5
OG0000114	7	6
OG0000115	7	7
OG0000116	9	9
OG0000117	10	10
OG0000118	6	6
OG0000119	6	6
OG0000120	7	7
OG0000121	8	8
OG0000122	8	8
OG0000123	8	7
OG0000124	9	9
OG0000125	8	6
OG0000126	8	6
OG0000127	10	10
OG0000128	11	11
OG0000129	11	11
OG0000130	11	11
OG0000131	11	11
OG0000132	11	11
OG0000133	11	11
OG0000134	7	7
OG0000135	7	7
OG0000136	5	5
OG0000137	6	6
OG0000138	7	7
OG0000139	5	5
OG0000140	4	4
OG0000141	7	7
OG0000142	8	8
OG0000143	6	6
OG0000144	8	8
OG0000145	7	7
OG0000146	8	8
OG0000147	9	9
OG0000148	9	9
OG0000149	10	10
OG0000150	10	10
OG0000151	10	10
OG0000152	10	10
OG0000153	10	10
OG0000154	10	10
OG0000155	4	4
OG0000156	6	6
OG0000157	7	7
OG0000158	5	5
OG0000159	5	5
OG0000160	3	2
OG0000161	6	6
OG0000162	5	5
OG0000163	3	2
OG0000164	7	7
OG0000165	6	6
OG0000166	5	5
OG0000167	6	6
OG0000168	6	6
OG0000169	6	6
OG0000170	8	8
OG0000171	6	6
OG0000172	7	7
OG0000173	6	5
OG0000174	6	6
OG0000175	6	6
OG0000176	6	6
OG0000177	9	9
OG0000178	8	8
OG0000179	8	8
OG0000180	9	9
OG0000181	8	8
OG0000182	8	8
OG0000183	8	8
OG0000184	9	9
OG0000185	9	9
OG0000186	9	9
OG0000187	9	9
OG0000188	9	9
OG0000189	9	9
OG0000190	9	9
OG0000191	9	9
OG0000192	9	9
OG0000193	5	5
OG0000194	4	4
OG0000195	6	6
OG0000196	5	5
OG0000197	5	5
OG0000198	7	7
OG0000199	5	5
OG0000200	7	7
OG0000201	3	3
OG0000202	6	6
OG0000203	6	6
OG0000204	5	5
OG0000205	5	5
OG0000206	6	6
OG0000207	4	4
OG0000208	6	6
OG0000209	6	6
OG0000210	5	5
OG0000211	7	7
OG0000212	3	3
OG0000213	6	6
OG0000214	4	4
OG0000215	5	5
OG0000216	4	4
OG0000217	5	5
OG0000218	6	6
OG0000219	8	8
OG0000220	7	7
OG0000221	7	7
OG0000222	7	7
OG0000223	8	8
OG0000224	8	8
OG0000225	8	8
OG0000226	8	8
OG0000227	8	8
OG0000228	8	8
OG0000229	8	8
OG0000230	8	8
OG0000231	8	8
OG0000232	8	8
OG0000233	8	8
OG0000234	8	8
OG0000235	8	8
OG0000236	8	8
OG0000237	5	5
OG0000238	5	5
OG0000239	5	5
OG0000240	3	3
OG0000241	4	4
OG0000242	3	3
OG0000243	5	5
OG0000244	4	4
OG0000245	4	4
OG0000246	4	4
OG0000247	3	3
OG0000248	4	4
OG0000249	5	5
OG0000250	6	6
OG0000251	5	5
OG0000252	5	5
OG0000253	5	5
OG0000254	5	5
OG0000255	5	5
OG0000256	6	6
OG0000257	5	5
OG0000258	4	4
OG0000259	4	4
OG0000260	6	6
OG0000261	3	3
OG0000262	3	3
OG0000263	4	4
OG0000264	5	5
OG0000265	5	5
OG0000266	4	3
OG0000267	4	4
OG0000268	4	4
OG0000269	5	5
OG0000270	4	4
OG0000271	5	5
OG0000272	5	5
OG0000273	5	5
OG0000274	5	5
OG0000275	4	2
OG0000276	5	5
OG0000277	5	5
OG0000278	5	5
OG0000279	5	5
OG0000280	6	6
OG0000281	5	5
OG0000282	6	6
OG0000283	5	5
OG0000284	6	6
OG0000285	6	6
OG0000286	6	6
OG0000287	4	4
OG0000288	5	5
OG0000289	6	6
OG0000290	5	5
OG0000291	6	6
OG0000292	6	6
OG0000293	6	6
OG0000294	6	6
OG0000295	6	6
OG0000296	7	7
OG0000297	7	7
OG0000298	7	7
OG0000299	7	7
OG0000300	7	7
OG0000301	7	7
OG0000302	7	7
OG0000303	7	7
OG0000304	7	7
OG0000305	7	7
OG0000306	7	7
OG0000307	7	7
OG0000308	7	7
OG0000309	7	7
OG0000310	7	7
OG0000311	7	7
OG0000312	4	4
OG0000313	3	3
OG0000314	2	2
OG0000315	3	3
OG0000316	2	2
OG0000317	3	3
OG0000318	4	4
OG0000319	5	5
OG0000320	3	2
OG0000321	2	2
OG0000322	4	4
OG0000323	4	4
OG0000324	3	3
OG0000325	3	3
OG0000326	5	5
OG0000327	3	3
OG0000328	5	5
OG0000329	3	3
OG0000330	3	3
OG0000331	5	5
OG0000332	4	4
OG0000333	4	4
OG0000334	5	5
OG0000335	4	4
OG0000336	3	3
OG0000337	3	3
OG0000338	2	1
OG0000339	4	4
OG0000340	4	4
OG0000341	2	1
OG0000342	4	4
OG0000343	2	2
OG0000344	4	4
OG0000345	3	1
OG0000346	3	3
OG0000347	3	3
OG0000348	3	3
OG0000349	4	4
OG0000350	4	4
OG0000351	5	5
OG0000352	5	5
OG0000353	3	3
OG0000354	4	4
OG0000355	3	3
OG0000356	4	4
OG0000357	4	4
OG0000358	5	5
OG0000359	4	4
OG0000360	2	2
OG0000361	3	3
OG0000362	4	4
OG0000363	4	4
OG0000364	4	4
OG0000365	4	4
OG0000366	3	3
OG0000367	4	4
OG0000368	3	3
OG0000369	3	3
OG0000370	3	3
OG0000371	3	2
OG0000372	4	4
OG0000373	4	4
OG0000374	5	5
OG0000375	2	2
OG0000376	4	4
OG0000377	5	5
OG0000378	4	4
OG0000379	5	5
OG0000380	4	4
OG0000381	5	5
OG0000382	6	6
OG0000383	5	5
OG0000384	5	5
OG0000385	5	5
OG0000386	5	5
OG0000387	5	5
OG0000388	5	5
OG0000389	5	5
OG0000390	5	5
OG0000391	5	5
OG0000392	5	5
OG0000393	6	6
OG0000394	6	6
OG0000395	6	6
OG0000396	6	6
OG0000397	6	6
OG0000398	6	6
