	F_distichus_pep_CA	F_serratus_pep_CA	PUBLIC_Ectocarpus-sp7_proteins
F_distichus_pep_CA	0.0	443.0	373.0
F_serratus_pep_CA	1113.0	0.0	1044.0
PUBLIC_Ectocarpus-sp7_proteins	3089.0	3619.0	0.0
