PS,GeneID,gamete
1,dis_TRINITY_DN11328_c0_g3,270.107823
8,dis_TRINITY_DN11349_c0_g1,157.834313
1,dis_TRINITY_DN11356_c1_g1,193.472809
7,dis_TRINITY_DN11358_c0_g1,167.02393899999998
8,dis_TRINITY_DN11369_c0_g4,260.195823
8,dis_TRINITY_DN11373_c0_g1,171.303873
8,dis_TRINITY_DN11387_c0_g1,306.751241
1,dis_TRINITY_DN11394_c0_g1,148.498389
1,dis_TRINITY_DN11394_c0_g4,251.703265
7,dis_TRINITY_DN1141_c0_g1,290.65473299999996
8,dis_TRINITY_DN1142_c0_g1,890.101795
1,dis_TRINITY_DN1143_c0_g1,200.735697
7,dis_TRINITY_DN11430_c0_g1,219.574201
2,dis_TRINITY_DN11473_c0_g1,1099.559312
8,dis_TRINITY_DN11497_c0_g1,189.423945
7,dis_TRINITY_DN11498_c0_g1,166.94198600000001
1,dis_TRINITY_DN115_c0_g1,562.1760919999999
7,dis_TRINITY_DN115_c0_g5,172.293479
8,dis_TRINITY_DN11502_c0_g1,345.288195
1,dis_TRINITY_DN11507_c0_g1,275.33484999999996
8,dis_TRINITY_DN11516_c0_g2,272.699303
2,dis_TRINITY_DN11516_c0_g3,300.825508
8,dis_TRINITY_DN11519_c0_g1,237.322897
8,dis_TRINITY_DN11526_c0_g1,277.11161200000004
8,dis_TRINITY_DN11537_c0_g5,130.10053
8,dis_TRINITY_DN1155_c0_g2,212.920303
7,dis_TRINITY_DN11567_c0_g1,136.351916
1,dis_TRINITY_DN1157_c0_g1,1803.101771
2,dis_TRINITY_DN11571_c0_g1,301.693317
7,dis_TRINITY_DN11577_c1_g1,203.596905
8,dis_TRINITY_DN11590_c0_g1,846.250096
1,dis_TRINITY_DN11596_c1_g1,568.563841
1,dis_TRINITY_DN11598_c0_g1,130
8,dis_TRINITY_DN11610_c0_g1,176.840885
1,dis_TRINITY_DN11619_c0_g4,484.358527
8,dis_TRINITY_DN11637_c0_g2,130.311632
8,dis_TRINITY_DN11647_c0_g3,200.526178
2,dis_TRINITY_DN11666_c0_g3,186.747313
1,dis_TRINITY_DN1167_c0_g3,250.109524
1,dis_TRINITY_DN1171_c0_g1,172.69153
1,dis_TRINITY_DN1172_c0_g2,263.289245
1,dis_TRINITY_DN11726_c0_g2,202.058622
1,dis_TRINITY_DN11747_c0_g1,1781.512927
8,dis_TRINITY_DN11754_c0_g1,163.814415
1,dis_TRINITY_DN11777_c0_g1,1373.730321
8,dis_TRINITY_DN11820_c0_g3,244.13727
7,dis_TRINITY_DN1184_c0_g1,130.434388
1,dis_TRINITY_DN11868_c0_g1,145.088296
1,dis_TRINITY_DN11889_c0_g1,131.501713
1,dis_TRINITY_DN1189_c0_g1,182.627009
1,dis_TRINITY_DN1190_c1_g1,164.530188
8,dis_TRINITY_DN11911_c0_g1,142.602004
6,dis_TRINITY_DN11911_c0_g2,199.108023
7,dis_TRINITY_DN11917_c0_g1,404.707204
8,dis_TRINITY_DN1192_c0_g1,136.31784
8,dis_TRINITY_DN11943_c0_g3,210.592996
8,dis_TRINITY_DN11971_c0_g5,266.26691900000003
1,dis_TRINITY_DN12_c0_g2,150.767225
7,dis_TRINITY_DN12008_c0_g1,130.048263
8,dis_TRINITY_DN1201_c0_g1,132.513011
1,dis_TRINITY_DN12016_c0_g1,180.251387
8,dis_TRINITY_DN12045_c0_g6,241.655254
2,dis_TRINITY_DN12047_c0_g1,171.765205
1,dis_TRINITY_DN1209_c0_g2,146.405589
1,dis_TRINITY_DN1210_c0_g1,173.76027
7,dis_TRINITY_DN12124_c0_g1,134.203111
8,dis_TRINITY_DN1214_c0_g1,144.133406
8,dis_TRINITY_DN12158_c0_g1,135.353955
3,dis_TRINITY_DN1216_c2_g1,327.19366
8,dis_TRINITY_DN12164_c0_g1,322.385105
1,dis_TRINITY_DN12173_c0_g1,300.94721200000004
1,dis_TRINITY_DN12195_c0_g1,416.998049
7,dis_TRINITY_DN1221_c0_g2,280.81143199999997
1,dis_TRINITY_DN1222_c0_g1,244.014704
8,dis_TRINITY_DN1225_c1_g2,168.429318
8,dis_TRINITY_DN1227_c1_g1,130.672115
2,dis_TRINITY_DN12274_c0_g1,157.177508
1,dis_TRINITY_DN1228_c0_g1,208.55918
8,dis_TRINITY_DN123_c1_g3,130.321515
8,dis_TRINITY_DN123_c1_g4,1180.358259
1,dis_TRINITY_DN12300_c0_g1,546.6404
1,dis_TRINITY_DN12314_c0_g1,178.550385
1,dis_TRINITY_DN12334_c0_g1,228.238956
1,dis_TRINITY_DN12344_c0_g1,142.751311
6,dis_TRINITY_DN12352_c0_g1,342.125291
2,dis_TRINITY_DN12354_c0_g1,134.007477
7,dis_TRINITY_DN12363_c0_g5,188.427887
8,dis_TRINITY_DN1237_c0_g1,170.853756
4,dis_TRINITY_DN12372_c0_g1,639.1761260000001
8,dis_TRINITY_DN12379_c0_g3,849.010157
2,dis_TRINITY_DN12383_c0_g3,485.141634
1,dis_TRINITY_DN12401_c0_g2,167.950504
8,dis_TRINITY_DN12428_c0_g1,208.082152
1,dis_TRINITY_DN1243_c0_g1,238.985753
8,dis_TRINITY_DN1245_c0_g1,170.397499
1,dis_TRINITY_DN12458_c0_g1,138.385045
1,dis_TRINITY_DN12489_c0_g1,248.51829
3,dis_TRINITY_DN12489_c0_g2,234.89877
8,dis_TRINITY_DN12553_c0_g8,216.992748
8,dis_TRINITY_DN12566_c1_g2,183.011351
8,dis_TRINITY_DN12566_c1_g7,302.02166
1,dis_TRINITY_DN12588_c0_g1,260.53319
1,dis_TRINITY_DN126_c0_g1,142.444716
8,dis_TRINITY_DN1261_c0_g1,229.053446
2,dis_TRINITY_DN1263_c0_g1,130
1,dis_TRINITY_DN12674_c2_g2,235.134076
1,dis_TRINITY_DN1268_c0_g1,159.261231
1,dis_TRINITY_DN1269_c1_g2,314.45106499999997
1,dis_TRINITY_DN12709_c0_g3,243.403818
7,dis_TRINITY_DN12718_c0_g1,192.866502
8,dis_TRINITY_DN12726_c0_g2,271.53060700000003
1,dis_TRINITY_DN12756_c0_g2,265.958699
7,dis_TRINITY_DN12758_c0_g1,293.176306
7,dis_TRINITY_DN1276_c0_g2,177.252972
2,dis_TRINITY_DN12770_c0_g1,148.924432
1,dis_TRINITY_DN12775_c0_g1,274.94039599999996
1,dis_TRINITY_DN12777_c0_g1,265.500125
