PS,GeneID,gamete,S1,S2,S3,S4,S4.5,S5,matSP
7,dis_TRINITY_DN100_c0_g1,16.201188366906916,14.679683647817482,14.64929779887077,15.711642212066822,15.073424527956478,13.031852247474262,14.635074000496205,17.70902490257439
1,dis_TRINITY_DN10021_c0_g3,16.200065879495675,16.936707560798233,17.376674106399072,18.215764175570566,14.815222408050444,15.302956773120677,14.675275653288425,14.507220167902602
7,dis_TRINITY_DN10021_c0_g5,12.301617129467166,13.326282302277706,12.71386825478383,14.634226679261191,16.81428764473833,17.366838198129216,16.51561598911769,13.433411089518552
1,dis_TRINITY_DN10032_c0_g1,29.20284012728899,37.927829769181365,37.38018452335408,61.55186275410355,52.68385720503008,56.23078704766633,65.1143031714231,56.71811959594571
2,dis_TRINITY_DN1004_c0_g2,11.765393873559864,13.518452278275054,14.449236450414949,13.883778052100949,14.185220900641626,13.779899927067685,13.695416678582657,13.524245856978496
1,dis_TRINITY_DN10045_c0_g1,22.540180933169104,14.68218634945082,18.70568258578125,15.588036887305599,14.308564568117935,12.412220711862966,13.094399795332354,11.379341654946476
1,dis_TRINITY_DN10051_c0_g1,19.253989287937188,21.355964342543746,20.051278986638234,20.053420418970926,21.347868699240212,21.760959284921242,20.51724758587272,18.555846571902883
3,dis_TRINITY_DN10059_c0_g1,13.637008231280056,13.344015999690647,13.59633855124239,15.041954843038187,13.166253719262743,12.667446782994592,13.51641653693759,12.513902668632197
7,dis_TRINITY_DN10059_c0_g2,13.389534289884768,14.805975482892034,14.964668456066777,15.155294536893699,13.058997511294656,12.337715145033945,12.08784225989072,11.64453414697213
1,dis_TRINITY_DN10061_c0_g1,11.234510915033194,11.224972160321824,11.224972160321824,11.224972160321824,11.237787104230085,11.235342228877588,11.832326060416015,11.232939530683854
1,dis_TRINITY_DN10067_c0_g2,11.41494250971068,11.583227486326942,11.91961291317801,19.959187596192386,13.810061947724927,13.164588409821251,16.962528599828506,16.08196677959509
1,dis_TRINITY_DN10080_c0_g1,11.224972160321824,11.224972160321824,11.224972160321824,11.224972160321824,11.224972160321824,11.224972160321824,11.549098839303438,11.245451902880559
