PS,GeneID,gamete,S1,S2,S3,S4,S4.5,S5,matSP
1,dis_TRINITY_DN18815_c0_g6,25.8554695,0.408233,0.292402,0.1913045,0,0,0,0
8,dis_TRINITY_DN18819_c0_g1,18.7932245,17.859273,30.003181,21.733685,29.568569,27.226478,25.947161,24.6118105
8,dis_TRINITY_DN18822_c0_g1,121.46500599999999,134.311029,53.343982,73.935024,84.721274,111.213284,115.4742215,130.71094
1,dis_TRINITY_DN18833_c0_g1,0.130966,0,0,0.015889,0.082824,2.195487,25.1139115,0.139536
8,dis_TRINITY_DN1884_c0_g1,46.45277900000001,28.323123,22.892204,27.3702985,27.37208,24.743127,19.815993,18.292044
8,dis_TRINITY_DN1885_c0_g1,7.304093,47.146098,84.684995,89.774491,68.570366,57.431634,97.15771050000001,37.85897
8,dis_TRINITY_DN18855_c0_g1,5.3007135000000005,18.164558,24.274732,72.4766055,58.179562,19.161887,70.99749800000001,19.802318
1,dis_TRINITY_DN18855_c0_g3,10.9920865,33.076493,46.745243,55.6588925,52.2003,42.83092,19.184518500000003,5.464959
2,dis_TRINITY_DN1886_c0_g2,9.951767,10.531531,17.846609,26.521583,41.026639,41.122571,23.343953,22.3703425
8,dis_TRINITY_DN18860_c0_g1,111.6472375,72.524594,81.51839,90.30467949999999,95.018364,78.001176,87.526655,120.892849
2,dis_TRINITY_DN18863_c3_g1,11.9296525,6.154316,3.217769,3.895568,0.328846,0.754368,0,0.7794589999999999
1,dis_TRINITY_DN18868_c0_g2,44.3651215,38.12163,65.780685,134.316643,130.565758,104.703371,57.222781,37.298103
8,dis_TRINITY_DN1887_c0_g1,3.9384989999999998,4.206501,7.780301,20.9588695,11.605306,9.853754,18.5041655,3.79078
1,dis_TRINITY_DN18884_c0_g1,111.57941699999999,110.818552,133.985481,175.34944050000001,164.32815,163.081689,110.0750695,83.0925215
6,dis_TRINITY_DN18890_c0_g3,20.0725205,19.597641,17.074327,11.70316,21.431528,21.0289,21.347299999999997,20.5921045
2,dis_TRINITY_DN18898_c0_g1,26.847919,34.383548,48.993112000000004,25.156140999999998,18.431487,13.237509,10.3473735,20.6986
7,dis_TRINITY_DN18898_c1_g1,5.588019,8.046286,10.062111,5.538033,7.427522,4.692508,5.970563,5.269334499999999
5,dis_TRINITY_DN1890_c0_g2,73.595946,210.598904,338.255561,324.75235999999995,240.601774,163.705566,117.0077055,119.68345
1,dis_TRINITY_DN18904_c0_g1,2.797888,30.457293,58.871046,60.990334000000004,77.17354,67.806177,46.167887500000006,36.864355
8,dis_TRINITY_DN1891_c0_g1,1.6633390000000001,7.644795,5.731032,4.2524655,2.99757,2.905036,5.390673,3.406414
8,dis_TRINITY_DN18925_c0_g2,12.8791425,10.617485,9.697333,12.062853,5.983009,6.664453,7.270982999999999,11.3375395
1,dis_TRINITY_DN18925_c0_g3,91.087935,100.570386,93.221319,75.7878155,63.573172,72.666302,56.6594945,86.49727
2,dis_TRINITY_DN1893_c0_g1,12.043047000000001,67.077938,95.856455,64.6249965,62.719036,41.723308,43.876795,28.922271000000002
8,dis_TRINITY_DN18933_c0_g1,11.540322499999998,12.216539,11.567905,12.0090905,7.854024,6.840771,7.959220500000001,5.251757
8,dis_TRINITY_DN18933_c0_g3,27.743214000000002,60.493039,40.778874,47.340317999999996,38.244255,30.811252,38.363156000000004,31.64354
1,dis_TRINITY_DN1894_c0_g1,14.7518505,14.379117,18.807935,28.182443499999998,31.306683,15.384808,25.332935499999998,20.405098000000002
8,dis_TRINITY_DN18944_c0_g1,0.0331705,0,0,0,0,0.051945,5.4663255,0.1413505
8,dis_TRINITY_DN18950_c0_g1,15.9745545,59.730791,83.631684,80.694755,90.404538,77.72966,58.3102035,52.922661000000005
1,dis_TRINITY_DN18958_c0_g1,24.3092635,55.137469,59.379505,65.156098,55.768278,52.097369,43.974624,47.744799
8,dis_TRINITY_DN18959_c0_g2,19.8160435,27.620165,18.224143,10.934476499999999,7.426723,7.791083,15.924446999999999,15.651549000000001
1,dis_TRINITY_DN1896_c2_g1,20.762134000000003,44.290521,36.662727,15.695128,20.480778,8.669338,36.902759,10.6143585
1,dis_TRINITY_DN18962_c0_g3,46.1115175,72.692146,92.946735,134.09951949999999,185.951824,169.77816,85.6670215,72.75830049999999
8,dis_TRINITY_DN18967_c0_g1,3.6617764999999998,15.977236,17.271825,4.8176655,3.546494,2.57282,1.990894,1.665783
8,dis_TRINITY_DN1898_c0_g1,11.136446,25.154897,38.372929,41.699313000000004,25.324366,17.973699,18.372175499999997,15.4325955
1,dis_TRINITY_DN18983_c0_g2,14.6305425,22.543895,20.594965,17.338464000000002,16.111102,12.888077,15.4604295,17.2339095
