PS,GeneID,gamete,S1,S2,S3,S4,S5,matSP
1,ser_TRINITY_DN2245_c0_g1,146.49576000000002,154.226605,170.89293750000002,198.097512,200.456279,179.123284,191.6192405
8,ser_TRINITY_DN22480_c0_g1,158.24465500000002,207.059571,227.88640550000002,166.0119,211.322052,233.688325,154.433988
8,ser_TRINITY_DN2249_c0_g2,156.2497425,250.153423,236.648628,206.457917,197.83843,200.096222,195.364234
1,ser_TRINITY_DN22509_c0_g3,161.9761325,221.336013,251.882184,221.840088,231.29509,246.305788,187.53739050000001
2,ser_TRINITY_DN2251_c2_g2,155.383146,319.164127,261.0057785,183.781253,188.870516,195.294974,164.0105055
8,ser_TRINITY_DN2267_c0_g1,155.740293,151.133761,151.224448,158.035913,162.429535,163.564487,185.31919900000003
8,ser_TRINITY_DN22670_c0_g1,151.515794,145.57477,147.69915500000002,165.609098,189.305389,185.922663,165.795649
8,ser_TRINITY_DN227_c0_g2,163.0534915,335.131476,280.710843,191.036874,180.833556,179.561089,194.669081
1,ser_TRINITY_DN22703_c0_g1,152.3870875,198.727576,254.82753400000001,174.482831,175.974015,193.563463,169.871772
8,ser_TRINITY_DN2274_c0_g3,191.578811,362.13503,710.743465,293.949272,275.580284,373.954774,253.0775195
1,ser_TRINITY_DN22818_c0_g2,156.5877245,153.440671,160.18697550000002,181.601247,226.665398,201.447012,146.4129745
1,ser_TRINITY_DN22892_c0_g1,150.84239200000002,178.863639,224.4583045,347.33525199999997,284.177017,235.777993,195.1660185
1,ser_TRINITY_DN2300_c0_g1,166.36055249999998,191.094438,181.3316135,198.804069,241.335401,235.336943,140.1281915
7,ser_TRINITY_DN23095_c0_g1,199.653946,217.139465,222.0495025,201.798255,185.330184,185.45094,197.8579
3,ser_TRINITY_DN2310_c0_g2,707.1083395,143.035568,140.83142700000002,140.526231,142.06158,142.334858,141.856046
1,ser_TRINITY_DN2314_c0_g1,345.945083,291.734831,318.617877,445.983878,204.229421,185.569745,182.7564165
1,ser_TRINITY_DN23140_c0_g3,164.929665,211.47124,290.25991550000003,351.631716,331.226308,303.170756,188.216782
1,ser_TRINITY_DN23175_c0_g1,173.4956425,248.373172,459.731379,256.02835500000003,291.024428,345.058743,198.569513
8,ser_TRINITY_DN2320_c0_g2,168.466575,449.173809,354.786273,277.320603,242.200224,312.616894,174.34871800000002
1,ser_TRINITY_DN23210_c0_g2,173.7884955,230.059261,226.808894,192.24261,193.503979,204.590456,166.201845
1,ser_TRINITY_DN2325_c0_g1,191.1023315,181.06447,172.10150750000003,277.070926,202.381155,199.836373,168.231069
1,ser_TRINITY_DN2325_c0_g2,266.5160905,495.091098,306.16913850000003,243.826375,307.555569,432.746282,229.60710799999998
1,ser_TRINITY_DN2325_c1_g1,151.723389,164.431177,189.4023325,234.15344,207.109258,205.456156,188.64037000000002
8,ser_TRINITY_DN2325_c2_g1,139.631038,219.066271,240.774067,155.691319,149.528757,149.127524,141.0855295
1,ser_TRINITY_DN2327_c2_g1,195.980021,152.06433,149.795253,141.538258,143.460638,142.11255,142.449275
7,ser_TRINITY_DN23279_c0_g1,160.2127695,456.594751,360.41790549999996,201.151961,187.206007,241.926372,169.014869
1,ser_TRINITY_DN23352_c0_g1,156.5617025,163.105809,208.932106,197.397449,157.598361,173.64657499999998,157.686015
8,ser_TRINITY_DN23356_c0_g1,146.34560199999999,226.345769,155.242688,147.810311,144.594397,144.540724,142.144569
8,ser_TRINITY_DN234_c0_g3,456.3992995,179.976226,217.4780845,193.357441,178.202094,194.792914,155.46837549999998
2,ser_TRINITY_DN23438_c0_g1,232.1233705,139.151301,139.8776105,139.155566,139,139.133649,139
2,ser_TRINITY_DN23440_c0_g1,383.4343795,154.40058,148.1087435,164.181367,171.77660600000002,172.585726,170.26355
8,ser_TRINITY_DN23448_c1_g1,192.7456745,250.182561,334.2005875,258.868803,229.767648,226.75615,185.23343
8,ser_TRINITY_DN23462_c0_g2,165.266535,164.407196,156.0767255,168.970946,164.06021,174.76857,141.7595915
7,ser_TRINITY_DN23472_c0_g1,179.304098,250.43476,240.49163399999998,221.709064,223.230584,235.5935,225.1111195
1,ser_TRINITY_DN23496_c0_g1,212.673474,229.329368,258.201904,420.753138,309.35409000000004,316.00857099999996,235.9861855
4,ser_TRINITY_DN23510_c0_g1,153.654505,169.098033,181.2285585,186.103086,202.813223,202.863137,186.90928250000002
1,ser_TRINITY_DN23515_c0_g3,147.1330335,185.779052,186.99136399999998,250.131569,241.923048,215.343989,140.5934295
1,ser_TRINITY_DN23552_c0_g1,146.83111,213.63135,351.6503665,218.299254,219.371828,264.339311,150.0079045
7,ser_TRINITY_DN2357_c0_g4,144.890067,155.508058,188.31923849999998,194.005902,193.151769,189.308367,169.21237200000002
1,ser_TRINITY_DN23571_c0_g1,172.290949,139,139.2766235,139,143.246211,142.481886,139
8,ser_TRINITY_DN23584_c0_g1,147.6777335,238.044235,318.318797,173.081469,220.864216,228.625703,216.60569850000002
8,ser_TRINITY_DN23631_c0_g1,153.7798915,212.320719,269.5422905,192.983965,200.452516,205.086983,172.27851950000002
1,ser_TRINITY_DN23652_c0_g2,147.792957,241.450896,291.1561875,174.084251,224.839777,205.0853,147.04488750000002
7,ser_TRINITY_DN23664_c0_g3,203.9059475,289.28645900000004,381.776335,363.253034,382.081455,373.102432,246.06844949999999
8,ser_TRINITY_DN23687_c0_g3,145.4105415,222.908397,232.05566249999998,191.363131,190.585039,196.978643,167.52113250000002
6,ser_TRINITY_DN23711_c0_g1,289.96461899999997,139,139,139,139,139,139
8,ser_TRINITY_DN23711_c0_g3,203.1027815,149.762344,151.4995965,153.203405,162.843505,163.703202,165.571329
8,ser_TRINITY_DN23711_c0_g5,388.466869,140.041384,141.397258,146.441847,153.472804,148.752387,146.032963
7,ser_TRINITY_DN23725_c0_g1,169.009287,188.360145,211.707067,180.673578,179.694378,202.600845,209.3428285
1,ser_TRINITY_DN2377_c0_g2,149.346074,232.990761,302.730508,226.263732,200.415991,240.593021,140.80980899999997
2,ser_TRINITY_DN2378_c0_g1,169.7555105,200.119086,201.12136800000002,264.573228,293.90911900000003,305.94009700000004,162.276523
1,ser_TRINITY_DN23783_c0_g1,201.465188,222.343001,226.270146,213.603724,231.137475,221.307959,211.600282
8,ser_TRINITY_DN2384_c0_g1,186.184493,327.64554599999997,289.72753,230.388813,257.109341,278.990494,197.067476
7,ser_TRINITY_DN2387_c1_g1,156.798766,203.645875,233.265928,208.069158,228.784352,238.693065,222.6268205
4,ser_TRINITY_DN23916_c0_g1,146.04602,189.355613,199.7539215,181.833099,194.451867,217.945583,237.545527
1,ser_TRINITY_DN2393_c0_g1,164.978578,163.810875,194.434544,212.731011,187.890851,170.284977,155.419128
1,ser_TRINITY_DN23945_c0_g1,229.06854049999998,169.043322,199.573694,198.099744,222.886127,228.063093,176.6797745
1,ser_TRINITY_DN2397_c0_g1,157.33963549999999,211.629238,248.6825605,180.163455,179.566499,182.441243,170.30003549999998
1,ser_TRINITY_DN2399_c0_g1,149.914605,179.001707,153.11744,154.025658,164.10277200000002,175.387131,153.4575955
1,ser_TRINITY_DN23990_c0_g1,159.16812249999998,260.217809,199.3406255,180.358032,180.306258,202.850609,162.65984
8,ser_TRINITY_DN240_c0_g1,221.14971999999997,172.436282,178.0405825,185.938065,209.867093,201.286667,201.454577
8,ser_TRINITY_DN240_c0_g2,211.7150795,357.37149999999997,345.08493599999997,255.371367,241.151691,285.82278099999996,185.727671
7,ser_TRINITY_DN2401_c0_g1,166.4188775,207.895478,196.5200385,193.167488,202.572883,209.163884,194.98563000000001
1,ser_TRINITY_DN24039_c0_g2,206.59649100000001,174.142806,161.835785,177.986045,210.797894,192.463148,162.0143525
1,ser_TRINITY_DN2406_c0_g1,388.4508285,179.481144,161.2173985,146.180054,153.639918,157.229211,161.96756449999998
8,ser_TRINITY_DN2407_c0_g1,197.340391,272.161557,217.78299750000002,222.054395,202.666132,237.061995,199.26853699999998
1,ser_TRINITY_DN24088_c0_g1,173.1881935,183.384317,170.89389649999998,180.473779,186.004914,198.053744,208.460467
2,ser_TRINITY_DN24102_c0_g1,169.31796,200.915061,174.2585255,163.32557,169.621208,179.613384,166.0012245
2,ser_TRINITY_DN2412_c0_g2,145.12104,252.587681,325.9763575,176.349606,149.808981,160.265984,146.7961315
8,ser_TRINITY_DN24222_c0_g2,680.801101,139.228576,139.05255599999998,139,139,139,139
