PS,GeneID,holdfast,reptip,stipe,vegtip
7,dis_TRINITY_DN100_c0_g1,17.645089203514953,17.772730600557697,18.236885507125386,15.156422434070647
1,dis_TRINITY_DN10021_c0_g3,14.417098945349581,16.34934206627288,13.42116921136158,15.249622618281412
7,dis_TRINITY_DN10021_c0_g5,13.674952504487903,13.343481742034198,13.046944661490674,12.914800540465192
1,dis_TRINITY_DN10032_c0_g1,53.66580557487235,58.503571916593266,62.96957243780523,55.57830236702089
2,dis_TRINITY_DN1004_c0_g2,13.772528235585506,13.101641652861675,13.934089134206081,13.209646096697671
1,dis_TRINITY_DN10045_c0_g1,11.398877400867157,13.347434734809532,11.336072864974009,11.26417129663785
1,dis_TRINITY_DN10051_c0_g1,16.54213514030157,19.244052146052816,17.72950591528145,22.920880109629298
3,dis_TRINITY_DN10059_c0_g1,13.359725483706617,12.956466802334655,12.52002551914332,12.01702429888531
7,dis_TRINITY_DN10059_c0_g2,11.352782830654341,12.107702094121741,11.444189923275479,12.295323297904776
1,dis_TRINITY_DN10061_c0_g1,11.230408184923645,11.268529806500934,11.279589043932408,11.2319052702558
1,dis_TRINITY_DN10067_c0_g2,14.170970291409123,15.949343372063941,16.213505389026764,21.3561711455963
1,dis_TRINITY_DN10080_c0_g1,11.24923890758837,11.2448631383401,11.249751375030472,11.224972160321824
1,dis_TRINITY_DN10087_c0_g1,11.224972160321824,12.338255954550466,11.224972160321824,11.224972160321824
2,dis_TRINITY_DN101_c0_g1,12.220388578109945,11.839221933894136,11.994375306784427,11.501920144045515
1,dis_TRINITY_DN10172_c0_g1,13.963471631367323,17.118235685957828,14.712145730653976,14.15140879912668
1,dis_TRINITY_DN102_c0_g1,34.2329494493244,33.785558616071455,40.60554854942856,37.91074130111412
1,dis_TRINITY_DN1020_c0_g1,16.538345715336828,21.323213664923962,13.691615646080633,15.61916540664065
8,dis_TRINITY_DN10208_c0_g1,12.136551116359211,12.390427635880853,11.77811670005014,11.462963273080831
3,dis_TRINITY_DN10219_c0_g1,12.411714668006189,12.404930028017086,12.906536483503233,12.118557216104564
1,dis_TRINITY_DN10236_c0_g1,11.70216129610253,13.884019230755912,14.94019732132076,12.885459246763384
7,dis_TRINITY_DN10242_c0_g1,15.88105534906292,15.30583287508393,14.293252324086355,13.761250996911581
1,dis_TRINITY_DN10249_c1_g1,18.690260271060968,13.935125259573377,13.260258255403626,11.65646734649911
8,dis_TRINITY_DN10280_c0_g4,16.665752908284702,18.138709380769075,14.942697213020145,15.876551231297054
8,dis_TRINITY_DN10304_c0_g1,14.01222319976384,13.137193231432656,13.3955990160948,12.742136516298984
7,dis_TRINITY_DN10305_c0_g5,16.516867439075728,14.47213346400592,16.00002874997417,18.865956323494444
8,dis_TRINITY_DN10336_c0_g1,13.140937181190694,13.361643798575084,12.438992041158318,12.211159322521347
1,dis_TRINITY_DN1035_c0_g1,13.747240632214162,14.213876037168749,12.883009780326956,13.031845341316785
8,dis_TRINITY_DN10357_c0_g1,12.999773344177967,13.432944130011112,13.838097593238746,12.851875972012802
1,dis_TRINITY_DN10359_c1_g4,18.038105526911632,16.76749373042972,13.902151596065984,14.036362313648077
1,dis_TRINITY_DN1036_c0_g4,11.252384636156018,13.360514323932295,11.224972160321824,11.648714049198736
1,dis_TRINITY_DN10366_c0_g1,12.79501207502361,15.309001633026238,15.469001357553758,13.688267896267957
8,dis_TRINITY_DN10368_c0_g1,12.47072868761084,12.647403211726903,12.55659985824188,12.014321287530144
8,dis_TRINITY_DN10403_c0_g2,11.234343193974448,13.998692403221096,11.224972160321824,11.22880688230054
7,dis_TRINITY_DN10406_c0_g1,12.362289108413538,13.776343310182133,12.952714580349557,14.663565596402533
1,dis_TRINITY_DN10438_c0_g1,13.52393489336591,12.071089428879233,13.409850185591187,13.751321827373541
7,dis_TRINITY_DN1044_c0_g1,20.248398307026658,17.55671632168157,14.859706659285035,15.766342537189784
8,dis_TRINITY_DN10442_c0_g1,11.723756224009437,12.361140521812702,11.688875266679853,11.627077061755461
8,dis_TRINITY_DN10445_c0_g1,11.502172925147665,15.004187582138528,11.403169427838911,11.4674359819447
1,dis_TRINITY_DN10446_c0_g1,15.392762877404433,22.80468131765932,18.52204232799396,32.781178609073834
1,dis_TRINITY_DN10454_c0_g2,14.686641617469938,13.030167190024846,12.963286697439042,12.664143239872171
1,dis_TRINITY_DN10464_c0_g1,12.053651438464613,11.938741516592106,11.914124894426783,12.316126663850126
1,dis_TRINITY_DN10468_c0_g1,11.224972160321824,19.641486909091174,11.224972160321824,11.224972160321824
1,dis_TRINITY_DN10471_c0_g1,15.404561077810689,15.149756961746945,14.40950842325997,15.131887952268217
8,dis_TRINITY_DN10472_c0_g1,12.327015940607849,13.385012028384583,12.82607800537639,11.991909689453136
1,dis_TRINITY_DN10481_c0_g1,15.629745807274025,13.741842234576847,12.995340895874952,13.259001621539987
8,dis_TRINITY_DN10483_c0_g3,12.489899799437943,12.522389109111726,12.73702327861577,11.892488721878193
1,dis_TRINITY_DN10492_c0_g1,12.482301871049266,14.431078649913873,12.520278950566556,16.379801097693463
7,dis_TRINITY_DN10495_c0_g2,15.97432831138762,11.27883110078345,13.11742581454151,12.226615639660878
1,dis_TRINITY_DN105_c0_g1,13.119056216054569,12.461218760618882,12.699984685030136,11.999387067679748
8,dis_TRINITY_DN10505_c0_g1,11.431463642071385,11.715048570108449,11.378429592874404,11.3226165703869
1,dis_TRINITY_DN10542_c0_g1,11.224972160321824,11.224972160321824,11.300168804048903,11.224972160321824
4,dis_TRINITY_DN10558_c0_g2,12.468643310320493,14.776994620016616,12.213942729520227,12.958375862738356
8,dis_TRINITY_DN1056_c0_g1,13.263287865382399,14.921252829437615,13.11173135020696,13.078158777136789
7,dis_TRINITY_DN10601_c0_g4,20.31721090602743,15.727250395412415,15.856664844790028,14.321492973848782
1,dis_TRINITY_DN10610_c0_g1,12.409614659609701,12.49669120207425,11.86054905980326,12.310176806203883
1,dis_TRINITY_DN1062_c0_g2,28.02341488826799,18.499856621066012,18.89183402954832,16.584074650097303
1,dis_TRINITY_DN1066_c0_g4,13.664139599696718,14.316842005135072,12.636621106925695,13.08960010848307
1,dis_TRINITY_DN1073_c0_g4,12.894661492261053,12.15153582885719,11.990208713779756,11.729679620518201
8,dis_TRINITY_DN1075_c0_g1,12.236386966747986,14.06805142868052,11.769464941109261,12.945073541699173
1,dis_TRINITY_DN1080_c1_g1,11.530119990702612,11.892631500218949,11.498672488596238,11.438411340741336
1,dis_TRINITY_DN10808_c0_g1,16.75585790104464,18.07542804472414,15.170683109207706,17.33317033897723
1,dis_TRINITY_DN10814_c0_g1,13.608115776991317,20.507460520503262,15.288444132742875,25.845068523801597
8,dis_TRINITY_DN10818_c0_g1,13.573067413079476,15.184704178876848,14.250136946710372,13.33374928517857
7,dis_TRINITY_DN1082_c1_g3,11.224972160321824,16.222929544320902,11.224972160321824,11.228129051627434
2,dis_TRINITY_DN10821_c0_g1,15.715816332599463,14.840918805788272,14.645001365653743,14.252703427771168
1,dis_TRINITY_DN10828_c0_g1,15.599395789581083,15.264827545701262,15.343497384885886,14.649326639815223
1,dis_TRINITY_DN10828_c0_g2,22.460515376989907,20.77056884151226,22.18057255798416,21.800216696170704
1,dis_TRINITY_DN1083_c0_g1,12.399637454377446,11.443905015334582,17.009519540539646,11.443295897598732
1,dis_TRINITY_DN10834_c0_g1,12.106852439837532,13.125868466505368,11.911014062622879,11.543107727124442
2,dis_TRINITY_DN10835_c0_g2,11.224972160321824,11.507832897639764,11.224972160321824,11.224972160321824
1,dis_TRINITY_DN10837_c0_g1,47.275144949539815,46.69032085989558,52.38847168032295,55.873929251485436
5,dis_TRINITY_DN10839_c0_g1,11.94927784428833,12.673833555795184,11.548869035537635,11.29656341548172
1,dis_TRINITY_DN10843_c0_g1,15.372881675209758,14.5260295332207,13.627121669670379,13.283324884982676
1,dis_TRINITY_DN10872_c0_g1,15.505827420682845,16.338421833212657,14.926734773553124,17.12489053979616
8,dis_TRINITY_DN10874_c0_g1,12.95034312286744,13.18864735293199,12.472317026118283,12.030414539823639
1,dis_TRINITY_DN10880_c0_g1,14.570920938636652,15.068777156756948,13.426561659635723,13.764953868429782
1,dis_TRINITY_DN10891_c0_g1,13.015326580612566,17.50013614232758,12.902876268491456,22.418060643151094
8,dis_TRINITY_DN10891_c0_g2,11.65060255952455,12.641123328248957,11.932804238736175,12.536021857032637
7,dis_TRINITY_DN10922_c0_g1,12.682713116679727,14.446900082716708,13.718838653472094,16.959217287363234
1,dis_TRINITY_DN109406_c0_g1,12.188051567006106,15.127002809545584,12.931678274686545,15.229499269509816
1,dis_TRINITY_DN1095_c0_g1,14.099481337978359,21.094971272793902,14.263107655767028,30.37156667016043
8,dis_TRINITY_DN1096_c0_g1,13.270390687541946,13.144003651855854,13.246830111388913,12.872840750976453
7,dis_TRINITY_DN109679_c0_g1,12.044512692508569,11.747059546967487,11.311360351434304,11.918885350568651
1,dis_TRINITY_DN1098_c0_g1,13.432828816001491,13.198785360782257,12.90096387871852,12.500279876866758
8,dis_TRINITY_DN10998_c0_g1,14.203997324697015,14.01487920033562,14.146252790050092,13.898327057599415
8,dis_TRINITY_DN11_c3_g4,16.60041225391707,16.651426515467076,14.593702408915977,16.265147616913904
1,dis_TRINITY_DN1101_c0_g9,13.79710284806198,12.586495143605308,12.800294098183839,12.3440048201546
5,dis_TRINITY_DN1102_c0_g1,12.314277607720236,12.417069742898281,11.837259649091084,12.132738685062
8,dis_TRINITY_DN11034_c0_g1,13.423875967841777,13.554210858622497,12.506188787956146,13.202203300964579
8,dis_TRINITY_DN11064_c0_g1,13.696136754574262,13.544044152320238,12.565536279840984,12.531369278734068
7,dis_TRINITY_DN11112_c0_g1,11.224972160321824,12.80485540722737,11.224972160321824,11.224972160321824
1,dis_TRINITY_DN11138_c0_g2,11.297757078287708,11.578128778002082,11.435231786019905,11.282905521185578
8,dis_TRINITY_DN11152_c0_g1,11.2260917954558,11.899039457031815,11.224972160321824,11.224972160321824
