PS,GeneID,V1
7,dis_TRINITY_DN100_c0_g1,20.554942276737243
1,dis_TRINITY_DN10021_c0_g3,18.182084616456937
7,dis_TRINITY_DN10021_c0_g5,13.62227077252541
1,dis_TRINITY_DN10032_c0_g1,37.93213184096037
2,dis_TRINITY_DN1004_c0_g2,12.5687209770923
1,dis_TRINITY_DN10045_c0_g1,14.543819030777302
1,dis_TRINITY_DN10051_c0_g1,21.767667468059134
3,dis_TRINITY_DN10059_c0_g1,15.44404179611024
7,dis_TRINITY_DN10059_c0_g2,16.261887498073524
1,dis_TRINITY_DN10067_c0_g2,11.547932542234562
1,dis_TRINITY_DN10087_c0_g1,11.40175425099138
2,dis_TRINITY_DN101_c0_g1,12.166852920948786
1,dis_TRINITY_DN10172_c0_g1,15.726879188192424
1,dis_TRINITY_DN102_c0_g1,24.945326756729404
1,dis_TRINITY_DN1020_c0_g1,36.21366097206964
3,dis_TRINITY_DN10219_c0_g1,11.907584347801196
1,dis_TRINITY_DN10236_c0_g1,11.411062439580286
7,dis_TRINITY_DN10242_c0_g1,13.804882976686184
1,dis_TRINITY_DN10249_c1_g1,16.10063880720265
8,dis_TRINITY_DN10280_c0_g4,13.39465740509999
8,dis_TRINITY_DN10304_c0_g1,15.392403613471158
7,dis_TRINITY_DN10305_c0_g5,13.02233585037646
8,dis_TRINITY_DN10336_c0_g1,14.552878718659068
1,dis_TRINITY_DN1035_c0_g1,16.987878031113834
8,dis_TRINITY_DN10357_c0_g1,12.382170326723825
1,dis_TRINITY_DN10359_c1_g4,15.721059856129294
1,dis_TRINITY_DN1036_c0_g4,20.99132446988517
1,dis_TRINITY_DN10366_c0_g1,18.190368467955782
8,dis_TRINITY_DN10368_c0_g1,13.215446984495076
8,dis_TRINITY_DN10403_c0_g2,23.75975652232152
7,dis_TRINITY_DN10406_c0_g1,13.15852176348088
1,dis_TRINITY_DN10438_c0_g1,11.458969936255178
7,dis_TRINITY_DN1044_c0_g1,15.45368062954583
8,dis_TRINITY_DN10442_c0_g1,17.155597541327438
8,dis_TRINITY_DN10445_c0_g1,21.43826739734347
1,dis_TRINITY_DN10446_c0_g1,22.92315674160084
1,dis_TRINITY_DN10454_c0_g2,13.293617491112041
1,dis_TRINITY_DN10464_c0_g1,11.694139130350726
1,dis_TRINITY_DN10468_c0_g1,11.40175425099138
1,dis_TRINITY_DN10471_c0_g1,13.599111882766463
8,dis_TRINITY_DN10472_c0_g1,14.443297857483934
1,dis_TRINITY_DN10481_c0_g1,14.11169313016691
8,dis_TRINITY_DN10483_c0_g3,11.738930999030535
1,dis_TRINITY_DN10492_c0_g1,13.017296109407667
7,dis_TRINITY_DN10495_c0_g2,11.40175425099138
1,dis_TRINITY_DN105_c0_g1,12.67511857932698
8,dis_TRINITY_DN10505_c0_g1,11.892688131789214
4,dis_TRINITY_DN10558_c0_g2,16.75651121206321
8,dis_TRINITY_DN1056_c0_g1,18.127814512510877
7,dis_TRINITY_DN10601_c0_g4,14.74191809094054
1,dis_TRINITY_DN10610_c0_g1,12.79955858613882
1,dis_TRINITY_DN1062_c0_g2,11.983942882040118
1,dis_TRINITY_DN1066_c0_g4,16.653015222475478
1,dis_TRINITY_DN1073_c0_g4,12.668743110506266
8,dis_TRINITY_DN1075_c0_g1,16.938448541705345
1,dis_TRINITY_DN1080_c1_g1,12.192013820530224
1,dis_TRINITY_DN10808_c0_g1,17.823468994558834
1,dis_TRINITY_DN10814_c0_g1,26.441817448881988
8,dis_TRINITY_DN10818_c0_g1,16.915943071552352
7,dis_TRINITY_DN1082_c1_g3,11.40175425099138
2,dis_TRINITY_DN10821_c0_g1,18.44878529876696
1,dis_TRINITY_DN10828_c0_g1,19.439418021123984
1,dis_TRINITY_DN10828_c0_g2,19.342259873137884
1,dis_TRINITY_DN1083_c0_g1,11.428065671844907
1,dis_TRINITY_DN10834_c0_g1,13.922123185778812
2,dis_TRINITY_DN10835_c0_g2,11.40175425099138
1,dis_TRINITY_DN10837_c0_g1,37.52744712873499
5,dis_TRINITY_DN10839_c0_g1,14.462951531412942
1,dis_TRINITY_DN10843_c0_g1,14.54274031948587
1,dis_TRINITY_DN10872_c0_g1,14.855360379337824
8,dis_TRINITY_DN10874_c0_g1,13.559953982222801
1,dis_TRINITY_DN10880_c0_g1,14.631011311594287
1,dis_TRINITY_DN10891_c0_g1,21.264346451278488
8,dis_TRINITY_DN10891_c0_g2,11.491821613652032
7,dis_TRINITY_DN10922_c0_g1,13.07458259371977
1,dis_TRINITY_DN109406_c0_g1,16.425262494097318
1,dis_TRINITY_DN1095_c0_g1,28.149074993683183
8,dis_TRINITY_DN1096_c0_g1,14.304546060606048
7,dis_TRINITY_DN109679_c0_g1,11.40175425099138
1,dis_TRINITY_DN1098_c0_g1,12.54849265848293
8,dis_TRINITY_DN10998_c0_g1,13.350893378347383
8,dis_TRINITY_DN11_c3_g4,16.758027479390286
1,dis_TRINITY_DN1101_c0_g9,11.414920104845237
5,dis_TRINITY_DN1102_c0_g1,12.591613756782726
8,dis_TRINITY_DN11034_c0_g1,14.058001173708872
8,dis_TRINITY_DN11064_c0_g1,13.378829395728163
7,dis_TRINITY_DN11112_c0_g1,15.015715167783384
1,dis_TRINITY_DN11138_c0_g2,11.4593322667597
8,dis_TRINITY_DN11152_c0_g1,11.898590714870396
1,dis_TRINITY_DN11162_c0_g1,11.431408137233138
1,dis_TRINITY_DN11191_c0_g1,21.858907429238087
1,dis_TRINITY_DN11221_c0_g1,12.062219571869846
8,dis_TRINITY_DN11237_c0_g1,13.193256610859958
8,dis_TRINITY_DN11250_c0_g1,17.376159558429475
1,dis_TRINITY_DN11265_c0_g1,12.967712327160871
2,dis_TRINITY_DN11268_c0_g1,12.037370601589036
1,dis_TRINITY_DN11269_c0_g1,17.133994076104965
2,dis_TRINITY_DN11271_c0_g2,12.02867494780701
8,dis_TRINITY_DN11288_c0_g2,13.942575587028388
8,dis_TRINITY_DN1130_c0_g1,11.968937839257082
7,dis_TRINITY_DN11307_c0_g1,15.551549762001214
8,dis_TRINITY_DN11324_c0_g1,21.936791128148165
8,dis_TRINITY_DN11328_c0_g1,16.700040299352573
1,dis_TRINITY_DN11328_c0_g3,16.43495734706969
8,dis_TRINITY_DN11349_c0_g1,12.563212686251873
1,dis_TRINITY_DN11356_c1_g1,13.909450348593937
7,dis_TRINITY_DN11358_c0_g1,12.923774177847584
8,dis_TRINITY_DN11369_c0_g4,16.13058656714008
8,dis_TRINITY_DN11373_c0_g1,13.088310547966074
8,dis_TRINITY_DN11387_c0_g1,17.514315316334805
1,dis_TRINITY_DN11394_c0_g1,12.185991506644012
1,dis_TRINITY_DN11394_c0_g4,15.865158839419163
7,dis_TRINITY_DN1141_c0_g1,17.048599150663375
8,dis_TRINITY_DN1142_c0_g1,29.834573819647566
1,dis_TRINITY_DN1143_c0_g1,14.168122564404925
7,dis_TRINITY_DN11430_c0_g1,14.818036340892135
2,dis_TRINITY_DN11473_c0_g1,33.159603616448734
8,dis_TRINITY_DN11497_c0_g1,13.763137178710384
7,dis_TRINITY_DN11498_c0_g1,12.920603159295622
1,dis_TRINITY_DN115_c0_g1,23.710252887727705
7,dis_TRINITY_DN115_c0_g5,13.126061061872294
8,dis_TRINITY_DN11502_c0_g1,18.581931950149855
1,dis_TRINITY_DN11507_c0_g1,16.593216987673003
8,dis_TRINITY_DN11516_c0_g2,16.51360962963579
2,dis_TRINITY_DN11516_c0_g3,17.344322068042903
8,dis_TRINITY_DN11519_c0_g1,15.405287955763761
