PS,GeneID,gamete,24H,48H,1w,3w,4w,matSP
8,ser_TRINITY_DN10169_c0_g3,1731,3772,4217,3440,2561,4148,4234
7,ser_TRINITY_DN10169_c0_g6,5837,5497,6373,7049,6658,6365,7045
1,ser_TRINITY_DN10169_c2_g1,6010,7161,6949,6952,7050,6807,6743
7,ser_TRINITY_DN101719_c0_g1,6112,7254,6434,5594,6763,6955,6536
1,ser_TRINITY_DN10174_c0_g1,4689,3158,1750,1412,1806,1649,6863
7,ser_TRINITY_DN101743_c0_g1,1470,3718,2575,1609,1391,1437,1902
1,ser_TRINITY_DN101750_c0_g2,944,4745,4639,2287,3421,3989,2050
8,ser_TRINITY_DN1019_c0_g2,995,7384,7377,3279,1476,1186,1153
8,ser_TRINITY_DN10190_c0_g1,3868,6384,6539,5298,3859,4243,4725
8,ser_TRINITY_DN10191_c0_g1,5636,1501,3283,6231,6614,4945,6769
7,ser_TRINITY_DN10196_c0_g1,6140,132.5,165.5,220.5,202,209.5,197.5
7,ser_TRINITY_DN1020_c0_g1,4406,6292,6190,5131,4382,4088,3503
8,ser_TRINITY_DN10201_c0_g1,4002,404,165.5,220.5,202,209.5,475
1,ser_TRINITY_DN1021_c0_g1,2649,4017,3307,2736,2909,2885,3199
7,ser_TRINITY_DN10212_c0_g1,7685,4275,3789,5766,6378,6887,7632
1,ser_TRINITY_DN1022_c1_g1,2906,6080,3750,3788,4530,4769,6117
8,ser_TRINITY_DN1022_c1_g2,1255,1428,949,895,772,746,776
1,ser_TRINITY_DN10222_c1_g1,2543,1269,1117,3894,5720,4691,6757
8,ser_TRINITY_DN102228_c0_g3,7317,7434,7818,7714,7225,7630,7178
1,ser_TRINITY_DN10233_c0_g1,7176,8096,8103,8111,8127,8160,8146
1,ser_TRINITY_DN1024_c0_g2,1451,4703,5991,4284,3870,3906,2427
8,ser_TRINITY_DN10244_c0_g2,4559,7976,7875,6893,7098,7382,6498
8,ser_TRINITY_DN10244_c0_g3,4864,3786,2994,2364,2463,2704,2960
8,ser_TRINITY_DN10244_c7_g2,102.5,768,1218,1235,958,924,2448
8,ser_TRINITY_DN10247_c0_g3,5372,780.5,1188,1428,3988,2293,7229
8,ser_TRINITY_DN10250_c0_g1,6698,5540,5845,5385,6206,6660,7344
8,ser_TRINITY_DN102566_c0_g1,2603,6646,6615,6008,5152,6267,4849
8,ser_TRINITY_DN1026_c0_g1,6052,2107,1438,2108,2712,2333,3850
7,ser_TRINITY_DN10266_c0_g2,1179,5899,4708,2573,3181,2299,6420
8,ser_TRINITY_DN1027_c0_g1,1003,7069,6660,6915,7123,7291,4377
1,ser_TRINITY_DN10270_c0_g2,4091,5001,5106,5654,4202,4916,4735
7,ser_TRINITY_DN102704_c0_g1,7228,7471,6810,5526,3997,5670,6752
8,ser_TRINITY_DN10272_c0_g1,3235,1674,2096,1273,893,871,1026
7,ser_TRINITY_DN102746_c0_g1,939,5439,6054,2692,1678,2607,3627
8,ser_TRINITY_DN10277_c0_g1,6613,5793,5997,4400,4690,5153,5576
7,ser_TRINITY_DN10283_c0_g1,7795,6906,2407,3120,5267,6240,2174
8,ser_TRINITY_DN10288_c0_g2,4764,3135,1946,946,202,690,197.5
1,ser_TRINITY_DN10289_c0_g1,2997,4600,3372,4077,4573,4685,4470
7,ser_TRINITY_DN10292_c0_g1,534,8192,8123,7531,6544,5021,826
7,ser_TRINITY_DN10292_c0_g3,3450,5952,5253,7103,6416,6454,6930
8,ser_TRINITY_DN10295_c0_g1,5769,4436,7366,7220,5588,4134,3778
1,ser_TRINITY_DN102983_c0_g1,4128,645,165.5,220.5,202,209.5,197.5
8,ser_TRINITY_DN103_c0_g2,8133,8079,7796,7975,8089,8151,8007
1,ser_TRINITY_DN10309_c0_g3,8211,8269,8210,8221,8043,8041,7665
1,ser_TRINITY_DN1031_c0_g1,6074,6827,6476,7627,7776,7652,4433
8,ser_TRINITY_DN10311_c0_g1,2021,795,711,815,762,703,1409
8,ser_TRINITY_DN103124_c1_g1,4092,4011,4290,1472,1930,2966,2282
7,ser_TRINITY_DN10314_c0_g1,4790,2075,4124,5535,4634,3865,4955
1,ser_TRINITY_DN10319_c0_g1,6473,5366,6192,7112,6957,6397,5682
1,ser_TRINITY_DN1032_c0_g1,4848,1088,1962,3225,801,1476,695
8,ser_TRINITY_DN10322_c0_g1,4393,5348,4967,4611,4909,5334,4995
1,ser_TRINITY_DN103275_c0_g1,3957,5625,6842,6382,5262,4855,3476
8,ser_TRINITY_DN1033_c0_g1,7671,2253,3756,2630,1994,2527,3222
2,ser_TRINITY_DN1033_c0_g3,5940,5301,6163,7551,6594,6949,6154
4,ser_TRINITY_DN10333_c1_g1,8103,6682,5162,6599,6273,5964,7351
7,ser_TRINITY_DN10334_c0_g1,5249,4585,5379,5824,5671,5394,5024
8,ser_TRINITY_DN103350_c0_g1,3331,5791,5917,4728,5531,5829,6142
8,ser_TRINITY_DN10338_c0_g1,2213,1923,3851,2582,2575,2306,1563
8,ser_TRINITY_DN103436_c0_g2,6430,1457,689,625,656,648,708
7,ser_TRINITY_DN10344_c0_g3,756,2168,3528,4294,3897,4523,3433
1,ser_TRINITY_DN103441_c0_g2,6866,7306,7318,8013,7993,7885,7801
8,ser_TRINITY_DN103449_c0_g1,4220,4377,2695,3660,3365,4176,4468
8,ser_TRINITY_DN10346_c0_g1,6874,132.5,165.5,220.5,202,209.5,197.5
1,ser_TRINITY_DN10348_c0_g1,6480,2195,4531,6813,6525,6321,5315
1,ser_TRINITY_DN10349_c0_g1,1945,5634,4070,4924,4023,4572,5783
1,ser_TRINITY_DN103491_c0_g2,5337,2081,1803,2764,1589,1966,2678
7,ser_TRINITY_DN10350_c0_g1,3341,4799,4263,7430,7367,7215,6897
7,ser_TRINITY_DN10354_c0_g2,6640,132.5,165.5,220.5,202,209.5,197.5
1,ser_TRINITY_DN103561_c0_g1,5951,4610,5817,6838,5773,5118,3481
8,ser_TRINITY_DN10359_c1_g3,2889,4891,5172,4170,3906,4295,3989
8,ser_TRINITY_DN10364_c0_g2,3412,2481,2242,1187,1734,1084,1972
8,ser_TRINITY_DN10368_c0_g1,3158,901,994,1402,1729,1495,2582
8,ser_TRINITY_DN1037_c0_g2,5699,7716,7772,5761,2343,3165,2191
6,ser_TRINITY_DN10372_c0_g1,7886,5738,4638,6256,6752,6584,7180
7,ser_TRINITY_DN1038_c0_g1,3664,7650,7762,6540,3913,4032,2310
1,ser_TRINITY_DN10380_c0_g1,4592,6757,7159,6807,6765,7099,5571
8,ser_TRINITY_DN10381_c0_g1,102.5,1236,938,920,909,823,2911
8,ser_TRINITY_DN10386_c0_g1,4235,6707,6556,4981,4335,4991,5907
1,ser_TRINITY_DN10388_c0_g1,5500,6021,6933,7439,6969,6337,5406
1,ser_TRINITY_DN1039_c0_g1,805,6790,7005,6083,6624,7902,7089
7,ser_TRINITY_DN103925_c0_g1,3433,3569,3489,2381,1425,1772,2401
6,ser_TRINITY_DN1040_c0_g1,6169,7045,5822,5859,6026,6594,7254
8,ser_TRINITY_DN104004_c0_g1,3393,3296,1446,1148,1307,1612,2387
1,ser_TRINITY_DN10401_c0_g3,7998,7866,6172,6887,7518,7785,7559
8,ser_TRINITY_DN10403_c0_g1,6152,6688,7343,7326,6832,6623,6091
7,ser_TRINITY_DN10409_c0_g1,1554,1515,2871,1687,1254,984,935
5,ser_TRINITY_DN10421_c0_g1,7525,5963,5427,5241,5994,5013,5668
3,ser_TRINITY_DN104217_c0_g1,3598,1681.5,2220,2888,3869,2811,4297
1,ser_TRINITY_DN10423_c0_g1,6380,6811,4891,5801,6278,6020,6136
8,ser_TRINITY_DN1043_c0_g1,788,1974,2232,3072,1724,1748,1147
1,ser_TRINITY_DN10431_c0_g1,102.5,816.5,624,796,560,636,4694
7,ser_TRINITY_DN10450_c0_g1,6941,6719,6887,5922,5865,5631,4596
7,ser_TRINITY_DN10451_c0_g1,300.5,1534,1683,3412,3755,2292,1683
1,ser_TRINITY_DN10451_c1_g1,8187,1224,613,220.5,202,467,518
2,ser_TRINITY_DN10454_c0_g1,3979,3377,2694,1677,2468,1839,3031
1,ser_TRINITY_DN10457_c0_g1,665,1004,1400,1294,1673,1500,1241
8,ser_TRINITY_DN10464_c0_g1,5138,4616,3627,2835,2715,3134,2250
8,ser_TRINITY_DN10464_c0_g2,3929,3403,2593,1647,1658,1915,1155
8,ser_TRINITY_DN104705_c0_g1,4785,4641,5508,4675,3928,3170,4897
8,ser_TRINITY_DN104712_c0_g1,681,1164,1620,2611,2150,2581,2404
6,ser_TRINITY_DN10473_c0_g1,3274,4038,2799,1973,1819,1616,2567
7,ser_TRINITY_DN1048_c0_g1,2178,132.5,165.5,220.5,202,209.5,197.5
2,ser_TRINITY_DN104806_c0_g3,4380,5716,4763,4278,4877,4195,4654
8,ser_TRINITY_DN10500_c0_g2,4872,4073,4189,2302,960,958,2666
8,ser_TRINITY_DN10503_c0_g1,3088,7791,7250,5893,6942,7403,4539
8,ser_TRINITY_DN105097_c0_g1,461,2140,2763,1853,1296,1523,1420
8,ser_TRINITY_DN105154_c0_g1,4090,5765,5453,4206,4550,4067,3076
1,ser_TRINITY_DN105233_c0_g1,3911,3798,2909,2463,2841,2590,2874
1,ser_TRINITY_DN105378_c0_g4,7946,8052,8044,8083,8032,7937,8048
8,ser_TRINITY_DN1054_c0_g1,7154,7870,7958,8058,8078,8164,7982
7,ser_TRINITY_DN105448_c0_g1,102.5,7414,4324,2465,2311,2120,564
2,ser_TRINITY_DN10546_c1_g1,3646,2923,2187,4258,3641,4012,4507
7,ser_TRINITY_DN1055_c0_g1,3839,1169,2092,1729,1213,1171,1449
5,ser_TRINITY_DN10551_c0_g1,2499,1855,1404,1451,1780,1881,1370
2,ser_TRINITY_DN10559_c0_g1,2515,3735,3860,1555,2225,1845,3959
8,ser_TRINITY_DN10561_c0_g1,5358,6535,7227,7403,6900,7233,6157
8,ser_TRINITY_DN10562_c0_g1,3411,4968,5594,6136,6714,6359,6521
1,ser_TRINITY_DN10563_c0_g2,8057,7557,6509,7873,7328,7873,7317
