mRNA_L-digitata_M_contig1.1.5	nbis-gene-32343	nbis-gene-32343
mRNA_L-digitata_M_contig1.5.1	nbis-gene-32344	nbis-gene-32344
mRNA_L-digitata_M_contig1.8.1	nbis-gene-32345	nbis-gene-32345
mRNA_L-digitata_M_contig1.11.2	nbis-gene-32346	nbis-gene-32346
mRNA_L-digitata_M_contig2.1.1	nbis-gene-32351	nbis-gene-32351
mRNA_L-digitata_M_contig2.2.1	nbis-gene-32352	nbis-gene-32352
mRNA_L-digitata_M_contig4.1.1	nbis-gene-32353	nbis-gene-32353
mRNA_L-digitata_M_contig5.1.1	nbis-gene-32354	nbis-gene-32354
mRNA_L-digitata_M_contig5.2.1	nbis-gene-32355	nbis-gene-32355
mRNA_L-digitata_M_contig5.3.1	nbis-gene-32356	nbis-gene-32356
mRNA_L-digitata_M_contig5.4.1	nbis-gene-32357	nbis-gene-32357
mRNA_L-digitata_M_contig5.5.1	nbis-gene-32358	nbis-gene-32358
mRNA_L-digitata_M_contig5.6.1	nbis-gene-32359	nbis-gene-32359
mRNA_L-digitata_M_contig5.7.1	nbis-gene-32360	nbis-gene-32360
mRNA_L-digitata_M_contig5.8.1	nbis-gene-32361	nbis-gene-32361
mRNA_L-digitata_M_contig5.9.1	nbis-gene-32362	nbis-gene-32362
mRNA_L-digitata_M_contig5.10.1	nbis-gene-32363	nbis-gene-32363
mRNA_L-digitata_M_contig5.11.1	nbis-gene-32364	nbis-gene-32364
mRNA_L-digitata_M_contig5.14.1	nbis-gene-32365	nbis-gene-32365
mRNA_L-digitata_M_contig5.16.1	nbis-gene-32366	nbis-gene-32366
mRNA_L-digitata_M_contig5.17.1	nbis-gene-32367	nbis-gene-32367
mRNA_L-digitata_M_contig5.18.1	nbis-gene-32368	nbis-gene-32368
mRNA_L-digitata_M_contig6.3.1	nbis-gene-32369	nbis-gene-32369
mRNA_L-digitata_M_contig6.4.1	nbis-gene-32370	nbis-gene-32370
mRNA_L-digitata_M_contig6.5.1	nbis-gene-32371	nbis-gene-32371
mRNA_L-digitata_M_contig6.6.1	nbis-gene-32372	nbis-gene-32372
mRNA_L-digitata_M_contig6.7.1	nbis-gene-32373	nbis-gene-32373
mRNA_L-digitata_M_contig6.8.1	nbis-gene-32374	nbis-gene-32374
mRNA_L-digitata_M_contig6.9.1	nbis-gene-32375	nbis-gene-32375
mRNA_L-digitata_M_contig6.11.1	nbis-gene-32376	nbis-gene-32376
mRNA_L-digitata_M_contig6.12.1	nbis-gene-32378	nbis-gene-32378
mRNA_L-digitata_M_contig6.11.2	nbis-gene-32377	nbis-gene-32377
mRNA_L-digitata_M_contig6.14.1	nbis-gene-32379	nbis-gene-32379
mRNA_L-digitata_M_contig6.11.3	nbis-gene-1354	nbis-gene-1354
mRNA_L-digitata_M_contig6.22.1	nbis-gene-32380	nbis-gene-32380
mRNA_L-digitata_M_contig8.1.15	nbis-gene-32381	nbis-gene-32381
mRNA_L-digitata_M_contig9.1.2	nbis-gene-32382	nbis-gene-32382
mRNA_L-digitata_M_contig11.1.1	nbis-gene-32347	nbis-gene-32347
mRNA_L-digitata_M_contig12.1.4	nbis-gene-32348	nbis-gene-32348
mRNA_L-digitata_M_contig12.2.5	nbis-gene-32349	nbis-gene-32349
mRNA_L-digitata_M_contig12.3.1	nbis-gene-32350	nbis-gene-32350
mRNA_L-digitata_M_contig14.1.1	nbis-gene-21624	nbis-gene-21624
mRNA_L-digitata_M_contig14.2.2	nbis-gene-21625	nbis-gene-21625
mRNA_L-digitata_M_contig14.4.54	nbis-gene-21626	nbis-gene-21626
mRNA_L-digitata_M_contig14.5.4	nbis-gene-21627	nbis-gene-21627
mRNA_L-digitata_M_contig16.1.1	nbis-gene-21628	nbis-gene-21628
mRNA_L-digitata_M_contig17.1.1	nbis-gene-21629	nbis-gene-21629
mRNA_L-digitata_M_contig17.2.1	nbis-gene-21630	nbis-gene-21630
mRNA_L-digitata_M_contig19.1.13	nbis-gene-21631	nbis-gene-21631
mRNA_L-digitata_M_contig19.2.1	nbis-gene-21632	nbis-gene-21632
mRNA_L-digitata_M_contig19.3.1	nbis-gene-21633	nbis-gene-21633
mRNA_L-digitata_M_contig19.4.1	nbis-gene-21634	nbis-gene-21634
mRNA_L-digitata_M_contig19.5.1	nbis-gene-21635	nbis-gene-21635
mRNA_L-digitata_M_contig19.7.1	nbis-gene-21636	nbis-gene-21636
mRNA_L-digitata_M_contig20.1.2	nbis-gene-21637	nbis-gene-21637
mRNA_L-digitata_M_contig20.2.1	nbis-gene-21638	nbis-gene-21638
mRNA_L-digitata_M_contig20.3.1	nbis-gene-21639	nbis-gene-21639
