PS,GeneID,gamete,matSP
8,ser_TRINITY_DN1_c2_g2,24.152417146116036,32.44500564801923
1,ser_TRINITY_DN10004_c0_g1,11.923693135937372,12.702175030285169
1,ser_TRINITY_DN10009_c0_g2,18.75931224752123,44.85735623618494
1,ser_TRINITY_DN10017_c0_g1,12.745030717891582,12.023081281435305
5,ser_TRINITY_DN100298_c0_g1,12.427899339791903,25.965805302358714
1,ser_TRINITY_DN10030_c0_g1,11.872110890654618,12.481118379376106
1,ser_TRINITY_DN100337_c0_g6,11.801845067615487,14.762061288993484
1,ser_TRINITY_DN10034_c0_g1,14.777069499735054,14.596688888237633
1,ser_TRINITY_DN10037_c0_g2,14.290788571663917,15.336236044088523
1,ser_TRINITY_DN10037_c0_g4,11.803125687715097,12.792791583544227
1,ser_TRINITY_DN1005_c0_g1,14.237092434903976,46.055874614428944
8,ser_TRINITY_DN10052_c0_g6,13.41461214497087,12.52823660775929
7,ser_TRINITY_DN10064_c0_g1,14.283677257625223,23.227163451441935
8,ser_TRINITY_DN10068_c0_g1,11.963959628818545,12.532500847795703
1,ser_TRINITY_DN100695_c0_g1,11.80088361098439,12.579662197372393
8,ser_TRINITY_DN10078_c0_g1,11.789826122551595,17.964379198847922
1,ser_TRINITY_DN10079_c0_g1,109.6310887750368,39.63558345729251
1,ser_TRINITY_DN100907_c0_g1,11.817000719302678,14.662249008934475
1,ser_TRINITY_DN10098_c0_g1,13.988781040533874,13.480639116896498
1,ser_TRINITY_DN10103_c0_g1,11.792344465796443,11.898026790186682
8,ser_TRINITY_DN10106_c0_g1,11.797557204777606,11.79194277886388
1,ser_TRINITY_DN10111_c0_g1,11.888478834569206,14.656487420251825
6,ser_TRINITY_DN10116_c0_g1,11.930160183333667,13.214337043529651
1,ser_TRINITY_DN101175_c0_g2,11.834516846918593,14.60181483583462
7,ser_TRINITY_DN10129_c0_g1,11.881832518597458,12.330197281471209
8,ser_TRINITY_DN10138_c0_g1,11.789826122551595,12.711532185381904
1,ser_TRINITY_DN10138_c1_g2,11.911419268920056,12.992093845874114
8,ser_TRINITY_DN10168_c0_g1,11.789826122551595,11.887112769718305
7,ser_TRINITY_DN101719_c0_g1,11.948433537497708,12.81791236902484
8,ser_TRINITY_DN10191_c0_g1,11.806565503989718,12.697207744224713
7,ser_TRINITY_DN10212_c0_g1,15.038007813537005,14.966303367899503
8,ser_TRINITY_DN102228_c0_g3,12.738809952267912,13.613535506987155
1,ser_TRINITY_DN10233_c0_g1,11.806364258314243,20.040360812620115
8,ser_TRINITY_DN10244_c0_g2,11.8015604900369,12.841268122736166
8,ser_TRINITY_DN10247_c0_g3,12.326105021457508,13.373353468745227
8,ser_TRINITY_DN10250_c0_g1,12.026936018787163,13.63369568385623
8,ser_TRINITY_DN1027_c0_g1,11.804730365408606,12.222604796032636
7,ser_TRINITY_DN102704_c0_g1,12.063913502673998,12.941434986121129
7,ser_TRINITY_DN10283_c0_g1,11.789826122551595,11.940983292844857
7,ser_TRINITY_DN10292_c0_g1,11.79304422106523,11.827201084787559
8,ser_TRINITY_DN10295_c0_g1,11.789826122551595,12.105548769056279
1,ser_TRINITY_DN102983_c0_g1,13.95780090128814,11.810714605814502
