PS,GeneID,gamete
2,dis_TRINITY_DN10439_c0_g1,6.868652
7,dis_TRINITY_DN1044_c0_g1,63.020065
8,dis_TRINITY_DN10442_c0_g1,16.982244
8,dis_TRINITY_DN10445_c0_g1,49.392794
1,dis_TRINITY_DN10446_c0_g1,144.31124
2,dis_TRINITY_DN10446_c0_g2,0.791251
2,dis_TRINITY_DN10450_c0_g2,59.866829
8,dis_TRINITY_DN10450_c0_g4,150.33737
1,dis_TRINITY_DN10451_c0_g1,0.978092
8,dis_TRINITY_DN10452_c0_g1,0.829875
1,dis_TRINITY_DN10453_c0_g2,1.903729
1,dis_TRINITY_DN10454_c0_g2,7.13168
1,dis_TRINITY_DN10456_c0_g1,3.830596
8,dis_TRINITY_DN10457_c0_g1,3.072203
7,dis_TRINITY_DN1046_c0_g1,2.750763
7,dis_TRINITY_DN10462_c0_g1,8.670835
1,dis_TRINITY_DN10463_c0_g1,4.038515
1,dis_TRINITY_DN10463_c0_g4,7.443461
1,dis_TRINITY_DN10464_c0_g1,2.215384
8,dis_TRINITY_DN10464_c0_g2,1.095116
3,dis_TRINITY_DN10465_c0_g3,6.120366
1,dis_TRINITY_DN10468_c0_g1,189.432754
2,dis_TRINITY_DN1047_c0_g1,16.822791
1,dis_TRINITY_DN10471_c0_g1,11.161367
8,dis_TRINITY_DN10471_c0_g2,2.198667
8,dis_TRINITY_DN10472_c0_g1,398.990049
8,dis_TRINITY_DN10477_c0_g1,3.709297
7,dis_TRINITY_DN10477_c0_g2,0
8,dis_TRINITY_DN10477_c0_g3,2.34826
1,dis_TRINITY_DN10479_c0_g1,14.613501
7,dis_TRINITY_DN10480_c0_g1,11.081371
1,dis_TRINITY_DN10481_c0_g1,16.874038
8,dis_TRINITY_DN10483_c0_g3,350.394788
8,dis_TRINITY_DN10484_c0_g1,1.900289
5,dis_TRINITY_DN1049_c0_g1,8.192034
8,dis_TRINITY_DN10490_c0_g2,1.328216
1,dis_TRINITY_DN10492_c0_g1,21.836565
8,dis_TRINITY_DN10493_c0_g3,3.617188
7,dis_TRINITY_DN10495_c0_g2,0
2,dis_TRINITY_DN10495_c0_g3,3.982404
1,dis_TRINITY_DN10497_c0_g1,2.96116
1,dis_TRINITY_DN105_c0_g1,8.479328
2,dis_TRINITY_DN1050_c0_g1,7.414501
1,dis_TRINITY_DN10501_c0_g1,0.688709
8,dis_TRINITY_DN10505_c0_g1,1.055099
1,dis_TRINITY_DN10506_c0_g1,0.940548
