PS,GeneID,gamete,S1,S2,S3,S4,S5,matSP
8,ser_TRINITY_DN1_c2_g2,9.16287730671721,8.962146731154075,8.98876704725632,9.381905824458807,9.748275676360247,9.6079023990552,9.831257155601335
1,ser_TRINITY_DN10004_c0_g1,7.340121778358476,7.342103983975857,7.317073640107195,7.237756278945565,7.267588886921122,7.271056849743319,7.350112415204809
1,ser_TRINITY_DN10009_c0_g2,9.494583854336087,10.426368666941546,10.825068114378587,11.064150744316802,11.740665511468436,12.009700487135285,11.395087881950348
1,ser_TRINITY_DN10017_c0_g1,7.30002702139749,7.302521438165044,7.964438364110581,7.260760699128264,7.488331318431877,7.673082269254541,7.179836361427291
5,ser_TRINITY_DN100298_c0_g1,8.966540492891673,8.840755664699854,8.844304970582531,8.376241169320263,8.729411794233904,8.512892233053273,9.42823751119081
1,ser_TRINITY_DN10030_c0_g1,7.223361709090059,7.861793603809637,8.245275560974484,7.499879236068207,7.371559908042773,7.444675008731695,7.26894879347138
1,ser_TRINITY_DN100337_c0_g6,7.332477195855008,7.919491072410072,8.3243756168593,7.5801409759943335,7.708047513015611,7.788095097370794,7.672740547009926
1,ser_TRINITY_DN10034_c0_g1,7.790021780163708,7.757370446589291,7.821122230799697,7.6393404047365046,7.875305439807127,7.938018561522001,7.790322249401793
1,ser_TRINITY_DN10037_c0_g2,7.8551878098099825,8.089645842827897,8.3498605373074,8.111566379543135,8.096617970223319,8.314097297644329,7.877693635123512
1,ser_TRINITY_DN10037_c0_g4,7.393474330828497,7.622519352644663,7.625489036296618,7.455560087837487,7.500894592221417,7.515189814572383,7.335009879691934
1,ser_TRINITY_DN1005_c0_g1,8.356591701289764,9.019791602013015,9.36563377518438,9.811893593063603,10.494612798379716,10.099970268057064,10.813650343663506
8,ser_TRINITY_DN10052_c0_g6,7.355037043700635,7.308917539521474,7.627663476804951,7.463457116775476,7.838629752182914,8.39693708076892,7.3172924851806345
7,ser_TRINITY_DN10064_c0_g1,7.861078985112489,8.224268586688991,8.488856644953454,8.660513618261243,10.121861159690457,9.886101843290858,9.07815380255825
8,ser_TRINITY_DN10068_c0_g1,7.240459655410211,7.222560295543498,7.7187219706011385,7.706891775058945,7.406230342195791,7.419876781345788,7.338045149371001
1,ser_TRINITY_DN100695_c0_g1,7.134162190436742,7.164431975629725,7.222974466781845,7.528325459999928,7.202390744257891,7.254416132679252,7.357484161168317
8,ser_TRINITY_DN10078_c0_g1,7.1640214786612875,8.243548207165711,8.724851209907326,8.59369565711083,9.368736364253065,10.181518703325692,8.229656974924886
1,ser_TRINITY_DN10079_c0_g1,12.71260368488675,11.821000861348903,11.988652439124651,11.13343183229941,10.79291505844307,10.576537731194398,10.614246240366839
1,ser_TRINITY_DN100907_c0_g1,7.495768118877976,8.215897391352343,8.698989162137837,8.362011048237548,8.229782862773172,8.207674874439885,7.794137620330213
1,ser_TRINITY_DN10098_c0_g1,7.72519734105545,7.740550705486918,7.526869941635471,7.49502988111679,7.541872557212045,7.703459888610364,7.559738294614552
1,ser_TRINITY_DN10103_c0_g1,7.187095364477448,7.902026033523075,8.134126239250998,7.393593411588945,7.260046899037751,7.330928338981872,7.1574256219986685
8,ser_TRINITY_DN10106_c0_g1,13.719263915292343,14.209583207289745,11.37118046845111,7.295510810088638,7.132074217722938,7.137416764756972,7.135006331312596
1,ser_TRINITY_DN10111_c0_g1,7.363666309521485,7.953983537900221,8.6350739342528815,8.064731988276462,8.054288450512725,8.18799449612371,7.734273179606442
6,ser_TRINITY_DN10116_c0_g1,7.7872141937559265,8.508163205662353,8.113878322431958,7.639305113896361,7.652024995323989,7.794686151391314,7.456302690740077
1,ser_TRINITY_DN101175_c0_g2,7.238009577855889,7.331173896879,7.4702059899142,7.60193449251353,7.52790256569466,7.458685642641498,7.628885124221345
7,ser_TRINITY_DN10129_c0_g1,7.4175329605122515,8.00066921018045,8.043969245957157,7.8436782750519916,8.177413134302736,8.45469083501366,7.252463327465349
