PS,GeneID,V1
7,dis_TRINITY_DN100_c0_g1,8.726237413306128
1,dis_TRINITY_DN10021_c0_g3,8.373248861681851
7,dis_TRINITY_DN10021_c0_g5,7.543544299817733
1,dis_TRINITY_DN10032_c0_g1,10.491699427097839
2,dis_TRINITY_DN1004_c0_g2,7.312635652530163
1,dis_TRINITY_DN10045_c0_g1,7.731472946494298
1,dis_TRINITY_DN10051_c0_g1,8.891271370476174
3,dis_TRINITY_DN10059_c0_g1,7.9039928416396075
7,dis_TRINITY_DN10059_c0_g2,8.052290814799125
1,dis_TRINITY_DN10067_c0_g2,7.069903474354155
1,dis_TRINITY_DN10087_c0_g1,7.03342300153745
2,dis_TRINITY_DN101_c0_g1,7.21948132867382
1,dis_TRINITY_DN10172_c0_g1,7.956142222745363
1,dis_TRINITY_DN102_c0_g1,9.283711904811579
1,dis_TRINITY_DN1020_c0_g1,10.358023927318756
3,dis_TRINITY_DN10219_c0_g1,7.15775684507026
1,dis_TRINITY_DN10236_c0_g1,7.035759661826684
7,dis_TRINITY_DN10242_c0_g1,7.581763944150556
1,dis_TRINITY_DN10249_c1_g1,8.023646639135727
8,dis_TRINITY_DN10280_c0_g4,7.49519025092088
8,dis_TRINITY_DN10304_c0_g1,7.8943696641745325
7,dis_TRINITY_DN10305_c0_g5,7.41431510587491
8,dis_TRINITY_DN10336_c0_g1,7.7332613149706635
1,dis_TRINITY_DN1035_c0_g1,8.177858010776017
8,dis_TRINITY_DN10357_c0_g1,7.269763868241183
1,dis_TRINITY_DN10359_c1_g4,7.955078661556345
1,dis_TRINITY_DN1036_c0_g4,8.786712997893853
1,dis_TRINITY_DN10366_c0_g1,8.374559199052802
8,dis_TRINITY_DN10368_c0_g1,7.4565436596411985
8,dis_TRINITY_DN10403_c0_g2,9.143449619803524
7,dis_TRINITY_DN10406_c0_g1,7.444159283127985
1,dis_TRINITY_DN10438_c0_g1,7.0477563993166905
7,dis_TRINITY_DN1044_c0_g1,7.90578557908204
8,dis_TRINITY_DN10442_c0_g1,8.20610851649844
8,dis_TRINITY_DN10445_c0_g1,8.847368436548077
1,dis_TRINITY_DN10446_c0_g1,9.040210569288936
1,dis_TRINITY_DN10454_c0_g2,7.473464395567902
1,dis_TRINITY_DN10464_c0_g1,7.105938776047977
1,dis_TRINITY_DN10468_c0_g1,7.03342300153745
1,dis_TRINITY_DN10471_c0_g1,7.538661104068205
8,dis_TRINITY_DN10472_c0_g1,7.7115558413326815
1,dis_TRINITY_DN10481_c0_g1,7.644864879621449
8,dis_TRINITY_DN10483_c0_g3,7.116889752991981
1,dis_TRINITY_DN10492_c0_g1,7.4132047723245105
7,dis_TRINITY_DN10495_c0_g2,7.03342300153745
1,dis_TRINITY_DN105_c0_g1,7.336806725191008
8,dis_TRINITY_DN10505_c0_g1,7.154170330248579
4,dis_TRINITY_DN10558_c0_g2,8.138428826485322
8,dis_TRINITY_DN1056_c0_g1,8.364649725588551
7,dis_TRINITY_DN10601_c0_g4,7.770327906524188
1,dis_TRINITY_DN10610_c0_g1,7.364823656462794
1,dis_TRINITY_DN1062_c0_g2,7.176072264163122
1,dis_TRINITY_DN1066_c0_g4,8.12061588909632
1,dis_TRINITY_DN1073_c0_g4,7.335364019685885
8,dis_TRINITY_DN1075_c0_g1,8.169479295123585
1,dis_TRINITY_DN1080_c1_g1,7.225402203294898
1,dis_TRINITY_DN10808_c0_g1,8.3159467740834625
1,dis_TRINITY_DN10814_c0_g1,9.451560840547126
8,dis_TRINITY_DN10818_c0_g1,8.165656380450132
7,dis_TRINITY_DN1082_c1_g3,7.03342300153745
2,dis_TRINITY_DN10821_c0_g1,8.415140396114886
