OG,Fd_f_gametes_1,Fd_f_gametes_2,Fd_f_gametes_3,Fd_m_gametes_1,Fd_m_gametes_2,Fd_m_gametes_3,Fd_zygotes_48h_1,Fd_zygotes_48h_2,Fd_zygotes_48h_3,Fd_zygotes_96h_1,Fd_zygotes_96h_2,Fd_zygotes_96h_3,Fd_zygotes_3w_2,Fd_zygotes_3w_3,Fd_zygotes_2.5m_1,Fd_zygotes_2.5m_2,Fd_zygotes_2.5m_3,Fd_zygotes_5m_1,Fd_zygotes_5m_3,Fd_zygotes_6m_1,Fd_zygotes_6m_2,Fd_zygotes_6m_3,Fd_wild_matSP_holdfast_1,Fd_wild_matSP_holdfast_2,Fd_wild_matSP_holdfast_3,Fd_wild_matSP_reptip_1,Fd_wild_matSP_reptip_2,Fd_wild_matSP_reptip_3,Fd_wild_matSP_stipe_1,Fd_wild_matSP_stipe_2,Fd_wild_matSP_stipe_3,Fd_wild_matSP_vegtip_1,Fd_wild_matSP_vegtip_2,Fd_wild_matSP_vegtip_3
OG0003798,2.003055,2.983764,1.977179,0,1.173106,0.993709,2.109604,1.12202,2.383041,0.610466,1.190613,2.123951,1.835554,3.472064,2.818974,1.179582,2.09,2.586808,2.263097,1.31527,3.187865,2.76425,14.714411,4.643274,5.544884,2.77989,1.967706,4.194753,4.847267,2.959671,3.549875,2.802899,5.833743,3.875275
OG0003799,10.108364,4.090247,4.892905,3.760354,0,0,0.417824,1.434544,0,0,0,0,3.708193,4.700743,18.765224,15.458172,29.574575,15.285125,8.1688,16.924471,85.212438,53.195861,0,0,0,1.081367,0,0.489064,1.224157,0.576402,0,0.993319,0.975842,0
OG0003800,7.626917,9.299491,7.091449,2.749266,2.40988,2.599877,5.570888,9.751194,8.50402,13.571656,13.56556,17.307773,19.007682,28.342741,31.897769,27.38357,28.48888,23.72827,28.429201,27.176202,24.26696,24.947131,5.785858,6.009441,3.96774,13.089461,11.130037,13.335945,9.167127,7.084283,8.177557,31.881915,23.336186,36.594174
OG0003801,0,0,0,11.3894,14.044973,15.058082,0.056923,0,0.116925,0,0.143908,0.138227,0.348079,0.16806,0.234702,0,0.403419,0.108754,0,0.234657,0,0.24009,0,0,0,19.510055,14.568145,18.926977,0,0,0,0,0,0
OG0003802,3.769293,6.444995,5.621364,45.196943,46.55048,44.911681,9.866728,11.277847,14.869975,8.245136,11.437728,13.055786,8.895071,9.028231,7.760879,7.289546,5.608803,4.708883,3.99659,3.173522,4.934942,5.59342,7.348569,6.824984,4.670306,5.269963,6.00221,5.559942,7.083125,7.343709,5.645578,3.140537,4.20315,5.063929
OG0003803,32.34692,33.620239,33.47708,12.233013,10.864564,8.671308,44.987638,39.580718,42.357585,52.810442,39.671306,46.519244,35.063911,45.220877,26.24927,28.044054,31.093167,27.891172,29.402988,54.630198,38.233837,37.412645,0.344101,1.339127,1.422849,26.43345,22.854688,22.362734,0.543184,1.200114,1.689302,24.446797,31.352108,43.790468
OG0003804,50.523984,69.140494,69.645546,14.762556,6.070508,5.504031,2.205916,1.708029,2.169058,0.567552,0.648238,0.374767,0,0,0,0,0,0,0,0,0,0,0,0,0.074862,22.419764,14.241212,6.087369,0,0,0,0,0,0
OG0003805,0.714238,1.001707,0.831453,38.539536,33.515801,36.420487,0.383036,0.510955,0.640823,0.693793,0.454725,0,0.056349,0.067597,0,0.078104,0.114759,0.065206,0.061896,0,0,0,0.031518,0.059469,0,6.286458,5.342724,4.794206,0,0,0.031614,0,0.026285,0
OG0003806,15.385164,12.497221,16.120074,1.438776,0.936899,0.394495,10.578302,10.274851,17.46944,12.832202,22.250563,27.244243,31.249839,28.874555,24.573245,20.101366,10.545017,13.839358,11.513213,6.453687,20.892828,20.909577,27.897381,24.476826,23.222689,20.501741,20.011996,22.77003,20.749229,14.550708,18.186638,12.104193,19.183521,15.86062
OG0003807,6.409063,9.26923,9.156505,2.821076,2.517734,2.224518,12.53554,13.540446,21.052531,9.58551,14.602381,17.576536,11.773204,9.668756,20.192934,19.999262,11.464602,11.428181,9.430233,12.594906,27.98535,28.553174,15.992931,14.565037,11.330595,10.797093,14.83674,12.907684,12.46257,10.982309,8.789143,13.143978,15.803781,18.042357
OG0003808,165.290735,161.588257,166.222916,46.585451,23.472673,23.067861,185.908241,193.006012,201.484494,108.767826,117.72548,112.160497,97.610272,93.419925,89.251783,90.929805,70.591858,62.265205,61.325724,51.772807,69.048892,68.520712,50.775462,41.438379,41.892457,100.701224,70.909464,65.25182,86.045649,63.728146,61.73507,64.71552,62.001577,65.307253
OG0003809,129.327701,130.667747,116.344715,65.127372,46.563054,37.02462,227.911099,229.28381,194.133399,193.34925,180.058789,156.298244,268.413181,126.484722,123.638588,105.304595,143.006568,171.934666,127.647967,113.018223,110.854688,88.191274,138.586118,162.562383,110.30452,147.035388,156.200642,177.050068,95.009549,123.472456,106.101427,159.56777399999999,190.310535,105.668381
OG0003810,0.6113,1.235567,0.972746,0.356995,0.387258,0.230036,2.773551,3.510017,5.550072,5.430612,9.281442,12.176632,10.39918,10.82449,7.520182,7.274171,3.612985,3.011553,3.450366,3.006475,6.857518,6.561677,6.81089,5.089789,3.773156,3.453787,4.362186,4.210716,6.880399,4.858835,4.936158,2.244249,2.700714,4.23066
OG0003811,22.915706,27.545504,26.687839,10.418553,6.130389,4.868526,34.226495,34.858402,44.102309,17.890911,18.85705,16.760178,31.501115,22.480903,20.36372,20.751941,19.954883,17.659361,19.736413,20.366207,23.218236,22.296817,38.266873,35.42409,27.009407,22.790683,27.812823,23.573238,25.488953,26.387404,21.751708,14.876677,19.20976,18.079812
OG0003812,0.207146,0,0,829.051992,1026.270967,1000.943825,1.681533,0.722842,0.97748,0.482144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.372485,44.841632,41.794885,0,0,0,0,0,0
OG0003813,49.208847,53.445337,53.283917,10.92494,7.712484,6.089579,8.221859,9.158581,11.550319,7.12188,10.768805,14.250415,14.488706,12.923662,17.951771,14.979765,11.699253,13.43208,9.006035,7.693414,12.059359,12.657613,26.610741,21.15535,25.761467,33.306053,26.922839,20.471904,12.573801,15.179741,13.406718,10.587322,13.750339,13.40997
OG0003814,12.697685,17.326025,16.624535,25.52899,32.48841,29.984373,27.419397,27.163193,36.729149,23.034721,24.251072,25.314436,20.456428,14.868837,21.705036,20.970076,17.932916,21.122897,24.016438,9.665015,12.269321,15.616993,23.586468,32.589752,39.594948,43.77642,50.202212,38.957505,24.422095,26.256177,23.83308,25.373085,26.542245,21.015042
OG0003815,7.656872,8.988025,9.115087,0.955872,0.907428,0.432464,3.246027,4.016392,4.07474,1.770111,3.795715,2.472789,12.705961,11.195987,16.751830000000002,20.591164,12.921697,19.631754,8.97063,11.004219,29.166449,27.601548,33.907718,37.818658,28.402982,8.854301,16.677732,14.014194,26.697398,23.07555,20.322474,9.935819,20.640189,32.093107
OG0003816,18.81675,25.16438,20.355846,4.429069,2.88406,4.237061,41.765855,38.435184,49.953907,43.95932,51.090078,54.613809,33.09175,30.976017,31.089409,27.893947,24.13675,29.874491,27.320893,23.479409,21.750746,29.575646,50.319767,37.109143,36.108474,26.220287,27.343325,28.450768,18.534217,19.671652,16.706674,13.770367,21.781463,21.190551
