PS,GeneID,gamete,matSP
7,ser_TRINITY_DN10292_c0_g3,2323,7065
8,ser_TRINITY_DN10295_c0_g1,769.5,3401
1,ser_TRINITY_DN102983_c0_g1,7632,675
8,ser_TRINITY_DN103_c0_g2,8161,7961
1,ser_TRINITY_DN10309_c0_g3,7466,7428
1,ser_TRINITY_DN1031_c0_g1,3270,4285
8,ser_TRINITY_DN10311_c0_g1,769.5,1151
8,ser_TRINITY_DN103124_c1_g1,5255,2357
7,ser_TRINITY_DN10314_c0_g1,769.5,4452
1,ser_TRINITY_DN10319_c0_g1,7493,5510
1,ser_TRINITY_DN1032_c0_g1,3627,861
8,ser_TRINITY_DN10322_c0_g1,5828,5346
1,ser_TRINITY_DN103275_c0_g1,5958,3698
8,ser_TRINITY_DN1033_c0_g1,8044,3570
2,ser_TRINITY_DN1033_c0_g3,5679,6265
4,ser_TRINITY_DN10333_c1_g1,8227,7311
7,ser_TRINITY_DN10334_c0_g1,6961,4665
8,ser_TRINITY_DN103350_c0_g1,3949,6140
8,ser_TRINITY_DN10338_c0_g1,1628,1616
8,ser_TRINITY_DN103436_c0_g2,2702,698
7,ser_TRINITY_DN10344_c0_g3,769.5,2918
1,ser_TRINITY_DN103441_c0_g2,6996,7858
8,ser_TRINITY_DN103449_c0_g1,3534,4489
8,ser_TRINITY_DN10346_c0_g1,7786,673
1,ser_TRINITY_DN10348_c0_g1,3672,5463
1,ser_TRINITY_DN10349_c0_g1,769.5,5955
1,ser_TRINITY_DN103491_c0_g2,6573.5,2494
7,ser_TRINITY_DN10350_c0_g1,5310,6722
7,ser_TRINITY_DN10354_c0_g2,7648,596
1,ser_TRINITY_DN103561_c0_g1,4715,3279
8,ser_TRINITY_DN10359_c1_g3,5250,4326
8,ser_TRINITY_DN10364_c0_g2,2841.5,1633
8,ser_TRINITY_DN10368_c0_g1,3471,3504
8,ser_TRINITY_DN1037_c0_g2,2719,2604
6,ser_TRINITY_DN10372_c0_g1,6953,7041
7,ser_TRINITY_DN1038_c0_g1,2985,2843
1,ser_TRINITY_DN10380_c0_g1,5618,5953
8,ser_TRINITY_DN10381_c0_g1,769.5,2862
8,ser_TRINITY_DN10386_c0_g1,3227,5671
1,ser_TRINITY_DN10388_c0_g1,5447,6302
1,ser_TRINITY_DN1039_c0_g1,1968,6478
7,ser_TRINITY_DN103925_c0_g1,2457.5,2249
6,ser_TRINITY_DN1040_c0_g1,6227,7271
8,ser_TRINITY_DN104004_c0_g1,3742,2426
1,ser_TRINITY_DN10401_c0_g3,7325,7119
8,ser_TRINITY_DN10403_c0_g1,5997,5791
7,ser_TRINITY_DN10409_c0_g1,769.5,1145
5,ser_TRINITY_DN10421_c0_g1,4307.5,5565
3,ser_TRINITY_DN104217_c0_g1,3658,4338
1,ser_TRINITY_DN10423_c0_g1,4685,5994
8,ser_TRINITY_DN1043_c0_g1,769.5,979
1,ser_TRINITY_DN10431_c0_g1,769.5,5009
7,ser_TRINITY_DN10450_c0_g1,1785,4576
7,ser_TRINITY_DN10451_c0_g1,769.5,1508
1,ser_TRINITY_DN10451_c1_g1,8233,461
2,ser_TRINITY_DN10454_c0_g1,1612,3050
1,ser_TRINITY_DN10457_c0_g1,3316,1132
8,ser_TRINITY_DN10464_c0_g1,6368,2585
8,ser_TRINITY_DN10464_c0_g2,5637,1205
8,ser_TRINITY_DN104705_c0_g1,3362,5297
8,ser_TRINITY_DN104712_c0_g1,2396,3083
6,ser_TRINITY_DN10473_c0_g1,2972,3018
7,ser_TRINITY_DN1048_c0_g1,6473,107.5
2,ser_TRINITY_DN104806_c0_g3,4768,4757
8,ser_TRINITY_DN10500_c0_g2,769.5,2680
8,ser_TRINITY_DN10503_c0_g1,5524,5522
8,ser_TRINITY_DN105097_c0_g1,2343,1468
8,ser_TRINITY_DN105154_c0_g1,5044,2646
1,ser_TRINITY_DN105233_c0_g1,3202,2970
1,ser_TRINITY_DN105378_c0_g4,5805,8092
8,ser_TRINITY_DN1054_c0_g1,3346,7909
7,ser_TRINITY_DN105448_c0_g1,769.5,107.5
2,ser_TRINITY_DN10546_c1_g1,4201,4291
7,ser_TRINITY_DN1055_c0_g1,6649,1525
5,ser_TRINITY_DN10551_c0_g1,4223,1080
2,ser_TRINITY_DN10559_c0_g1,5930,4038
8,ser_TRINITY_DN10561_c0_g1,3866,6047
8,ser_TRINITY_DN10562_c0_g1,4758,6797
1,ser_TRINITY_DN10563_c0_g2,8159,7296
1,ser_TRINITY_DN10567_c0_g2,6382,5330
