PS,GeneID,gamete
1,dis_TRINITY_DN10438_c0_g1,1.307992
2,dis_TRINITY_DN10439_c0_g1,11.9379
7,dis_TRINITY_DN1044_c0_g1,108.816245
8,dis_TRINITY_DN10442_c0_g1,164.314527
8,dis_TRINITY_DN10445_c0_g1,329.599309
1,dis_TRINITY_DN10446_c0_g1,395.471115
2,dis_TRINITY_DN10446_c0_g2,7.03448
2,dis_TRINITY_DN10450_c0_g2,3.745991
8,dis_TRINITY_DN10450_c0_g4,7.07634
1,dis_TRINITY_DN10451_c0_g1,5.62004
8,dis_TRINITY_DN10452_c0_g1,2.185979
1,dis_TRINITY_DN10453_c0_g2,14.284409
1,dis_TRINITY_DN10454_c0_g2,46.720266
1,dis_TRINITY_DN10456_c0_g1,25.628856
8,dis_TRINITY_DN10457_c0_g1,2.052621
7,dis_TRINITY_DN1046_c0_g1,12.960027
7,dis_TRINITY_DN10462_c0_g1,7.277106
1,dis_TRINITY_DN10463_c0_g1,9.511393
1,dis_TRINITY_DN10463_c0_g4,66.363797
1,dis_TRINITY_DN10464_c0_g1,6.75289
8,dis_TRINITY_DN10464_c0_g2,4.990796
3,dis_TRINITY_DN10465_c0_g3,22.312547
1,dis_TRINITY_DN10468_c0_g1,0
2,dis_TRINITY_DN1047_c0_g1,4.503728
1,dis_TRINITY_DN10471_c0_g1,54.935844
8,dis_TRINITY_DN10471_c0_g2,11.485831
8,dis_TRINITY_DN10472_c0_g1,78.608853
8,dis_TRINITY_DN10477_c0_g1,6.510902
7,dis_TRINITY_DN10477_c0_g2,0
8,dis_TRINITY_DN10477_c0_g3,16.852233
1,dis_TRINITY_DN10479_c0_g1,93.84452
7,dis_TRINITY_DN10480_c0_g1,30.577843
1,dis_TRINITY_DN10481_c0_g1,69.139883
8,dis_TRINITY_DN10483_c0_g3,7.802501
8,dis_TRINITY_DN10484_c0_g1,9.329584
5,dis_TRINITY_DN1049_c0_g1,12.592737
8,dis_TRINITY_DN10490_c0_g2,7.426611
1,dis_TRINITY_DN10492_c0_g1,39.449998
8,dis_TRINITY_DN10493_c0_g3,18.040415
7,dis_TRINITY_DN10495_c0_g2,0
2,dis_TRINITY_DN10495_c0_g3,12.783518
1,dis_TRINITY_DN10497_c0_g1,22.150717
1,dis_TRINITY_DN105_c0_g1,30.658631
2,dis_TRINITY_DN1050_c0_g1,35.285938
1,dis_TRINITY_DN10501_c0_g1,3.487343
8,dis_TRINITY_DN10505_c0_g1,11.436031
1,dis_TRINITY_DN10506_c0_g1,3.740712
8,dis_TRINITY_DN10508_c0_g1,7.484871
7,dis_TRINITY_DN10509_c0_g4,0.504743
1,dis_TRINITY_DN1051_c0_g1,25.741249
1,dis_TRINITY_DN10517_c0_g1,0.651803
2,dis_TRINITY_DN10518_c0_g1,3.486239
8,dis_TRINITY_DN10518_c0_g6,1.091299
1,dis_TRINITY_DN10523_c0_g6,4.995709
2,dis_TRINITY_DN10527_c0_g1,54.930554
2,dis_TRINITY_DN10531_c0_g1,3.985843
1,dis_TRINITY_DN10537_c0_g1,51.791187
8,dis_TRINITY_DN10538_c0_g1,2.161434
1,dis_TRINITY_DN1054_c0_g1,7.583674
1,dis_TRINITY_DN10548_c0_g1,10.50501
8,dis_TRINITY_DN10555_c0_g1,6.769638
4,dis_TRINITY_DN10558_c0_g2,150.780668
8,dis_TRINITY_DN1056_c0_g1,198.617659
8,dis_TRINITY_DN1057_c0_g1,44.277305
8,dis_TRINITY_DN10573_c2_g3,0
8,dis_TRINITY_DN10573_c2_g5,19.254838
1,dis_TRINITY_DN10574_c0_g2,36.958145
8,dis_TRINITY_DN1058_c0_g1,10.038757
1,dis_TRINITY_DN10594_c0_g1,34.709697
8,dis_TRINITY_DN106_c0_g2,8.743972
4,dis_TRINITY_DN106_c0_g3,0.068409
7,dis_TRINITY_DN10601_c0_g4,87.324149
4,dis_TRINITY_DN10604_c0_g1,7.151864
7,dis_TRINITY_DN10605_c0_g1,33.907378
1,dis_TRINITY_DN10610_c0_g1,33.8287
2,dis_TRINITY_DN10610_c0_g2,5.726811
1,dis_TRINITY_DN1062_c0_g2,13.614887
6,dis_TRINITY_DN1063_c0_g1,8.41431
1,dis_TRINITY_DN10632_c0_g1,28.565774
8,dis_TRINITY_DN10643_c0_g1,17.783865
