OG,Fs_F_gametes_1,Fs_F_gametes_2,Fs_F_gametes_3,Fs_M_gametes_1,Fs_M_gametes_2,Fs_M_gametes_3,Fs_zygotes_24h_1,Fs_zygotes_24h_2,Fs_zygotes_24h_3,Fs_zygotes_48h_1,Fs_zygotes_48h_2,Fs_zygotes_48h_3,Fs_zygotes_48h_4,Fs_zygotes_48h_5,Fs_zygotes_48h_6,Fs_zygotes_1w_1,Fs_zygotes_1w_2,Fs_zygotes_1w_3,Fs_zygotes_3w_1,Fs_zygotes_3w_2,Fs_zygotes_3w_3,Fs_zygotes_4w_1,Fs_zygotes_4w_2,Fs_zygotes_4w_3,Fs_Fwild_matSP_holdfast_1,Fs_Fwild_matSP_holdfast_2,Fs_Fwild_matSP_holdfast_3,Fs_Fwild_matSP_reptip_1,Fs_Fwild_matSP_reptip_2,Fs_Fwild_matSP_reptip_3,Fs_Fwild_matSP_stipe_1,Fs_Fwild_matSP_stipe_2,Fs_Fwild_matSP_stipe_3,Fs_Fwild_matSP_vegtip_1,Fs_Fwild_matSP_vegtip_2,Fs_Fwild_matSP_vegtip_3,Fs_Mwild_matSP_holdfast_1,Fs_Mwild_matSP_holdfast_2,Fs_Mwild_matSP_holdfast_3,Fs_Mwild_matSP_reptip_1,Fs_Mwild_matSP_reptip_2,Fs_Mwild_matSP_reptip_3,Fs_Mwild_matSP_stipe_1,Fs_Mwild_matSP_stipe_2,Fs_Mwild_matSP_stipe_3,Fs_Mwild_matSP_vegtip_1,Fs_Mwild_matSP_vegtip_2,Fs_Mwild_matSP_vegtip_3
OG0001351,16.423182,29.415597000000002,28.212228,2.217589,1.301185,8.880625,5.663813,4.61592,4.211868,8.05711,7.657762,6.896272,8.811678,7.316647,7.344839,7.421234,6.968837000000001,6.78963,10.080901,5.667225,7.453187000000001,6.104198,7.341113999999999,6.736915,5.0432630000000005,3.4264430000000003,6.35534,5.491289,12.78162,16.843488,9.626908,4.44097,1.70712,9.241900000000001,8.46704,18.327029,9.694992000000001,3.1328739999999997,6.2765629999999994,8.961926,9.311494,11.363565999999999,8.48681,7.383108,8.743883,6.980391000000001,3.3862740000000002,7.654563
OG0001354,8.910125,18.326747,13.452245999999999,18.471251000000002,13.955388,9.111676000000001,17.493432,16.179584,13.037088,40.245856,40.475342999999995,33.963828,34.447198,28.698238,28.993648999999998,12.656277000000001,11.352949,14.979526,6.427481,7.802945,8.651268,10.3523,12.529816,16.304686999999998,7.909427,5.145068,5.307691,3.214217,15.133372000000001,12.271438,7.9317779999999996,5.504199000000001,3.238228,3.518072,4.528732,17.783692,7.358515,6.701351,16.391572999999998,61.453254,48.087413,15.764475,8.069873,9.583928,8.219798,4.450087,8.293168,8.667939
OG0001355,5.001675,4.881746,4.560759,0,0,0,3.655747,3.793058,3.782242,2.324394,2.699914,1.899787,1.413476,3.490418,2.086968,3.14564,2.844699,3.556726,4.489786,3.926461,4.251978,4.153781,3.185343,4.804678,0.135016,0.446345,0.75889,2.420346,2.77436,4.62257,0.881403,1.090713,0,1.782243,2.214686,3.042752,1.012758,0.950385,0.63699,3.743889,2.732751,1.21828,0.756315,1.665743,0.862669,1.709295,1.255614,1.403074
OG0001357,9.544787,9.255185,20.630257,11.664923,12.959646,26.188657,18.189764,19.381416,14.293567,20.661491,17.313513,21.945848,18.304719,16.971436,17.745287,5.896949,9.443651,7.613807,6.036057,8.561565,7.468987,10.445801,9.666839,11.23164,3.323165,0.903635,1.414905,6.609834,9.321059,17.480642,3.591303,1.019232,0,6.807559,4.532507,22.005163,2.396519,1.931646,2.175224,29.065264,9.900098,13.664387,3.46137,2.785109,2.555202,2.333869,2.552711,5.509291
OG0001359,2.199427,2.307014,2.169607,0.692894,0.606645,0.165953,7.495804,6.50994,7.255902,7.181363,5.216234,5.186857,6.752402,5.89708,6.287051,3.686358,4.479029,4.055138,6.244748,6.168733,3.708684,4.306038,4.191682,4.880876,1.361186,1.470945,1.276996,1.796238,3.363671,1.476295,3.019017,1.689619,2.31479,1.250415,1.850706,2.431696,2.69199,2.537331,3.245926,2.827357,7.119046,5.853813,3.247323,3.572729,4.903473,2.543735,3.721598,5.445915
OG0001360,0,0.224323,0,693.646132,546.371375,484.605723,0,0.224538,0.239291,0.325703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31161,0,0.250858,0,311.839691,214.882339,183.442231,0,0,2.655898,0,0.507432,9.467067
OG0001361,1.411027,1.685385,1.697282,0,0.231083,0,16.293433,17.997218,15.263257,73.763244,70.998046,75.035574,63.028003,63.14151,64.400406,17.942739,18.712435,21.647977,2.31507,4.669768,3.498473,3.398583,3.763446,7.019469,0.138812,1.800307,4.97759,2.384843,1.795131,0.997521,9.330466,3.134464,1.291704,1.094952,1.692212,0.431992,3.090842,3.645303,1.69696,6.657494,4.630691,3.375926,6.922845,6.672856,3.855839,4.324349,5.850882,1.372598
OG0001362,69.76181,79.118494,100.041165,51.277697,56.685995,73.438637,76.482219,73.864128,58.323943,59.316353,53.804055,53.727169,35.117594,29.36422,31.957003,42.979339,37.817082,40.396793,31.322275,46.3502,57.005931,68.435888,60.127481,78.968985,57.761074,129.167002,100.947561,31.271654,51.398077,57.911673,65.094133,119.485452,63.501563,30.21571,34.248456,91.081963,85.933134,91.769466,48.669296,40.186311,48.675167,33.216695,48.600654,45.268951,19.095465,22.668653,25.54121,11.909036
OG0001363,60.760305,57.333732,61.320314,2.100451,3.046368,0.241085,67.996441,72.04418,67.047685,90.903468,75.444208,83.822985,79.405918,77.881128,82.587833,44.669395,41.908762,49.407479,86.084115,102.760793,107.08236,68.196888,93.48828,96.722558,135.891468,202.244923,150.097735,201.727236,171.717408,131.866147,163.656318,179.971256,263.768419,178.52866999999998,157.312227,92.31537,271.397269,241.188756,209.212049,173.176878,192.627623,201.883904,301.662577,296.426129,288.73799,163.245064,152.03024900000003,231.39097
OG0001364,13.7321,12.387558,11.880054,1.784285,1.713853,0.45414,13.113098,14.46922,14.903211,21.185454,26.446855,24.769326,20.574556,27.648332,25.773451,22.422168,24.265851,26.167317,19.187854,18.040108,16.388313,21.170214,20.025256,19.826209,3.305017,4.545523,6.350179,7.061346,8.856186,9.396216,7.650176,5.848296,2.973824,8.280336,9.050428,9.140901,8.813069,8.084921,3.771368,14.440492,13.831017,12.217767,9.640367,10.243595,8.139659,17.809205,14.029508,15.189323
OG0001366,0,0.170711,0,0,0,0.516731,0.210862,0,0.192938,1.516723,0.22027,0.249545,0.19364,0.768891,0.225459,1.60184,1.140064,1.398131,1.657448,1.52242,2.033742,0.622253,1.580967,0.731669,3.2161459999999997,6.539726,7.286378,4.085534,2.920612,5.874536,7.390776000000001,7.215987,4.622812,5.541793,5.603539,6.168916,5.727710999999999,3.8990310000000004,8.753599999999999,6.675309,4.028942000000001,10.640827999999999,8.543496,9.287896,10.586544,7.529349,3.369205,18.094106
OG0001367,22.720025,25.133422,28.095348,1.659909,2.80468,2.499584,38.355658,36.415271,39.045287,36.337039,36.725542,35.525501,28.681159,36.187644,40.425634,21.983218,29.118675,22.7934,19.876666,18.28371,21.007172,23.381601,23.655186,16.432185,21.806211,13.395369,18.275895,29.697753,29.709329,37.004569,16.790893,24.036226,2.720417,35.580406,38.809356,35.281759,22.407044,23.529432,23.292537,30.613169,29.518006,40.046117,25.448694,28.686386,18.532549,27.618871,24.505459,30.310718
OG0001368,0,4.162976,2.515788,2.304139,2.996102,2.105215,5.641838,1.775509,1.94072,8.836167,2.622947,3.2819849999999997,4.2734309999999995,1.4246240000000001,2.842567,1.041202,1.8485200000000002,0.514545,7.0002450000000005,9.125177,4.541743,11.143609,10.46727,7.1902,0.125995,0,3.497554,6.143315,1.40584,5.232253,0,0.505318,0,0.868625,0.45371300000000003,0.3483,0.21412,0.198784,1.107912,2.039117,4.243944,3.776377,0,0.76151,0,1.293838,1.3877389999999998,2.348263
OG0001369,6.342091,5.788841,4.576687,0,0,0.045008,5.149234,5.83076,7.161645,6.010431,5.625818,5.153412,5.508915,7.025937,6.137906,4.085702,5.331389,6.021741,5.746186,5.025716,4.737211,6.386094,5.689029,7.235278,0.916895,1.88858,2.817599,2.537188,3.228698,4.116589,2.139918,1.935568,2.408151,1.482807,1.571506,1.517292,3.428878,2.249257,5.161714,5.953299,4.213197,6.002866,4.641031,4.034709,3.180702,2.298572,2.153972,7.020655
OG0001370,5.7565,6.034712,7.135064,7.221796,4.726437,5.243588,8.144593,8.255936,5.042297,2.360166,2.22586,1.868525,1.416613,0.8613,1.031517,2.557353,3.185869,2.890276,3.899412,7.052496,6.799634,7.803641,8.877954,12.428982,2.502055,6.245565,4.495687,3.266596,8.832094,8.041718,8.197294,9.437034,2.042855,5.525199,7.26508,10.621492,3.759764,11.454067,1.209519,9.44789,6.044471,1.861926,9.546097,10.008033,2.424841,7.160036,5.977118,2.003958
OG0001371,10.245814,4.700376,13.695222,15.332513,5.626278,11.651514,44.602321,38.048121,42.752501,53.938272,53.967364,57.927589,53.191739,54.898261,61.558013,22.157526,20.05155,24.191181,23.285133,22.234925,30.869619,21.465163,24.956253,34.447564,1.721863,9.304929,8.418978,4.59767,13.432026,6.241102,5.082226,7.910171,15.681447,4.845135,9.522625,6.022564,5.259248,7.710578,3.963007,19.224805,24.131817,7.516715,5.709503,6.578168,4.979604,5.683771,7.040802,5.512265
OG0001373,1.217944,3.345547,0.689902,0,0,0,10.725445,10.551765,5.478919,39.932604,42.597643,42.248983,19.16363,15.529855,28.563269,27.278451,27.196872,31.474958,15.388676,18.967511,15.932511,16.362887,13.36371,21.610276,4.14019,5.53106,2.319391,12.078463,17.359129,6.021468,5.008483,11.638047,2.111648,15.382234,12.509151,5.517694,3.940083,7.253406,1.744328,7.184636,6.460426,4.615549,7.227068,7.560769,2.802181,13.687719,27.217582,9.855651
