PS,GeneID,gamete,S1,S2,S3,S4,S4.5,S5,matSP
8,dis_TRINITY_DN0_c1_g2,2.4853892093658674,3.6919115827286175,4.094420473465378,3.6821507004092053,3.7310590480798673,3.796563231248738,3.6130690615534027,3.8588633166672714
8,dis_TRINITY_DN1_c0_g4,3.0589766440410484,4.047526585128833,3.461366443469768,3.141519232049527,3.169454708064962,3.1630266546119747,3.074375290834736,3.183156300160446
1,dis_TRINITY_DN10_c0_g1,-0.6238881725160492,-0.8563355996234716,-0.8796184105663818,-0.15151766347080675,0.34339363044977667,0.0028224478461097643,1.158089664943363,0.09648499957054701
7,dis_TRINITY_DN10_c0_g3,-0.5087698862394505,-0.7729086997755573,-0.8026091024590664,1.8078184189509254,1.114429836476139,-0.6966974720015143,2.176581667740221,-0.29835836414047145
7,dis_TRINITY_DN100_c0_g1,7.046643129425462,6.270566636975243,6.182323749872235,6.542766688489717,6.3995694784024595,5.712343408110144,6.447228187175051,7.282925042453234
8,dis_TRINITY_DN100_c0_g3,2.319952720158241,2.8524803844363635,3.325558587154643,3.407484391489704,3.336178588444378,2.773158105124852,3.5007978686822456,3.9153303565863595
7,dis_TRINITY_DN1000_c0_g1,3.7298610244053556,3.5087406583458383,3.7971969875496105,3.5456613366965786,3.4960331802806897,3.712885159767122,3.7865101423774252,3.3684041627288073
8,dis_TRINITY_DN10001_c0_g1,4.9480557002265435,5.138533348679019,5.026100064936612,4.782304294919921,5.149682430657417,5.46106030560294,5.244340835221106,5.162974567898608
8,dis_TRINITY_DN1001_c0_g1,3.001828115552308,-1.007171559671899,-1.0732296116125082,-1.0655036931312356,-0.03785077247817947,0.12171554352937247,-0.92946589872477,-0.8079833113386983
1,dis_TRINITY_DN1001_c0_g3,3.6141150706822893,3.836396152963366,4.549452497695799,4.813438903967322,5.2078342689497985,5.339261154666525,5.615683899711668,4.142550070672149
1,dis_TRINITY_DN10011_c0_g3,2.4921939055992794,3.637510191705905,3.9296528964275255,3.2474567946631794,3.147811324236386,3.5306497347193893,3.014236133556077,3.1714599173453903
1,dis_TRINITY_DN10015_c0_g1,2.665477493741322,3.910225636077181,4.433059102507714,4.162979533430777,4.112659384129054,3.6680432629190123,3.915296224584113,3.6870016133581407
1,dis_TRINITY_DN10021_c0_g2,5.130954777438552,3.8591397339355,3.5680812643661968,4.170615605677078,4.2485989012615555,4.306912226680001,4.119924475351552,4.3372327976830976
1,dis_TRINITY_DN10021_c0_g3,7.418445841613339,6.977001394773605,6.989556821784697,7.181635337544489,6.405594099795311,6.7481588966251245,6.496538439184085,6.531889825069679
7,dis_TRINITY_DN10021_c0_g5,5.190688431558943,5.516923236511736,5.081978320389254,6.007193707580933,6.734522863548813,7.120927417570321,6.86375725902111,5.660613376483104
8,dis_TRINITY_DN10025_c0_g1,4.03625985138553,4.256824993089222,4.7662921246075305,3.6374742983794626,3.7488623504211294,3.8837242455137586,3.915539143118905,3.6107661525731354
6,dis_TRINITY_DN1003_c0_g1,5.574638503977738,4.719745916198465,4.690904849103175,4.350289756375591,4.653315349230118,4.827035277015533,4.726891997555764,5.103256827682632
8,dis_TRINITY_DN10031_c0_g2,5.1782070266429585,4.293004596751119,4.52999583425003,4.249570949753086,4.375454759014502,4.687166204340349,3.711728835201912,4.299955841131787
1,dis_TRINITY_DN10032_c0_g1,10.16763121468366,10.244497619677125,10.119592871010854,11.3423482910019,11.036858343276071,11.445770059444481,11.767357899697615,11.47988652863635
8,dis_TRINITY_DN100378_c0_g1,4.223819668455452,2.5259892415707883,2.416797710866017,3.0503370040833646,2.921227103377465,2.264613523998807,2.965338421064954,3.2091557413545786
8,dis_TRINITY_DN10039_c0_g1,2.8517959323762714,3.5249649612522838,3.6683239579882834,2.4704555183001027,2.859563922105702,2.2225042106758317,2.165735154332607,2.8302685190855144
2,dis_TRINITY_DN1004_c0_g1,4.385957653383618,5.194931949559583,5.246233737157695,4.9719564692101335,5.0693859245912964,4.880355294154238,4.93190506510458,4.915075550256035
2,dis_TRINITY_DN1004_c0_g2,4.561204814460051,5.529723702842217,5.94280370941828,5.638424279118114,5.848416942567207,6.007409604551677,5.8056805809882785,5.865280233815559
8,dis_TRINITY_DN10041_c0_g1,4.999381851743953,5.5044348421748905,5.627914506051605,4.9895966249763255,4.965095042236015,5.1164308493657185,5.050364386137962,4.382634894631507
1,dis_TRINITY_DN10045_c0_g1,7.89016347578362,6.0538324703221615,7.012406865708284,6.243678137473304,5.846123264186501,4.8989225066987645,5.4138500327863035,2.9850390135491374
1,dis_TRINITY_DN10051_c0_g1,8.241258591555642,8.038574645937063,7.7869397584404965,7.739204481819298,8.04618328930729,8.334054638525682,8.098165281751605,7.7469163886059675
8,dis_TRINITY_DN10055_c0_g1,0.9344327073683641,1.4333166132119624,1.5994248313762263,0.9614645891801731,0.36636257314517,0.4661700449115542,0.8406834741711575,0.43394477057682346
3,dis_TRINITY_DN10059_c0_g1,6.140825132349168,5.4052598265245795,5.555543447315073,6.066562539813292,5.346105832538184,5.277348482671771,5.685044941089081,5.140683448361498
7,dis_TRINITY_DN10059_c0_g2,5.592549520244098,5.973433406537827,5.942553642440117,5.975247889053099,5.171323357669333,4.703564360825158,4.37225758254345,3.7278168190582157
1,dis_TRINITY_DN10061_c0_g1,-1.2866230963850205,-1.5936714937067704,-1.6110788461523993,-1.6081777904133059,-1.592218509625134,-1.5301817467989787,0.8960137057344802,-1.4223698976237982
8,dis_TRINITY_DN10066_c0_g1,1.618872920402985,1.656456088448464,1.5541906891154154,1.0503216042671994,0.9537092642931764,0.7103930227757977,0.6935109693639665,1.013712988792729
1,dis_TRINITY_DN10067_c0_g2,3.527719765356352,3.538657088645479,4.180677792825615,7.312089282476757,5.686264397222493,5.557615889782562,6.9522446844988535,6.615637753396291
1,dis_TRINITY_DN10080_c0_g1,-1.4885046322344657,-1.6832163203487773,-1.69406112836554,-1.6922551701157866,-1.6823087210926642,-1.626250335676022,8.871709492273006e-4,-1.5400811104150167
7,dis_TRINITY_DN10084_c0_g1,4.913756021474794,4.546197790932105,4.0634332587331015,5.147789226036597,4.495420446941222,4.376299789148253,4.336905688485812,4.155197340800851
1,dis_TRINITY_DN10087_c0_g1,4.817636210635376,-0.7751768376314043,-0.8484636045148723,-0.8398985205035111,-0.792815187205175,-0.6681241892180965,-0.688686867160802,-0.5590883851509008
1,dis_TRINITY_DN100876_c0_g1,4.078403911619926,4.123154668852212,3.7348669527989284,3.9408692894738673,3.8228867436000984,4.249814351623541,3.7135728685236757,3.923215846348688
8,dis_TRINITY_DN10089_c0_g1,4.57649241734225,3.8489098833840854,3.666768161942607,4.278152426272358,4.0856844559823315,3.8081153467819866,4.252497575922622,4.37879307828528
2,dis_TRINITY_DN101_c0_g1,4.562007393154026,5.2672014724787015,5.786374815203341,4.737305236049853,4.542370942511882,4.711147078631496,4.996715211625714,4.193454810432522
8,dis_TRINITY_DN10119_c0_g1,4.870986480095466,5.249918676742265,4.805552868295919,4.9281316704450315,5.044706457080477,4.996295920580569,4.749091280536437,4.710454944083866
1,dis_TRINITY_DN1013_c0_g1,3.2283948655801717,2.181190438661659,1.86395268260272,2.704141227360247,2.488458638550719,2.520794931901839,2.864317231402131,3.597351232333679
8,dis_TRINITY_DN101321_c0_g1,0.55346708919400045,1.2667897609329632,1.1016067375969443,0.6751303268145525,1.3726063717977808,1.0171364585349756,0.9456475661245228,1.2280119741511488
2,dis_TRINITY_DN10140_c0_g1,4.668125897938287,2.6547756137662715,2.489461474923763,2.4241129988308208,2.1540176310211927,2.09558245691517,2.070849785198452,2.773685258120663
2,dis_TRINITY_DN10147_c0_g1,3.5654401839694425,2.6518709714632864,2.6586403384656676,2.5044703700772484,3.2395564544498314,3.3711403940693265,2.7384020707040504,2.617109909944956
8,dis_TRINITY_DN10150_c0_g1,0.21695040247591074,0.9562051935344478,1.4801688241450202,0.2954411262392562,-0.2451720804444142,-0.23831253802078212,-0.00830694630069509,0.30304972522885026
8,dis_TRINITY_DN10150_c0_g4,-0.12082492683081952,1.8171223140714492,2.604811283337539,0.430229346892675,0.05035459860300076,0.16035369627794532,-0.22808848576863938,-0.24142561784563726
8,dis_TRINITY_DN101555_c0_g1,0.6459906152591754,0.6922642216290985,0.0557816093838257,1.5158691084210854,2.0627339784294505,2.2367206650759877,1.1226486855337126,1.973234042608545
7,dis_TRINITY_DN10156_c0_g1,2.6488173799551182,1.077990246310902,1.1164064056673282,2.675349076740172,2.8019020734044418,2.8753859508679205,2.70646037803666,3.326887031976837
1,dis_TRINITY_DN10160_c0_g1,4.506079293962458,4.5916522516523,4.152097421029862,4.523669482654126,4.847112269589555,4.73367784893561,4.850145833260928,5.677944840504811
7,dis_TRINITY_DN10168_c0_g2,-0.07714189574300484,2.059725721892583,2.6477493452333536,0.45604580388937366,-0.32198639825002984,-0.2443914896541256,0.38629650672561555,0.6148639438796191
