PS,GeneID,V1
7,dis_TRINITY_DN100_c0_g1,7.21520298403692
1,dis_TRINITY_DN10021_c0_g3,7.614122974804364
7,dis_TRINITY_DN10021_c0_g5,7.071811924363789
1,dis_TRINITY_DN10032_c0_g1,8.749652554427746
2,dis_TRINITY_DN1004_c0_g2,7.051484476152899
1,dis_TRINITY_DN10045_c0_g1,9.88045449375099
1,dis_TRINITY_DN10051_c0_g1,7.894855091043785
3,dis_TRINITY_DN10059_c0_g1,7.238558803285567
7,dis_TRINITY_DN10059_c0_g2,7.079276882092257
1,dis_TRINITY_DN10061_c0_g1,6.994775615145349
1,dis_TRINITY_DN10067_c0_g2,7.055841561297421
1,dis_TRINITY_DN10080_c0_g1,6.9886846867721655
1,dis_TRINITY_DN10087_c0_g1,9.971459048918861
2,dis_TRINITY_DN101_c0_g1,7.120757143726427
1,dis_TRINITY_DN10172_c0_g1,7.9278148377257835
1,dis_TRINITY_DN102_c0_g1,8.621536846540552
1,dis_TRINITY_DN1020_c0_g1,7.976704030127154
8,dis_TRINITY_DN10208_c0_g1,7.102973403036799
3,dis_TRINITY_DN10219_c0_g1,8.177933783305704
1,dis_TRINITY_DN10236_c0_g1,6.9886846867721655
7,dis_TRINITY_DN10242_c0_g1,7.252147170616136
1,dis_TRINITY_DN10249_c1_g1,7.252830297057264
8,dis_TRINITY_DN10280_c0_g4,7.186810379344721
8,dis_TRINITY_DN10304_c0_g1,7.29074777225224
7,dis_TRINITY_DN10305_c0_g5,7.204156253532807
8,dis_TRINITY_DN10336_c0_g1,8.06390636809308
1,dis_TRINITY_DN1035_c0_g1,7.227352369397003
8,dis_TRINITY_DN10357_c0_g1,7.720521318069102
1,dis_TRINITY_DN10359_c1_g4,7.221601040667397
1,dis_TRINITY_DN1036_c0_g4,7.310382495520828
1,dis_TRINITY_DN10366_c0_g1,7.266960028394209
8,dis_TRINITY_DN10368_c0_g1,7.057470840189556
8,dis_TRINITY_DN10403_c0_g2,7.795012674210366
7,dis_TRINITY_DN10406_c0_g1,7.401142776653031
1,dis_TRINITY_DN10438_c0_g1,6.992040091485933
7,dis_TRINITY_DN1044_c0_g1,7.570007956476156
8,dis_TRINITY_DN10442_c0_g1,7.169747098160341
8,dis_TRINITY_DN10445_c0_g1,7.462647814883244
1,dis_TRINITY_DN10446_c0_g1,8.083805007229946
1,dis_TRINITY_DN10454_c0_g2,7.067506211365238
1,dis_TRINITY_DN10464_c0_g1,7.013634033020616
1,dis_TRINITY_DN10468_c0_g1,8.30575513088647
1,dis_TRINITY_DN10471_c0_g1,7.110210452177798
8,dis_TRINITY_DN10472_c0_g1,9.0388916957673
1,dis_TRINITY_DN10481_c0_g1,7.168662471722018
8,dis_TRINITY_DN10483_c0_g3,8.899039005529145
1,dis_TRINITY_DN10492_c0_g1,7.217585189767529
7,dis_TRINITY_DN10495_c0_g2,6.9886846867721655
1,dis_TRINITY_DN105_c0_g1,7.081928925729826
8,dis_TRINITY_DN10505_c0_g1,7.0006208902349165
1,dis_TRINITY_DN10542_c0_g1,6.9886846867721655
4,dis_TRINITY_DN10558_c0_g2,10.790511867216232
8,dis_TRINITY_DN1056_c0_g1,7.288925247666853
7,dis_TRINITY_DN10601_c0_g4,7.224898520092126
1,dis_TRINITY_DN10610_c0_g1,7.109803100498802
1,dis_TRINITY_DN1062_c0_g2,7.139822072766334
1,dis_TRINITY_DN1066_c0_g4,9.10484096710046
1,dis_TRINITY_DN1073_c0_g4,7.035585884538669
8,dis_TRINITY_DN1075_c0_g1,8.743751258812665
1,dis_TRINITY_DN1080_c1_g1,7.061201045877545
1,dis_TRINITY_DN10808_c0_g1,7.380619806924446
1,dis_TRINITY_DN10814_c0_g1,8.256508388792103
8,dis_TRINITY_DN10818_c0_g1,7.8203560583204546
7,dis_TRINITY_DN1082_c1_g3,6.9886846867721655
2,dis_TRINITY_DN10821_c0_g1,7.701616047558473
1,dis_TRINITY_DN10828_c0_g1,7.256515757609165
1,dis_TRINITY_DN10828_c0_g2,7.444460678317378
1,dis_TRINITY_DN1083_c0_g1,7.018042773171538
1,dis_TRINITY_DN10834_c0_g1,7.042968064875814
2,dis_TRINITY_DN10835_c0_g2,8.486062728740956
1,dis_TRINITY_DN10837_c0_g1,9.849309309072513
5,dis_TRINITY_DN10839_c0_g1,7.171873307303579
1,dis_TRINITY_DN10843_c0_g1,7.242945276755622
1,dis_TRINITY_DN10872_c0_g1,7.378595910942846
8,dis_TRINITY_DN10874_c0_g1,7.101537392656577
1,dis_TRINITY_DN10880_c0_g1,7.518813957545353
1,dis_TRINITY_DN10891_c0_g1,7.898925415536345
8,dis_TRINITY_DN10891_c0_g2,7.009427260036678
7,dis_TRINITY_DN10922_c0_g1,7.183801558462258
1,dis_TRINITY_DN109406_c0_g1,7.421599975262869
1,dis_TRINITY_DN1095_c0_g1,8.489499424218428
8,dis_TRINITY_DN1096_c0_g1,7.202838371198415
7,dis_TRINITY_DN109679_c0_g1,6.9886846867721655
1,dis_TRINITY_DN1098_c0_g1,7.060486082646522
8,dis_TRINITY_DN10998_c0_g1,8.7362801376845
8,dis_TRINITY_DN11_c3_g4,7.627746701859611
1,dis_TRINITY_DN1101_c0_g9,6.992359692348182
5,dis_TRINITY_DN1102_c0_g1,7.044730184439979
8,dis_TRINITY_DN11034_c0_g1,7.989991817976371
8,dis_TRINITY_DN11064_c0_g1,7.131042917260444
7,dis_TRINITY_DN11112_c0_g1,9.952976353836874
1,dis_TRINITY_DN11138_c0_g2,8.278015645927102
8,dis_TRINITY_DN11152_c0_g1,9.055952455126919
1,dis_TRINITY_DN11162_c0_g1,7.021466401963682
1,dis_TRINITY_DN11191_c0_g1,7.935417474099637
1,dis_TRINITY_DN11221_c0_g1,7.0499259629338695
8,dis_TRINITY_DN11237_c0_g1,7.052446457189678
8,dis_TRINITY_DN11250_c0_g1,9.050787685893834
1,dis_TRINITY_DN11265_c0_g1,7.612776183965342
2,dis_TRINITY_DN11268_c0_g1,8.377441416880616
1,dis_TRINITY_DN11269_c0_g1,7.13030355843749
2,dis_TRINITY_DN11271_c0_g2,7.040269630021551
8,dis_TRINITY_DN11288_c0_g2,7.123443985932449
8,dis_TRINITY_DN1130_c0_g1,7.024433925710136
7,dis_TRINITY_DN11307_c0_g1,7.2144353186490635
8,dis_TRINITY_DN11324_c0_g1,7.668341336743782
8,dis_TRINITY_DN11328_c0_g1,7.449031458279022
1,dis_TRINITY_DN11328_c0_g3,7.843178985556823
8,dis_TRINITY_DN11349_c0_g1,7.070299328393595
1,dis_TRINITY_DN11356_c1_g1,7.280460673344947
7,dis_TRINITY_DN11358_c0_g1,7.086469808691085
8,dis_TRINITY_DN11369_c0_g4,7.471759205245994
8,dis_TRINITY_DN11373_c0_g1,7.038729879623044
8,dis_TRINITY_DN11387_c0_g1,7.466776088067817
1,dis_TRINITY_DN11394_c0_g1,7.012963729244801
1,dis_TRINITY_DN11394_c0_g4,7.206787425725482
7,dis_TRINITY_DN1141_c0_g1,7.257557872670607
8,dis_TRINITY_DN1142_c0_g1,8.061668833755785
1,dis_TRINITY_DN1143_c0_g1,7.180437188876305
7,dis_TRINITY_DN11430_c0_g1,7.185786233712624
1,dis_TRINITY_DN11470_c0_g1,7.145680012512968
2,dis_TRINITY_DN11473_c0_g1,8.41275191761355
8,dis_TRINITY_DN11497_c0_g1,7.155582423561878
7,dis_TRINITY_DN11498_c0_g1,7.019640507427385
1,dis_TRINITY_DN115_c0_g1,8.601436222615797
7,dis_TRINITY_DN115_c0_g5,7.113243647020588
8,dis_TRINITY_DN11502_c0_g1,7.30605054895348
1,dis_TRINITY_DN11507_c0_g1,7.762759306041688
8,dis_TRINITY_DN11516_c0_g2,7.361516506106262
2,dis_TRINITY_DN11516_c0_g3,7.129856322772147
8,dis_TRINITY_DN11517_c0_g2,7.2707389681663175
8,dis_TRINITY_DN11519_c0_g1,7.1457145918887335
8,dis_TRINITY_DN11526_c0_g1,7.135367297353846
8,dis_TRINITY_DN11537_c0_g5,6.9886846867721655
8,dis_TRINITY_DN1155_c0_g2,7.124394043317443
7,dis_TRINITY_DN11567_c0_g1,6.9886846867721655
1,dis_TRINITY_DN1157_c0_g1,8.808098681124111
