rank,gene_id,f_immGA,f_matGA,matSP_holdfast,matSP_sorus,matSP_stipe,4wSP,earlySP,matSP_meristem,matSP_vegfrond
1,nbis-gene-7448,0,0,0,0,0,0,73.068431,0,0
7,nbis-gene-745,1.849535,2.9415495,7.162747,7.24594,4.273217,5.048951,0,7.2628135,2.655445
1,nbis-gene-7451,40.4149565,62.253600500000005,98.634544,85.485804,76.162489,48.378062,0,81.1895655,63.529906
1,nbis-gene-7453,30.369794,36.415946000000005,51.386491,36.658615,40.270682,21.345163,0,31.4459005,39.72859
1,nbis-gene-7455,12.650701999999999,12.4359745,30.542082,40.07941,35.458858,39.650519,0,23.9911375,25.197846
7,nbis-gene-7457,6.022551,5.558966,7.004599,7.115404,8.402914,11.462398,0,7.5895785,5.605144
2,nbis-gene-7458,15.726931,16.9526385,28.474872,20.774328,25.890377,3.991654,0,27.3227015,15.148586
7,nbis-gene-7459,48.3144745,55.3890515,18.028343,46.459351,6.640906,38.87933,0,14.0606525,21.749535
8,nbis-gene-746,2.7194115,2.1376225,0,3.677461,2.229973,3.294739,0,1.340093,1.854526
1,nbis-gene-7462,12.986211999999998,6.5801385,2.688658,14.078152,3.21251,9.853813,0,3.8767925,2.841919
7,nbis-gene-7464,7.395360999999999,9.293677,18.884511,41.426429,27.719898,21.65167,0,17.561932,16.486459
7,nbis-gene-7465,2.5129505,2.2649524999999997,10.256367,9.814219,4.790474,1.429262,0,4.2125075,3.329816
8,nbis-gene-7468,0,0,0.538596,5.459337,0,0,0,3.6645385,12.832496
2,nbis-gene-7471,7.131704500000001,19.110736,26.403148,14.581704,27.149674,25.908039,0,19.2210635,25.062304
1,nbis-gene-7472,39.115652,42.630099,33.606099,96.194416,46.006417,43.907041,30.8864035,63.0639805,43.986254
1,nbis-gene-7474,17.292444500000002,15.3137005,10.540822,18.5349,6.832502,14.575596000000001,0,9.591280000000001,9.638526
1,nbis-gene-7476,21.665728,32.058001000000004,56.218615,45.681514,47.750416,64.013276,0,45.179568,33.819687
7,nbis-gene-7477,18.2036145,21.160211,33.280207,23.26053,21.656576,41.389286,0,23.058308500000003,13.75151
7,nbis-gene-7478,7.9097715,14.6768035,0,0,0,0,0,0,0
10,nbis-gene-748,14.2064475,11.1018155,12.463638,7.619941,3.082807,7.316655,0,5.768997499999999,10.680565
7,nbis-gene-7484,4.8480229999999995,8.9857985,17.0889,19.15404,9.905172,11.257595,0,9.9691045,7.334192
2,nbis-gene-7485,0.983271,0.7996905,1.733864,2.355601,0.523817,1.92001,0,1.2720305,0.585723
7,nbis-gene-749,7.7376915,11.956225,10.709609,9.810251,13.458233,9.629964,0,9.216676,7.382694
7,nbis-gene-7490,4.2687035,1.82971,6.329785,6.314778,6.235134,16.766794,0,7.232031,9.41034
1,nbis-gene-7491,33.3501295,32.368979499999995,4.545068,20.139711,2.856424,31.074136,0,10.431470999999998,4.616436
7,nbis-gene-7495,121.625136,119.8066135,4.545078,57.231815,13.376014,166.503925,0,25.7408185,33.432566
6,nbis-gene-7497,9.548674,8.627220999999999,54.58074,32.833047,30.990815,7.822624,0,19.065959499999998,21.62611
5,nbis-gene-7498,0,0,4.693123,16.578151,36.141847,10.9831,129.794168,23.170516,7.003611
7,nbis-gene-7499,19.266023,42.147143,72.799963,60.932229,80.612574,10.798488,0,36.0454375,29.99583
10,nbis-gene-750,42.3583365,32.85685,0,0.452843,0,0,0,0,0
1,nbis-gene-7502,31.92034,35.067869,109.509553,91.967661,59.782693,30.018471,0,55.9363415,70.582011
1,nbis-gene-7505,3.1950015,1.1678015,10.573072,3.058871,8.810308,3.301369,0,18.903263,6.506254
1,nbis-gene-7506,0.2822,3.445778,0.043058,98.13299,0,0.206888,0,0,0.207151
1,nbis-gene-7508,13.8793245,12.8603805,3.946697,5.938266,7.447475,3.834338,0,5.4431515,3.058609
1,nbis-gene-7509,0,0,0,0,0,5.317055,0,0,0
8,nbis-gene-751,3.1435895,1.9810500000000002,3.576845,11.886314,5.438232,4.728229,0,8.125077,4.205216
1,nbis-gene-7510,55.649417,72.441975,33.389552,31.935301,24.081674,46.608833,0,45.956617,34.263033
4,nbis-gene-7511,17.4213685,11.3629855,33.385118,51.56663,19.268799,31.337944,0,30.1000455,17.00166
6,nbis-gene-7512,55.552061,92.52414350000001,59.710482,300.404887,393.987123,323.070563,44.52851,999.8744975,221.145883
1,nbis-gene-7513,8.4573485,8.732794,18.161974,14.926583,21.642645,13.495543,0,14.3554195,7.175711
5,nbis-gene-7514,16.270149,9.7957415,8.924667,30.264142,19.080037,3.883857,0,11.761282999999999,28.026497
7,nbis-gene-7515,14.7114575,9.472030499999999,8.661933,34.5162,20.96275,4.070556,0.114227,19.7169265,34.014856
7,nbis-gene-7516,9.8643415,5.603025000000001,5.707674,28.053592,12.078204,3.35644,0,17.3271665,21.052486
1,nbis-gene-7517,4.0629314999999995,0,3.979603,5.992854,5.415547,4.559769,0,12.449092499999999,10.899396
6,nbis-gene-7518,2.191845,3.1032425,2.164542,6.941805,5.544648,2.826576,0,4.730252,5.492083
1,nbis-gene-7519,17.8748165,28.772539000000002,0.682271,6.896175,1.717248,25.852046,63.801941,1.8901865,6.654913
1,nbis-gene-7520,11.804789,11.0491575,3.635005,15.10923,4.074989,16.75019,0,3.867868,3.62627
1,nbis-gene-7521,25.38344,30.611964,46.862944,81.091637,53.496488,45.246238,0,37.8165385,42.750045
7,nbis-gene-7526,2.826721,1.7969045000000001,1.006718,1.847753,1.020342,1.200079,0,1.361373,1.294095
1,nbis-gene-7527,0,0,0,0,0,0,0,0,0
1,nbis-gene-7528,0,0,0,0,0,0,0,0,0
8,nbis-gene-753,0,0,475.168988,33.985529,417.301139,23.058783,0,174.77268,149.136834
1,nbis-gene-7530,49.175917,30.345256,4.376491,12.251605,14.514695,25.760088,0,11.038487,8.088334
1,nbis-gene-7533,7.855811,5.2548505,5.191057,6.327802,7.770604,9.719898,0,5.6074245000000005,0
1,nbis-gene-7534,14.243683,6.202342,0,9.869185,21.956549,10.299951,0,15.809536999999999,10.219601
1,nbis-gene-7535,31.389889,41.8344435,59.235254,45.068628,114.087963,41.592263,0,77.76873,52.693419
4,nbis-gene-7538,81.5751075,94.8024255,61.978882,38.470254,16.236583,9.976197,0,23.8567085,11.932272
2,nbis-gene-7539,20.552670499999998,49.451015,60.702938,48.512648,58.18508,21.074998,0,40.999643500000005,90.505203
7,nbis-gene-754,1.2784445,4.549125,6.42317,8.711796,7.096773,5.436564,0,5.7909695,5.724177
1,nbis-gene-7541,6.3673635,4.498482,2.196876,5.416074,1.587002,2.962683,0,1.621577,1.134228
1,nbis-gene-7546,2.7752705,9.344652,0,6.172828,3.411736,5.25433,0,1.2337405,6.589485
1,nbis-gene-7547,132.20728150000002,262.0370405,149.3675,152.224615,48.166444,283.065104,0,76.447157,92.800176
1,nbis-gene-7550,25.021059,27.5497865,37.781103,22.963348,68.457149,24.171234,0,40.347147500000005,25.145372
1,nbis-gene-7551,3.419525,5.659839,0.091977,2.176894,0.597601,2.251237,0,0.313588,0
1,nbis-gene-7552,89.3872185,106.9209835,122.940196,76.415875,97.262409,26.96851,0,59.634688000000004,54.03002
5,nbis-gene-7555,0,0,0,0,0,0,0,0,0
1,nbis-gene-7556,11.167478500000001,12.6104615,29.380177,27.6359,17.347877,12.78743,0,26.2737385,13.029465
2,nbis-gene-7558,5.383933000000001,11.941189999999999,17.975794,6.599387,10.037666,2.825977,0,7.1449885,7.021465
7,nbis-gene-7559,3.192159,3.259398,1.242264,1.66618,0.732745,0.69266,0,0.8139105,0.389275
8,nbis-gene-756,4.240502,4.4105215,7.917104,15.511145,10.810277,3.673721,0,12.102323499999999,15.414386
4,nbis-gene-7561,33.0139015,46.015852,28.678414,38.469186,18.956027,20.197802,0,24.483023,39.935187
4,nbis-gene-7562,5.8241060000000004,7.866191000000001,10.815177,19.091128,29.858968,9.955806,0,19.966073,20.082634
1,nbis-gene-7563,22.5045485,25.041286,23.645312,26.888181,16.400461,17.728462,0,14.979545000000002,21.674997
1,nbis-gene-7566,3.2809575,3.5251194999999997,9.838295,13.69257,17.729096,2.51154,0,10.039152999999999,5.00297
1,nbis-gene-7567,101.798415,163.7172735,207.984123,134.008357,144.758391,97.082199,0,146.15961950000002,157.065718
1,nbis-gene-7568,2.9427085,2.092606,1.279607,9.08439,1.20645,5.902851,0,19.586805,3.978091
3,nbis-gene-7571,16.258401499999998,7.690317,16.281171,11.048569,6.044479,6.974604,0,9.1177795,6.826192
1,nbis-gene-7573,36.645688,39.060651500000006,34.553898,48.688977,29.762077,26.698317,0,27.682834,25.992299
1,nbis-gene-7574,4.888126,4.427306,1.482172,48.306339,3.32615,2.212401,0,6.518917,3.307451
2,nbis-gene-7579,23.2334515,15.9253145,25.926282,33.848028,16.47437,37.597697,0,17.0893455,11.705854
8,nbis-gene-758,15.0394615,10.600867000000001,26.844131,33.699333,12.766932,19.704078,0,16.3523535,13.408685
1,nbis-gene-7580,0,0,0,0,18.23362,0,0,38.926108500000005,6.367249
5,nbis-gene-7581,18.469683,18.3653105,15.259701,23.074386,34.050661,9.278797,0,32.467517,12.181153
2,nbis-gene-7582,11.737300000000001,9.543027,0,0.099153,0,0,0,0,0
1,nbis-gene-7584,0,0,0,4.460308,0,0,0,0,0
7,nbis-gene-7585,5.434874499999999,4.590361,4.502715,4.989131,5.192722,2.486726,0,4.442083,5.898487
7,nbis-gene-759,3.1713385,2.6342214999999998,0.53181,21.424317,1.07833,0.42821,0,0.9243605,0.601838
1,nbis-gene-7599,0.3880935,1.2833670000000001,0.353976,1.272179,0.225691,0.711102,0.3652825,0.127747,0.982962
2,nbis-gene-7601,26.6546175,15.201704,11.859404,6.912315,7.188771,4.330381,0,9.2564975,8.30078
2,nbis-gene-7602,6.1598635,9.516565,4.485675,6.698776,1.796279,4.820726,0.058167,4.1857500000000005,1.651481
8,nbis-gene-761,18.768628999999997,18.756915499999998,7.333137,11.867406,6.094785,1.768378,0,4.953692,7.412391
7,nbis-gene-7612,3.670954,2.8963505,12.093563,13.285391,15.832095,5.239104,0,12.610702499999999,11.762827
6,nbis-gene-7613,9.289717,13.8671625,15.259251,14.419572,18.83832,10.223223,0,10.480385,24.003001
1,nbis-gene-7614,6.6037435,3.490135,2.701588,4.206348,6.962344,2.15619,0,5.2781234999999995,4.904078
7,nbis-gene-762,0.9165435,2.4548945,7.416304,3.237972,8.458256,3.233822,0,7.1973994999999995,5.80546
7,nbis-gene-7622,5.8719295,0,0,14.058244,0,0,0,0,0
2,nbis-gene-7623,179.801888,109.390433,137.644892,107.580883,122.229782,95.671432,0,127.3773125,106.449448
1,nbis-gene-7626,7.508121,1.5022105,3.924331,6.764088,4.507167,0,0,0.976507,11.266954
