rank,gene_id,f_immGA,f_matGA,matSP_holdfast,matSP_meristem,matSP_stipe,matSP_vegfrond,matSP_frond_sorus,matSP_sporophyll_sorus
1,nbis-gene-17979,0.0135515,0,9.639735,81.481954,38.696382,8.192897,24.311198,19.337008
8,nbis-gene-1798,26.298201,0,0.8325365,2.520858,0,1.49859,85.596903,29.321575
1,nbis-gene-17980,9.260950999999999,8.96633,0.9052935,4.569908,1.949223,2.665558,17.267426,16.240634
2,nbis-gene-17981,7.171431,48.20766,23.483579,20.295571,27.819492,32.490047,13.493125,12.755894
2,nbis-gene-17982,811.630044,0,2.069093,11.216391,21.703566,20.270555,10.878142,15.207019
2,nbis-gene-17983,5.015778,0,8.82084,18.248139,18.219671,2.470523,39.489339,40.087238
1,nbis-gene-17984,9.781713,13.212931,26.183072499999998,27.051145000000002,16.288619,5.594542,33.359321,32.028567
1,nbis-gene-17985,11.410232,0.794873,10.386906,27.21463,30.988348,47.27924,77.27818,56.250966
1,nbis-gene-17986,0,0.031703,0.010302,0.016648,0.019551,0,10.289199,16.377823
1,nbis-gene-17987,73.875021,256.324928,22.9657345,18.780314,16.228575,24.940715,27.135292,35.501657
1,nbis-gene-17988,28.5207975,152.162576,20.269539,21.662115,14.719326,18.53571,19.240984,19.860863
1,nbis-gene-17989,9.133899,93.957841,10.010114999999999,36.491435,38.025575,31.683064,26.158125,27.349908
8,nbis-gene-1799,6.919385,0,0,5.104764,1.596588,1.38536,31.568892,33.435174
1,nbis-gene-17990,1769.143311,1043.708493,66.0087475,104.433686,73.97539,124.505469,824.021466,550.285143
2,nbis-gene-17991,0.9349939999999999,0,3.8283555,11.011639,11.11039,12.24148,37.981329,31.455255
1,nbis-gene-17992,9.3296505,3.968833,1.9651454999999998,8.944829,10.59323,9.95805,20.102595,17.110356
1,nbis-gene-17993,1.317971,0,0.40332100000000004,4.114962,3.094825,7.366014,9.56922,8.200193
1,nbis-gene-17994,1.09367,4.752315,2.1658895,6.090235,7.441807,10.136305,11.512195,12.935542
1,nbis-gene-17995,3.078384,21.924997,13.517827,17.153403,14.703337,15.23111,27.784413,30.960478
7,nbis-gene-17996,8.25778,0.206375,29.480151499999998,60.14821,53.822274,92.109767,149.820579,85.820105
7,nbis-gene-17997,4.9046804999999996,0,34.8211235,74.439689,115.255049,70.087531,39.026437,66.963506
1,nbis-gene-17998,4.7219125,0,10.1392965,35.097063,31.424079,15.283889,64.160702,58.176119
2,nbis-gene-17999,2.239466,3.507051,4.716704,17.604711000000002,14.343999,13.957733,24.632719,25.681598
8,nbis-gene-18,26.5758985,1.379692,3.02079,5.199695,2.120478,1.210861,12.528497,9.742408
8,nbis-gene-180,8.2116655,0,6.827804499999999,11.821984,9.051197,18.777038,40.932064,37.454756
7,nbis-gene-1800,5.446346,13.363882,4.1471754999999995,22.985021,16.285102,24.335486,35.122362,32.760361
3,nbis-gene-18000,51.752069500000005,0,0,0,0,0,3.351733,0
1,nbis-gene-18001,1.921612,5.823557,2.1532885,0.632819,0.829405,0,2.444333,2.721449
7,nbis-gene-18002,4.1482755000000004,0,0,2.786427,2.341826,4.846696,9.51548,6.567231
