PS,GeneID,gamete,E1,E2,E3,E4,E5,E6,matSP
1,dis_TRINITY_DN7469_c0_g3,148.772315,217.745498,261.720464,232.89018900000002,197.564708,186.12373250000002,173.87949600000002,152.9760735
8,dis_TRINITY_DN7471_c0_g1,195.2941945,225.66561,191.558269,171.9872285,180.910373,173.8735565,161.129967,159.733291
8,dis_TRINITY_DN7473_c0_g3,192.501216,164.123354,157.470799,220.836617,167.012138,242.60472099999998,142.0416,162.5755125
1,dis_TRINITY_DN7480_c0_g1,133.096554,132.206076,132.282934,130.78877699999998,130.990023,130.7332145,467.348275,133.920099
6,dis_TRINITY_DN7507_c2_g2,578.4463989999999,669.028034,930.898075,1488.489783,1817.554628,1616.601252,1475.824373,620.2706284999999
1,dis_TRINITY_DN7519_c0_g6,155.089699,362.901121,393.415495,215.8836395,196.13393,198.58353699999998,191.001679,171.9338715
1,dis_TRINITY_DN7527_c0_g3,242.7278495,283.788542,196.919848,264.8514465,240.671136,230.03864199999998,214.480897,188.360309
8,dis_TRINITY_DN7529_c0_g1,181.2820575,294.36637099999996,218.853414,189.5429395,188.439333,166.7400075,173.924805,187.3226115
8,dis_TRINITY_DN7529_c0_g5,130.50232,130.635264,134.363264,185.8069785,167.728551,146.23875249999998,177.597038,218.5123185
6,dis_TRINITY_DN7550_c0_g1,165.978025,341.834814,429.412535,201.1457405,183.976186,166.0047995,162.249555,165.57800650000001
8,dis_TRINITY_DN7578_c0_g1,183.992567,198.962568,162.633011,191.9233505,232.960571,244.9952955,267.481517,255.110767
1,dis_TRINITY_DN7609_c0_g1,214.69358999999997,201.86277,181.423473,160.8392675,163.517861,154.5675235,150.01163400000002,158.28720199999998
7,dis_TRINITY_DN762_c0_g1,1110.9962564999998,131.029743,131.265963,130.306993,130,130,130,130
1,dis_TRINITY_DN7657_c0_g1,296.3949075,137.155573,136.445311,133.40263950000002,130,131.7745675,130,130.3951725
1,dis_TRINITY_DN7667_c0_g2,135.614201,182.032649,199.247578,237.65975650000001,203.327627,187.805493,174.363608,141.95301899999998
4,dis_TRINITY_DN7668_c0_g1,570.040834,131.388761,130,130.6323665,130,130,130,130
1,dis_TRINITY_DN767_c0_g1,394.795333,879.549981,1015.161051,1002.7234189999999,967.967045,717.6744645,688.611283,655.376845
7,dis_TRINITY_DN7694_c0_g2,225.573063,243.550797,344.527565,265.8782235,271.465833,259.9424045,270.920611,267.96288200000004
