PS,GeneID,gamete,24H,48H,1w,3w,4w,matSP
8,ser_TRINITY_DN1_c2_g2,23.920557058730886,22.310107754110017,22.51730449010272,25.81022642287355,29.309544094031896,27.916112945752314,30.16568202444626
1,ser_TRINITY_DN10004_c0_g1,12.689780159640277,12.698554917784938,12.588190040669073,12.244678190952998,12.372779396724084,12.387756374743573,12.73406741775777
1,ser_TRINITY_DN10009_c0_g2,26.839599829356622,37.08232883733167,42.5809526490425,46.26144393552799,58.49015608630225,64.20773902731663,51.88609469308709
1,ser_TRINITY_DN10017_c0_g1,12.513570094101842,12.524461824765167,15.772345370933264,12.343342942655365,13.362676977312592,14.25106704776874,11.999695433634972
5,ser_TRINITY_DN100298_c0_g1,22.344174867289237,21.38908427212348,21.415468591651223,18.201007252347328,20.577621898557666,19.08634134662796,26.228637440782165
1,ser_TRINITY_DN10030_c0_g1,12.183336899224283,15.218867139179578,17.390851114882214,13.416563792566262,12.829657828640638,13.160887470075869,12.37865024952236
1,ser_TRINITY_DN100337_c0_g6,12.65599543694608,15.527567001948501,17.875775185988438,13.79707947356976,14.425662827059282,14.833391250823258,14.249371056295784
1,ser_TRINITY_DN10034_c0_g1,14.843344383931809,14.67556015966682,15.00492627439402,14.084564530009438,15.290609569274862,15.628005982850148,14.844897187249227
1,ser_TRINITY_DN10037_c0_g2,15.183914580897774,16.474583029624757,18.03485460157636,16.600679504164884,16.514586280013194,17.812012210864893,15.303324753137796
1,ser_TRINITY_DN10037_c0_g4,12.928061513622218,14.002280242874729,14.016772506536588,13.210917076418275,13.42131208190913,13.48834003871492,12.667178612461418
1,ser_TRINITY_DN1005_c0_g1,18.077105562008537,22.761200934924325,25.664861776366536,29.963698453295113,37.97047778208749,33.11303984837393,42.41269566415226
8,ser_TRINITY_DN10052_c0_g6,12.755953825567103,12.55243283192545,14.027393343027065,13.247330750003941,15.09665197982652,18.332420216654427,12.58915086493128
7,ser_TRINITY_DN10064_c0_g1,15.215082106252336,17.264278814940404,18.927574131409443,20.090922950427142,33.365446542793336,30.745177036406865,23.227163451441935
8,ser_TRINITY_DN10068_c0_g1,12.256232353378424,12.179930664827284,14.479385639591206,14.419858043684064,12.985683616968343,13.04760901468158,12.680593834675093
1,ser_TRINITY_DN100695_c0_g1,11.809922925235371,11.935357807791101,12.181690892482866,13.550222765696512,12.094513053447004,12.316053345126432,12.766843306001684
8,ser_TRINITY_DN10078_c0_g1,11.933647996316967,17.38040868334229,20.545046239909027,19.629863499270698,25.692515310883827,34.06310222219931,17.29665768291666
1,ser_TRINITY_DN10079_c0_g1,81.9228709000118,60.14200371620487,63.74095356205459,47.38618921162579,42.108828314262084,39.064773197856915,39.57898698804708
1,ser_TRINITY_DN100907_c0_g1,13.397355224073145,17.214095619578742,20.36128540883409,18.111193831440268,17.297414864655355,17.164944771248173,14.864628754193628
1,ser_TRINITY_DN10098_c0_g1,14.512071647425119,14.589863878734441,13.543351930006102,13.39390880213838,13.6143380301798,14.402634758959904,13.699351499249882
1,ser_TRINITY_DN10103_c0_g1,12.030131670102367,15.433473912246717,16.73145415079036,12.928598261219195,12.340269729629089,12.649161197486576,11.906207876565906
8,ser_TRINITY_DN10106_c0_g1,116.1285162503164,137.6397654204627,51.45779966632852,12.493874098933444,11.801318655133416,11.823346945767936,11.81340327763342
1,ser_TRINITY_DN10111_c0_g1,12.794394299848665,15.715070060295627,19.91412659395335,16.332421743268817,16.273192526360646,17.047868840415212,14.558007195354726
6,ser_TRINITY_DN10116_c0_g1,14.82884275660107,19.054999422723686,16.614034534091953,14.084391396151982,14.146930727193089,14.867467672741045,13.214337043529651
1,ser_TRINITY_DN101175_c0_g2,12.24576032755827,12.650244464041002,13.278528834174363,13.902231583454506,13.548226120049812,13.225317349689572,14.03336385190664
7,ser_TRINITY_DN10129_c0_g1,13.036952404607451,15.972438010523001,16.214877844128214,15.12320538113531,16.985249924566904,18.704149405947334,12.307665822567657
8,ser_TRINITY_DN10138_c0_g1,12.377913858966703,11.94892447042829,12.695995845147399,14.773880126764261,14.881815514244222,14.38604090776889,12.711532185381904
1,ser_TRINITY_DN10138_c1_g2,12.01735796670799,12.702958867917348,12.988187902860044,12.882404589206162,12.728109168293615,12.689501408644865,13.037929551888215
8,ser_TRINITY_DN10168_c0_g1,20.377141617508574,14.755915593415407,12.425141307043555,11.799362567528807,11.826482105850411,11.804790764770038,11.897731464443128
7,ser_TRINITY_DN101719_c0_g1,12.540915337406595,14.47592563534367,13.802495879369065,12.847219777056823,13.565144488725508,14.084057902465469,12.81791236902484
8,ser_TRINITY_DN10191_c0_g1,12.347777269614156,11.921660580640602,12.322546632088677,13.14794105554174,13.431557132365555,12.730735171230293,12.963292868712024
7,ser_TRINITY_DN10212_c0_g1,14.900036593914795,12.424802050737066,12.457091915852592,12.92153326815359,13.253024145454502,13.9945037068129,14.168114024103561
8,ser_TRINITY_DN102228_c0_g3,13.741106942309997,14.93068200049817,17.75837886745296,15.814341307812981,14.228390738238812,15.699423842931306,13.302575671650962
1,ser_TRINITY_DN10233_c0_g1,13.457298874588467,20.695028630084085,22.549396577292264,21.733497325557153,22.123803425270257,23.576001781472616,20.167782401642476
8,ser_TRINITY_DN10244_c0_g2,12.108478021617746,18.22699539145166,18.174998789546038,13.718937057950226,14.012134741002171,14.851415084092155,12.800934008891694
8,ser_TRINITY_DN10247_c0_g3,12.273386737164278,11.821606912767825,11.897582086289633,11.946429550288236,12.352665785165565,12.115944247148054,13.373353468745227
8,ser_TRINITY_DN10250_c0_g1,12.892634059803296,12.852670111692746,13.325740786162697,12.771354509213186,13.12933166615879,13.750505081632456,13.555095481035904
8,ser_TRINITY_DN1027_c0_g1,11.822747840497994,14.146203907762676,14.056904282237964,13.749129463351489,14.055042262476482,14.646819552380647,12.212871611541653
7,ser_TRINITY_DN102704_c0_g1,13.56865894257793,15.02934702507065,14.274337287594125,12.822721629981679,12.355060218388253,13.017196933287904,12.950373546736017
7,ser_TRINITY_DN10283_c0_g1,15.530179120023053,13.895879605120362,12.144756708143642,12.228947379067424,12.701765113558036,13.356503172612209,11.956411815423555
7,ser_TRINITY_DN10292_c0_g1,11.802184585914592,26.05627060805134,23.274333245014773,14.9421309055971,13.382016514711077,12.754136819087366,11.824059582055563
