PS,GeneID,gamete,S1,S2,S3,S4,S4.5,S5,matSP
7,dis_TRINITY_DN100_c0_g1,8.04154145631946,7.758177314303984,7.752226255704836,7.953356632806635,7.834206359901854,7.416410559045186,7.749436325999767,8.29741871393898
1,dis_TRINITY_DN10021_c0_g3,8.04134229608607,8.16918374168248,8.242930195028057,8.378572591870494,7.784574748369544,7.877624547912536,7.757314767232716,7.7242371360922455
7,dis_TRINITY_DN10021_c0_g5,7.251054239466538,7.480505874323221,7.345560007103546,7.749270043241524,8.148325410324373,8.241301879550539,8.096797215810641,7.503480193014428
1,dis_TRINITY_DN10032_c0_g1,9.737764273600387,10.49137238941287,10.449435705903921,11.887841971091492,11.439097826349876,11.627032872248229,12.050145386590918,11.651923993464525
2,dis_TRINITY_DN1004_c0_g2,7.123340214579952,7.52158907084944,7.712736315318521,7.598121695740956,7.6597853898287545,7.576564780235714,7.558913808742971,7.522818666899007
1,dis_TRINITY_DN10045_c0_g1,8.99169120824871,7.7586669234800105,8.454926666806674,7.9306598438373666,7.684643578582085,7.2767127466386325,7.43014563060402,7.027788989810159
1,dis_TRINITY_DN10051_c0_g1,8.538057379820899,8.836294086792924,8.654828574297811,8.655135946711127,8.835202476844685,8.890383910853481,8.720953710192378,8.431787752136813
3,dis_TRINITY_DN10059_c0_g1,7.546647510310446,7.484321542616788,7.538075778411026,7.828202541925982,7.445844514993399,7.3350705858784595,7.521156892980986,7.300103219113064
7,dis_TRINITY_DN10059_c0_g2,7.494092571999876,7.78278144449199,7.813404771832491,7.8497675823849145,7.42237948331646,7.259453424680471,7.200809667563599,7.093762718753088
1,dis_TRINITY_DN10061_c0_g1,6.991116309580335,6.9886846867721655,6.9886846867721655,6.9886846867721655,6.991951008104246,6.991328132129825,7.139591665441665,6.990715871553273
1,dis_TRINITY_DN10067_c0_g2,7.036733132316646,7.078643551407265,7.160649697831232,8.641579153687658,7.5828405625018975,7.445481632256371,8.173564097030878,8.0203113704895
1,dis_TRINITY_DN10080_c0_g1,6.9886846867721655,6.9886846867721655,6.9886846867721655,6.9886846867721655,6.9886846867721655,6.9886846867721655,7.070192704356516,6.993902889230814
