PS,GeneID,meiospore,immGA,matGA,oldGA,gamete,earlyPSP,immPSP,matPSP,mitospore
8,Ec-11_001350.1,3.976154800809445,2.632089854089332,2.900289640708321,2.512655766315792,0.7621115403928745,3.3160018848004293,2.7002438778747373,3.250262450941462,0
2,Ec-11_001360.1,6.580201744627592,5.521173244881925,6.0932419121515276,7.195345439935458,0.9054529253362651,7.643137739174926,6.34253001569563,8.588991035040147,0.28617389818080896
1,Ec-11_001370.1,0,0.32199223593124104,0.4038898364653411,0.810382008684793,2.7351683677609318,0.9594584409967948,1.0977704678119193,0.32757747175286644,0.3562471052513971
4,Ec-11_001400.1,0.325680825348991,4.244569942879961,3.7533465067856446,4.057825279629472,0.3088300503513219,3.01908620281038,2.119666483199657,3.2654730132095717,0
1,Ec-11_001410.1,0,3.361979625161342,2.1955511836438704,1.8869427654277169,0,0.7844274982431455,0,0.6838435493590621,0.45982822879853735
1,Ec-11_001430.1,0,1.4141085531174755,1.6519113172322537,2.8456696927085545,0.19171071957509314,1.6075549757317789,1.9479132424212326,2.108618267966016,0
2,Ec-11_001450.1,1.6133852608723063,3.075866219457537,3.1652296915073954,2.892940718369459,1.7270188186583262,3.1931816421869894,1.7099538005455002,2.6797878647385507,5.254933919660646
1,Ec-11_001460.1,16.120561745795335,7.031748502328564,6.739163820534414,8.218926998094094,6.803436190631907,9.274076503889754,6.302090764182947,8.766950210877212,0
6,Ec-11_001480.1,5.214358541565779,5.430714225587644,5.801695958941661,6.16174926461634,9.907144492738562,6.366777403050934,3.5502298517138295,5.488552085933047,15.73356855579814
1,Ec-11_001510.1,5.175030821164257,2.8811171444424124,3.2213712918569324,2.8062724386630746,1.0761510117079294,0.5468912140453529,0.33171674663785067,2.574583267249284,0.1337927501772798
1,Ec-11_001540.1,0,2.437715323822698,2.456422194981962,2.9760436824751078,0.2033617466486753,3.1407608950698553,1.701498457242909,2.986847836767049,0
7,Ec-11_001560.3,1.8398209151979983,1.411536396980255,1.4263106253547997,2.1121825205223153,1.1602857406690819,1.6174915764850213,1.7767765757123206,2.351337917016608,0
1,Ec-11_001570.1,14.467721036846129,3.7281579902144704,3.8866884361883187,4.799473929505191,29.10171909011562,4.980296878701108,5.266459626732175,4.644243533666167,33.320129058873704
6,Ec-11_001580.1,4.888908671677147,5.301249569676945,5.644988573947693,4.833898840480632,0.9660383015181127,7.9410969645257445,4.729022203373547,4.238661463245207,0.35198579516793005
