PS,GeneID,meiospore,immGA,matGA,oldGA,gamete,earlyPSP,immPSP,matPSP,mitospore
1,Ec-27_004470.1,10618,11560,11558,11546,10928,11552,11551,11553,10769
1,Ec-27_004480.1,7898,10087,7909,8650,7230,10051,10060,9663,3707.5
1,Ec-27_004490.1,3333,7340,6522,7181,9851,6670,8657,7295,3707.5
7,Ec-27_004500.1,3333,3087,4124,5809,8547,3285,3650,2891,8791
1,Ec-27_004530.1,3333,2627,1166,1477,1479,3564,2070,2504,3707.5
1,Ec-27_004540.1,6766,2673,4798,3935,3563,2977,4950,2254,3707.5
1,Ec-27_004560.1,7570.5,2765,4914,1886,11237,3596,4406,3221,11121
7,Ec-27_004570.1,3333,3441,4863,5703,2597,4618,2457,4469,8756
1,Ec-27_004580.1,7782,11007,6645,8415,7904,10758,10901,10824,11191
4,Ec-27_004610.1,7565,5493,7485,7036,11244,7044,5965,6414,9750
1,Ec-27_004620.1,6902,5788,5755,5122,5639,5892,3888,5548,8599
1,Ec-27_004630.1,7342,8445,9500,6486,5173,5408,6065,6135,3707.5
1,Ec-27_004640.1,3333,5682,7083,7319,5117,5938,5456,3735,3707.5
1,Ec-27_004650.1,3333,7775,8399,9194,10035,8576,8752,8310,3707.5
1,Ec-27_004660.1,3333,2332,4957,1829,2398,1361,2561,4623,3707.5
1,Ec-27_004680.1,3333,5707,5495,5553,3998,7117,6708,4311,3707.5
1,Ec-27_004690.1,3333,7410,7986,198.5,451,306.5,9137,3704,3707.5
1,Ec-27_004700.1,3333,7337,7854,7394,8196,7078,6407,8407,3707.5
1,Ec-27_004710.1,3333,6034,6807,5522,9534,6029,5276,5428,10246
2,Ec-27_004720.1,3333,6918,9356,9216,10609,5003,2785,7208,3707.5
7,Ec-27_004730.1,6999,7592,7425,8135,6223,8539,8992,5777,3707.5
7,Ec-27_004740.1,3333,7550,7376,5896,3391,5945,6593,7648,3707.5
3,Ec-27_004760.1,3333,3993,5383,2972,10578,2327,7867,7421,3707.5
1,Ec-27_004770.1,10642,7054,6251,9085,10371,7998,8081,6249,10526
2,Ec-27_004780.1,11188,6232,5270,6741,2147,5628,5922,4592,8328
1,Ec-27_004790.1,3333,214.5,185,2588,451,3274,344.5,5183,3707.5
1,Ec-27_004800.1,3333,7205,8739,8759,4438,7262,8370,6480,3707.5
1,Ec-27_004820.1,10451,10530,10748,9642,5885,9635,9264,8423,3707.5
1,Ec-27_004830.1,3333,5391,6025,5763,2548,4454,4157,7173,3707.5
1,Ec-27_004840.1,3333,2391,1787,2842,3609,3080,3426,1392,3707.5
1,Ec-27_004910.1,3333,8603,4980,5106,5107,8234,6947,7929,3707.5
2,Ec-27_004930.1,3333,5326,5421,7237,4126,6783,6681,4376,3707.5
1,Ec-27_004940.1,3333,722,3059,3633,4646,3666,1733,1572,7464
1,Ec-27_004970.1,9546,8835,643,1215,5334,6206,9651,4012,9236
1,Ec-27_004990.1,3333,4143,2493,3389,5827,4465,3588,4897,3707.5
2,Ec-27_005020.1,3333,6327,6443,6951,3541,7854,6545,6622,3707.5
1,Ec-27_005030.1,3333,8963,7169,7093,7450,8049,8157,9883,3707.5
10,Ec-27_005040.2,3333,1091,7389,8880,2108,306.5,1200,3089,3707.5
1,Ec-27_005070.1,3333,3403,10909,11022,10495,9768,7784,9847,3707.5
1,Ec-27_005090.1,3333,3316,2884,2721,3749,2971,4600,1375,3707.5
1,Ec-27_005100.1,3333,1786,1147,2458,1724,3532,2100,2503,7689
6,Ec-27_005110.2,3333,8278,6389,4632,4831,4949,5951,2920,3707.5
1,Ec-27_005120.1,3333,5287,9203,6847,8453,2215,5302,4276,3707.5
5,Ec-27_005130.1,3333,10808,9420,10031,7381,9731,10900,10363,3707.5
