PS,GeneID,gamete,S1,S2,S3,S4,S5,matSP
8,ser_TRINITY_DN1_c2_g2,9.668442205069216,8.470700006607032,8.27105550024099,8.822707865863938,9.052026818925494,8.824870259500752,9.444214944688152
1,ser_TRINITY_DN1_c4_g6,-0.42413534230729677,-1.054714839872588,0.6702371440294943,1.1124428633747399,-1.0469080524060956,-0.23325050122635338,1.0976951033453004
2,ser_TRINITY_DN100_c0_g1,3.001390755692543,0.9269003397289559,2.693454801707292,2.896630529229111,1.5348991451667702,1.7327457211167068,0.6475689148055789
1,ser_TRINITY_DN10004_c0_g1,4.825230005910225,4.153380148209316,3.7307976736928605,3.2727888921493755,3.4916525263461846,3.3849667682569153,4.610415544826271
8,ser_TRINITY_DN10005_c0_g1,2.4954674647286614,2.722009548046426,2.9184379549139434,2.679710172913799,2.8561128969532175,2.9126029981218102,2.9950606864666414
1,ser_TRINITY_DN10006_c0_g1,3.813007789358517,4.108648108823799,3.6598718076598313,3.8229112492667072,3.817743340048788,4.002955616745687,3.2688437977008884
1,ser_TRINITY_DN10008_c0_g1,1.7242402948832538,3.0160581028591107,2.5087848082674165,2.7310706820144053,2.484897682020714,2.686624727945339,2.3933708892105194
1,ser_TRINITY_DN10009_c0_g2,10.167292384645444,10.253976542767095,10.324941381485196,10.6691918777729,11.065683385392433,11.12405798256339,11.232023728667262
1,ser_TRINITY_DN10014_c0_g1,2.7016123790715225,-1.8487769350256726,-2.0050205931579175,-1.8679738600938418,-1.9147623395440108,-2.0137737714649324,-1.5578512535115943
1,ser_TRINITY_DN10017_c0_g1,4.8705264587666415,3.8444053814625927,5.871027845618723,3.4033235803100017,4.825759764276205,5.191659747343888,2.7117983010406883
8,ser_TRINITY_DN10024_c0_g2,1.8785424146840541,1.8223763340018526,2.0049764886091825,2.235535882563434,2.480825803754729,2.6329413009517126,2.4522009467381722
5,ser_TRINITY_DN100298_c0_g1,8.319423180891217,8.12942111197459,7.9173712110842605,7.578874614398221,7.919605335073603,7.545229217149135,9.175075853920106
1,ser_TRINITY_DN10030_c0_g1,3.992946701316879,5.979938131382262,6.443530654008574,4.9413320694085305,4.288781805183268,4.508233931695694,3.9582617918935137
1,ser_TRINITY_DN10032_c0_g2,2.5462240054195253,5.255093063596721,4.61788499003208,4.006806730312532,4.065417804487105,3.8817454407136394,2.820198743910304
1,ser_TRINITY_DN100337_c0_g6,4.186298463792618,6.295764932378181,6.723162919501721,5.447630298993811,5.7066438760016975,5.790625831392742,6.227128323823262
1,ser_TRINITY_DN10034_c0_g1,7.09251408048485,6.0391125014076845,5.9109204921133855,5.701238478708943,6.164817881847567,6.059920767370293,6.443473211760008
8,ser_TRINITY_DN10037_c0_g1,3.2123178032284074,3.3386632389043904,2.9498845245584526,2.706703853837784,2.5864937961999037,3.0548500660622735,3.1137163121550766
1,ser_TRINITY_DN10037_c0_g2,7.106439171947168,6.769898432676282,6.888767511961812,6.772203674368314,6.696979109996291,6.82637196432058,6.684657140419803
7,ser_TRINITY_DN10037_c0_g3,2.8294986995658062,4.661503583166596,5.4430448228805,3.7817635696511496,2.4010655351036405,2.49517400929557,1.8415524751852135
1,ser_TRINITY_DN10037_c0_g4,3.852674622771575,5.397151896724066,5.137424604827846,4.798838722392684,4.879434183868844,4.7577551840268875,4.75985414675579
8,ser_TRINITY_DN10038_c0_g1,2.2756596178811708,3.6260259144815246,3.7101744942997423,3.505250781862934,3.133628339671835,2.9675745646636567,2.39490781717607
7,ser_TRINITY_DN1004_c0_g1,3.1080169554840427,5.394952595125265,4.535519508249803,4.832712730746984,5.07201937999904,4.988720717924664,3.959424599386898
7,ser_TRINITY_DN10045_c0_g1,2.704901976632893,5.610245066845257,4.745763806096565,3.9347910405885287,2.896411730303706,2.9926247236594015,3.092897987083241
8,ser_TRINITY_DN10049_c0_g1,0.5168010713251133,-1.9054112994298715,-2.0542122118055555,-1.9236937692535965,-1.9682534557975682,-2.0625484280324473,-1.6461575733516454
4,ser_TRINITY_DN10049_c0_g2,1.074517392306122,-1.8751447140841335,-2.0320227749017823,-1.8944195852331875,-1.9413980419110008,-2.040811494106202,-1.6018182864596904
1,ser_TRINITY_DN1005_c0_g1,8.684880453327294,8.739226209397554,8.814647083110444,9.3815204867106,9.863795614714004,9.460760820239614,10.493229063826004
8,ser_TRINITY_DN10052_c0_g6,5.306274381719436,4.127362133458184,5.18978789622753,4.847156934620207,5.865036304779947,6.739963791718237,4.689021590479906
8,ser_TRINITY_DN10055_c1_g4,0.6475002830715716,2.831697856648994,2.689410452943412,3.8638159083503254,4.165642405510428,4.17601400007956,1.3630762962419989
2,ser_TRINITY_DN1006_c0_g1,2.2902806933723308,3.641212840164001,3.247235212380547,3.30822927341077,3.0397400392395126,3.0685142927701605,3.1774378014552447
8,ser_TRINITY_DN10060_c0_g1,2.751678909236589,-1.5722311413271277,-0.48506313977304905,-1.582539766464504,-1.6406939919546493,-1.7434228442440216,-1.2703825488604008
7,ser_TRINITY_DN10064_c0_g1,7.688577178753029,7.332869983798761,7.43883854895645,7.8242464824930735,9.18723896068122,8.821432582298158,8.595372831453766
8,ser_TRINITY_DN10068_c0_g1,4.272002241931947,3.226331690768859,5.3486823924879765,5.598813841382192,4.606286641239486,4.370053200505044,4.470035621447884
