PS,GeneID,gamete,24H,48H,1w,3w,4w,matSP
8,ser_TRINITY_DN1_c2_g2,8.76219282311889,8.490814414894382,8.527590390006461,9.044852506596367,9.493954243455372,9.324876657939651,9.592397930411247
1,ser_TRINITY_DN1_c4_g6,0,0.37735811596574953,1.815869880740027,2.140761317166777,0.32618065695008885,0.5892486261974017,2.344485532167698
2,ser_TRINITY_DN100_c0_g1,4.223787077857835,1.3219806080311174,3.599770766912971,3.6381661898831625,2.3232429448765886,2.65038499769349,1.120089457478269
1,ser_TRINITY_DN10004_c0_g1,4.525475111935756,4.539363380068283,4.354912520959059,3.5767813885709048,3.9151068672229647,3.9501425111662405,4.594337922196894
8,ser_TRINITY_DN10005_c0_g1,2.197064894927198,3.205340897868258,3.6677789526595785,3.2259008052616327,3.4024182185274734,3.714974540213713,3.141596850557375
1,ser_TRINITY_DN10006_c0_g1,3.171782557332652,4.610390432885358,4.338557838293481,4.349201846887103,4.403188153740936,4.85374968960882,3.207497461551479
1,ser_TRINITY_DN10008_c0_g1,1.811187190380332,3.5268259026439677,3.3201746602355344,3.260133477574151,3.1473602696444134,3.516228761030994,2.5608101936559704
1,ser_TRINITY_DN10009_c0_g2,9.1857776597766,10.272745373224453,10.71006383010708,10.967313592568924,11.680842257209553,11.960231409154206,11.31863704076522
1,ser_TRINITY_DN10014_c0_g1,2.7098578959980153,0.2543727241365111,0,0,0,0,0
1,ser_TRINITY_DN10017_c0_g1,4.216411133516086,4.237421766784116,6.791382741132029,3.84379445277693,5.342026153506126,6.02442855104053,2.5832038660416075
8,ser_TRINITY_DN10024_c0_g2,1.445292346511229,2.4493529776151846,2.8185891305192725,2.768224984379796,3.100240137831755,3.46903273708012,2.4853829015900373
5,ser_TRINITY_DN100298_c0_g1,8.496902301045626,8.319640178105988,8.324730938934033,7.594523655978999,8.15703624494768,7.822018986578306,9.1031341453378
1,ser_TRINITY_DN10030_c0_g1,3.383178675630579,6.548651117157316,7.361432403395831,5.3924611355265935,4.733360848997828,5.137870667509043,3.928937055810287
1,ser_TRINITY_DN10032_c0_g2,2.839192397691132,5.844957435083243,5.4953331164927794,4.500132420903916,4.597275029913755,4.601194575701132,2.922184525293574
1,ser_TRINITY_DN100337_c0_g6,4.470811484619989,6.687975202055455,7.504170183039612,5.710376715154452,6.131337352820782,6.358070859268283,6.0233568409070335
