PS,GeneID,meiospore,immGA,matGA,oldGA,gamete,earlyPSP,immPSP,matPSP,mitospore
11,Ec-22_002420.1,10873,171,513,1080,629,209,296,8154,10005
6,Ec-22_002440.1,3053,8088,7883,7756,2804,8347,8501,7407,10805
1,Ec-22_002450.1,7602,1119,998,10781,7515,11300,1642,11222,10486
8,Ec-22_002460.1,9485,9879,9584,7372,2940,9078,7141,8590,3327.5
1,Ec-22_002490.1,8921,10248,10458,10161,5353,10284,10369,10522,7329
8,Ec-22_002510.1,3053,1086,951,1190,629,1211,1893,1247,3327.5
1,Ec-22_002520.1,9085,10819,10515,10214,8875,10874,10743,10645,10546
2,Ec-22_002530.1,3053,7223,7430,6977,3296,4856,4558,6437,3327.5
7,Ec-22_002540.1,10257,11113,11097,10988,6894,10765,10893,10828,8582
1,Ec-22_002550.1,6147,3075,3408,3862,1647,3324,3117,3583,7218
1,Ec-22_002580.1,3053,7846,7491,7525,5464,5569,7653,7266,3327.5
11,Ec-22_002590.1,7239,5088,8285,2930,6616,1559,1198,2415,3327.5
2,Ec-22_002600.1,9174,9726,9984,8685,4420,9425,8483,9396,7616
1,Ec-22_002610.1,9142,11438,11482,11476,8838,11528,11479,11518,11131
1,Ec-22_002620.1,11518,11121,11069,10827,7086,11062,10733,10929,11305
2,Ec-22_002630.1,11040,5819,6026,5100,2701,5530,3836,5990,10031
1,Ec-22_002640.1,3053,9567,9958,8587,5436,10659,7361,9335,3327.5
1,Ec-22_002650.2,3053,3697,3227,3670,3436,3219,3129,3364,3327.5
2,Ec-22_002660.1,11233,7999,7423,7162,9458,7891,6582,7246,8979
1,Ec-22_002670.1,11502,7153,6852,6503,8312,8079,6838,6826,8054
1,Ec-22_002680.1,10463,171,147.5,175,629,209,296,147,3327.5
1,Ec-22_002690.1,3053,4651,4174,2927,2941,3624,3743,5134,3327.5
1,Ec-22_002730.1,3053,5414,5405,1458,629,1973,5718,2392,3327.5
1,Ec-22_002740.1,3053,6019,7173,3132,629,3862,2380,5143,3327.5
1,Ec-22_002755.1,3053,1623,1822,3298.5,629,826,2103,792,3327.5
8,Ec-22_002770.1,3053,1101,1205,2909,5408,1403,1920,865,7274
7,Ec-22_002780.1,10892,3731,3101,3630,9878,3572,3919,4707,10143
5,Ec-22_002800.1,8050,9121,9035,10031,7737,9227,9673,9899,3327.5
1,Ec-22_002810.1,9983,4559,6136,3677,6052,7295,6437,6515,10275
1,Ec-22_002820.1,11258,11320,11337,11327,7861,11315,11239,11324,10720
1,Ec-22_002830.1,8214,6749,5938,7834,8029,6522,5789,5993,3327.5
7,Ec-22_002840.1,10398,882,623,912,4397,2574,1906,420,11077
1,Ec-22_002850.1,10236,6306,6901,7806,7949,5721,8458,7252,10343
4,Ec-22_002860.1,3053,11106,10951,11133,7664,11097,10623,10824,3327.5
1,Ec-22_002910.1,3053,1287,1431,2539,9991,2165,2626,1013,3327.5
1,Ec-22_002920.1,3053,5568,6731,6248,7831,7271,6258,7105,3327.5
6,Ec-22_002940.1,3053,5660,5517,5415,4396,5658,8473,4438,3327.5
1,Ec-22_002960.1,6505,2865,5109,3793,8752,7646,4670,8185,3327.5
8,Ec-22_002970.1,6613,2569,5317,1087,3983,1127,761,2562,3327.5
1,Ec-22_003010.1,10348,6385,4240,4820,10947,8842,5256,4786,10518
11,Ec-22_003020.2,11156,385,325,381,5350,544,777,550,10792
1,Ec-22_003030.1,7589,6964,7468,8852,11187,7525,7386,7784,8451
11,Ec-22_003040.1,3053,1622,3523,8708,2319,1188,6739,9519,3327.5
11,Ec-22_003050.2,11182,171,147.5,11464,8306,11415,296,11432,11404
2,Ec-22_003080.1,3053,2988,3076,4005,1763,4437,5148,2923,3327.5
1,Ec-22_003090.2,3053,4684,3574,2766,8416,1861,7637,1144,3327.5
1,Ec-22_003100.4,3053,11413,11447,11459,8302,3106,6660,9199,3327.5
1,Ec-22_003110.2,3053,2253,6965,760,7294,10605,9552,11333,3327.5
1,Ec-22_003120.1,7754,10425,10995,9297,11559,1748,870,9765,11560
1,Ec-22_003140.1,7201,897,2822,10360,4112,7171,9963,10811,9231
1,Ec-22_003155.1,3053,7192,7792,3334,1958,2333,10732,1941,3327.5
1,Ec-22_003160.1,3053,10125,10418,7594,3995,1190,11378,4810,3327.5
1,Ec-22_003170.1,3053,3866,5720,1197,2148,779,2180,539,3327.5
11,Ec-22_003190.2,3053,616,566,547,629,209,4129,438,3327.5
1,Ec-22_003210.1,6305,7637,7357,4724,6428,6387,10028,5244,7327
1,Ec-22_003250.1,3053,5403,4908,5985,5093,5863,4312,5035,3327.5
1,Ec-22_003260.1,3053,9267,8092,8813,8706,8527,8940,7456,3327.5
1,Ec-22_003270.1,3053,9190,8455,8310,4071,7917,6147,7794,3327.5
1,Ec-22_003280.1,11457,11459,11475,11522,8979,11487,11477,11502,11476
6,Ec-22_003290.1,3053,9186.5,9439,9497,4341,10178,7705,9334,3327.5
11,Ec-22_003310.1,3053,8304,8765,1237,629,3099,8081,980.5,3327.5
1,Ec-22_003320.1,8508,7113,6330,7311,7607,7974,7007,8678,3327.5
11,Ec-22_003340.1,11102,11271,11336,10050,8653,10491,11341,10202,3327.5
1,Ec-22_003380.1,3053,9582,9290.5,9996,7673,9534,10227,8835,7180
5,Ec-22_003400.1,3053,3422,5687,7788,10479,7586,5547,4557,3327.5
7,Ec-22_003405.1,3053,3798,7241,7425,10337,8564,6475,5263,3327.5
11,Ec-22_003410.2,10582,453,382,370,4484,841,957,419,11446
7,Ec-22_003440.1,7053,5771,3975,3941,10301,5783,1741,3217,3327.5
7,Ec-22_003450.1,11414,10310,9737,10234,11327,10093,9244,9021,11451
1,Ec-22_003470.1,8783,795,1220,492,3700,528,729,648,10093
1,Ec-22_003530.2,9348,7348,7559,8493,7029,8340,7405,7792,7760
1,Ec-22_003540.1,6311,3449,2569,2905,1985,3137,1724,2049,3327.5
7,Ec-22_003550.1,3053,1346,1786,1778,3099,2463,2489,2141,3327.5
1,Ec-22_003570.1,3053,7750,8168,5427,8514,7101,7602,7775,3327.5
1,Ec-22_003600.1,3053,1030,1062,4787,1679,3158,7105,2924,3327.5
1,Ec-22_003610.1,3053,8469,9107,7747,5454,6189,8276,9451,3327.5
1,Ec-22_003620.1,3053,10814,10667,10573,9176,9684,9937,11039,8189.5
1,Ec-22_003630.1,7314,1829,1998,4220,5086,2377,3688,2112,6699
1,Ec-22_003640.1,7706,4174,3971,5466,9277,6590,5188,4927,6880
7,Ec-22_003650.2,6167,3656,2863,4025,8435,6178,4329,4504,8241
1,Ec-22_003660.1,7439,2746,1514,838,4701,2415,1607,942,3327.5
1,Ec-22_003680.1,3053,1230,1088,2314,5135,1937,1882,1147,6864.5
1,Ec-22_003690.2,10476,11449,11466,11463,9243,11469,11490,11450,11450
1,Ec-22_003700.1,11560,9663,10708,10460,11569,8687,7200,10190,11562
8,Ec-22_003720.1,8124,10100,9370,10482,8449,8855,10119,10400,3327.5
1,Ec-22_003750.1,9359,10919,10987,10970,9705,11109,10901,11111,8591
4,Ec-22_003780.1,10850,8656,8060,9997,4999,6626,6840,8372,3327.5
1,Ec-22_003790.1,3053,9805,9837,10269,7963,9302,9810,9881,3327.5
1,Ec-22_003800.1,3053,2908,3127,2384,2175,3920,2874,3309,8794
1,Ec-22_003810.1,8752,8038,8350,7477,2856,9608,8898,8963,9930
1,Ec-22_003830.1,3053,2013,3011,2368,3842,4178,2457,3644,3327.5
6,Ec-22_003860.1,10920,11075,11018,10834,8549,11112,10519,10636,8599
2,Ec-22_003880.1,3053,8744,5114,1559,1941,7880,1735,3763,3327.5
7,Ec-22_003890.1,3053,2512,3098,5506,10112,4142,4711,3495,7828
1,Ec-22_003900.1,3053,1409,1126,2475,7829,2419,1464,916,3327.5
7,Ec-22_003910.1,3053,5671,3924,2752,1531,1813,2193,5822,6723
1,Ec-22_004000.2,3053,646,497,513,7601,979,1120,479,3327.5
1,Ec-23_000020.1,7302,6960,7319,3830,3639,1354,837,1188,6740
1,Ec-23_000040.1,3053,1349,2171,938,6638,1026,721,1464,9509
7,Ec-23_000050.1,9838,5596,5833,6350,10173,6595,5632,6692,9762
1,Ec-23_000060.1,3053,4822,5612,5187,5098,6286,5687,4721,3327.5
1,Ec-23_000070.1,9909,1788,1867,2523,8047,2684,2314,1641,7618
