PS,GeneID,S1,S2,S3,S4,S4.5,S5
8,dis_TRINITY_DN2158_c0_g1,133.834109,136.708363,141.442431,141.165847,134.680056,134.001752
8,dis_TRINITY_DN21588_c0_g1,159.341663,167.540759,226.1401935,206.250385,199.4868725,199.965073
1,dis_TRINITY_DN21621_c0_g1,327.495581,266.70680400000003,244.8500975,311.290566,422.163997,295.831376
8,dis_TRINITY_DN21646_c0_g1,144.097909,145.427852,154.4834065,147.798371,142.544983,148.699814
7,dis_TRINITY_DN21655_c0_g1,131.170944,134.553943,174.0123175,353.501649,397.7483155,279.00228400000003
2,dis_TRINITY_DN21673_c0_g1,174.41170499999998,235.33632,180.739292,245.360611,234.995862,178.65290100000001
1,dis_TRINITY_DN21699_c0_g3,805.147262,1348.171686,1915.62583,497.846882,499.9366155,525.788892
8,dis_TRINITY_DN2170_c0_g1,130.134684,140.641575,658.4307650000001,271.93193299999996,260.2344645,169.871821
1,dis_TRINITY_DN2170_c0_g2,130.986337,132.982138,207.4080725,253.215627,199.180641,196.597718
6,dis_TRINITY_DN21746_c0_g2,148.626808,158.910427,163.0915885,206.063452,220.0872215,200.092008
1,dis_TRINITY_DN21766_c0_g1,249.645934,219.582939,224.830115,196.840594,168.904474,174.17434500000002
8,dis_TRINITY_DN21771_c0_g5,233.737066,244.762485,219.774091,208.696274,195.0214045,174.857835
1,dis_TRINITY_DN2178_c0_g2,505.095374,1528.912568,1727.0411865,1509.716391,1029.23154,793.765468
1,dis_TRINITY_DN2180_c0_g1,279.766637,346.37947399999996,331.7469585,284.218407,324.1078475,294.234221
8,dis_TRINITY_DN21811_c0_g2,245.186573,232.793746,205.41504250000003,229.158673,205.358795,197.89467
1,dis_TRINITY_DN21824_c0_g1,236.024037,186.282831,187.469739,193.500908,189.9540655,175.560471
1,dis_TRINITY_DN21828_c0_g2,208.303455,220.73967,274.064997,224.713966,206.0620515,216.143193
7,dis_TRINITY_DN2183_c0_g1,188.339637,160.161167,142.209312,147.821667,144.506692,153.867461
