PS,GeneID,S1,S2,S3,S4,S4.5,S5,gamete_female,gamete_male,holdfast,reptip,stipe,vegtip
1,dis_TRINITY_DN1013_c0_g1,3.775131,2.531588,7.990466,6.22432,4.6495465,6.980418,12.267104,2.372486,7.239961,15.593565,20.396837,12.347879
8,dis_TRINITY_DN101321_c0_g1,4.468414,3.456787,1.467669,3.656563,2.9934875,1.285984,0.310965,1.108308,4.369779,2.977239,1.223964,2.577156
2,dis_TRINITY_DN10140_c0_g1,8.18256,5.56762,5.6080915000000005,3.983297,3.5665745,2.877365,57.471344,6.981466,7.373675,17.635562,5.544745,3.029725
2,dis_TRINITY_DN10147_c0_g1,7.633661,7.10681,6.4099365,12.80168,20.305629,5.827421,15.899368,4.79712,5.672934,17.458731,4.244811,3.713308
8,dis_TRINITY_DN10150_c0_g1,4.411003,9.539417,1.476823,0.421099,0.3193665,0.262259,0.937677,0.31579,0.26986,1.552221,0.632264,1.527736
8,dis_TRINITY_DN10150_c0_g4,9.19291,21.771435,1.8832645,1.001373,0.5583560000000001,0.276823,0.974073,0,0.234134,1.0812330000000001,0.348325,1.111886
8,dis_TRINITY_DN101555_c0_g1,1.064045,0,3.5716425000000003,7.423829,8.532367,1.378259,1.188124,0,6.575059,5.976776,5.295507,3.366144
7,dis_TRINITY_DN10156_c0_g1,0.539266,0.914645,8.443205500000001,8.608115,10.2478105,6.193209,6.549384,1.580163,13.266975,12.25162,9.667446,15.264535
1,dis_TRINITY_DN10160_c0_g1,30.265168,19.795364,28.1083535,35.265253,27.376364,27.491021,43.288879,3.24662,56.360809,62.213698,72.858037,53.268433
7,dis_TRINITY_DN10168_c0_g2,11.153343,17.499756,1.246981,0.351322,0.533402,0.818398,0.454472,0,0,4.663907,2.882008,0.51834
2,dis_TRINITY_DN10168_c0_g3,37.970765,55.221978,26.124488499999998,22.507836,20.200663,16.731129,25.527902,13.718832,38.254856,26.941228,15.621174,16.09805
1,dis_TRINITY_DN10172_c0_g1,42.977435,55.798199,86.4267585,79.536168,73.3554645,35.208333,117.334729,116.506224,68.97854,167.033993,90.447232,74.262371
8,dis_TRINITY_DN10173_c0_g1,10.960713,15.765663,7.987788,6.311647,5.772427499999999,6.576581,6.441486,1.640208,2.203832,3.048084,1.281575,3.773487
