GeneID,tau,tau_strata
ser_TRINITY_DN9090_c0_g1,0.011498895077155236,1
ser_TRINITY_DN11460_c0_g1,0.025678647490784162,1
ser_TRINITY_DN132_c1_g1,0.026638451288444248,1
ser_TRINITY_DN40287_c0_g1,0.02703874211937915,1
ser_TRINITY_DN68251_c2_g2,0.029256691958880504,1
ser_TRINITY_DN13225_c0_g1,0.033236475874677984,1
ser_TRINITY_DN53_c0_g2,0.034199387732335246,1
ser_TRINITY_DN4396_c0_g2,0.034268013698886934,1
ser_TRINITY_DN1506_c0_g5,0.03734195825540257,1
ser_TRINITY_DN4061_c0_g1,0.03999248899789545,1
ser_TRINITY_DN9030_c0_g1,0.040842748067690476,1
ser_TRINITY_DN9861_c0_g1,0.041016420782703206,1
ser_TRINITY_DN99710_c0_g1,0.04161784782720376,1
ser_TRINITY_DN2405_c0_g2,0.04203667247394591,1
ser_TRINITY_DN14334_c0_g2,0.04227984954681069,1
ser_TRINITY_DN3508_c0_g1,0.04247660855538038,1
ser_TRINITY_DN8910_c0_g2,0.04301092763088199,1
ser_TRINITY_DN23615_c0_g1,0.043131140546800645,1
ser_TRINITY_DN3964_c0_g1,0.04353920178612125,1
ser_TRINITY_DN14946_c0_g1,0.043692489659166195,1
ser_TRINITY_DN26288_c0_g1,0.044132040365326364,1
ser_TRINITY_DN11011_c0_g2,0.044660955455115114,1
ser_TRINITY_DN21044_c0_g1,0.04498255914887078,1
ser_TRINITY_DN3029_c0_g3,0.04512785553028553,1
ser_TRINITY_DN1642_c0_g1,0.04578568432302499,1
ser_TRINITY_DN9617_c0_g1,0.04610188326965031,1
ser_TRINITY_DN775_c0_g1,0.0466110256197681,1
ser_TRINITY_DN6636_c0_g1,0.04680242322930267,1
ser_TRINITY_DN28852_c0_g1,0.047174641771224546,1
ser_TRINITY_DN30966_c1_g1,0.048122514648659354,1
ser_TRINITY_DN30648_c0_g1,0.048599535061275956,1
ser_TRINITY_DN4025_c0_g1,0.05003308870919712,1
ser_TRINITY_DN1417_c0_g1,0.05035586689068669,1
ser_TRINITY_DN30833_c0_g1,0.05037322922574858,1
ser_TRINITY_DN4240_c0_g1,0.050374098287317925,1
ser_TRINITY_DN47231_c1_g2,0.050608232881097226,1
ser_TRINITY_DN51273_c0_g1,0.0507591446106698,1
ser_TRINITY_DN5280_c0_g7,0.051352809574953556,1
ser_TRINITY_DN16872_c0_g2,0.0518866002388749,1
ser_TRINITY_DN9356_c0_g1,0.051903794232663114,1
ser_TRINITY_DN123_c0_g2,0.05229198124407347,1
ser_TRINITY_DN35721_c0_g1,0.052574389578198016,1
ser_TRINITY_DN5980_c0_g2,0.05260450416210305,1
ser_TRINITY_DN1325_c0_g4,0.053723738464810405,1
ser_TRINITY_DN639_c0_g1,0.05422650613906119,1
ser_TRINITY_DN2129_c0_g1,0.05446240218578274,1
ser_TRINITY_DN28537_c0_g1,0.054477587520926296,1
ser_TRINITY_DN9509_c0_g1,0.05467461236376209,1
ser_TRINITY_DN59910_c0_g2,0.05499437449207731,1
ser_TRINITY_DN3811_c0_g2,0.0550484045572264,1
ser_TRINITY_DN14073_c0_g1,0.05541657204682002,1
ser_TRINITY_DN19574_c0_g1,0.05620829051537152,1
ser_TRINITY_DN997_c0_g1,0.05622320390701652,1
ser_TRINITY_DN11842_c0_g1,0.05633168446724346,1
ser_TRINITY_DN23783_c0_g1,0.05767634333248692,1
ser_TRINITY_DN17430_c1_g1,0.0580349184057764,1
ser_TRINITY_DN8631_c2_g5,0.058630716372721964,1
ser_TRINITY_DN57837_c0_g1,0.05876641367830357,1
ser_TRINITY_DN16003_c0_g4,0.0587685787802259,1
ser_TRINITY_DN39334_c0_g3,0.059135462944216954,1
ser_TRINITY_DN15118_c1_g2,0.0593296080607916,1
ser_TRINITY_DN73721_c0_g1,0.059479944632831905,1
ser_TRINITY_DN14121_c0_g1,0.05981752173439414,1
ser_TRINITY_DN8701_c0_g3,0.05985115246033937,1
ser_TRINITY_DN44497_c0_g1,0.059883975696013364,1
ser_TRINITY_DN2158_c0_g1,0.060229111346659925,1
ser_TRINITY_DN1431_c1_g3,0.060361225204022845,1
ser_TRINITY_DN13539_c0_g1,0.060629880201208464,1
ser_TRINITY_DN61023_c0_g1,0.06102123671386181,1
ser_TRINITY_DN52428_c0_g1,0.061287620737536186,1
ser_TRINITY_DN9613_c0_g1,0.061309137090952814,1
ser_TRINITY_DN15807_c0_g2,0.061443668287904596,1
ser_TRINITY_DN9772_c0_g5,0.06236780550013571,1
ser_TRINITY_DN3236_c0_g1,0.06237289534778345,1
ser_TRINITY_DN26635_c1_g3,0.062444429780803085,1
ser_TRINITY_DN83612_c0_g1,0.0625049858611012,1
ser_TRINITY_DN57785_c0_g1,0.06267326673145213,1
ser_TRINITY_DN3033_c0_g1,0.06293617908542265,1
ser_TRINITY_DN9017_c0_g1,0.06301547357642118,1
ser_TRINITY_DN30093_c0_g1,0.06315361931696123,1
ser_TRINITY_DN1398_c0_g1,0.06345370272600526,1
ser_TRINITY_DN4625_c0_g3,0.06362614496518212,1
ser_TRINITY_DN384_c0_g2,0.06388036163417948,1
ser_TRINITY_DN23569_c0_g2,0.06431096513669127,1
ser_TRINITY_DN9724_c0_g1,0.06434680052916536,1
ser_TRINITY_DN332_c0_g1,0.06441280870115632,1
ser_TRINITY_DN11888_c0_g1,0.06461763475136048,1
ser_TRINITY_DN12120_c0_g1,0.06466489149696278,1
ser_TRINITY_DN8359_c0_g1,0.06482707288344855,1
ser_TRINITY_DN4882_c0_g1,0.0649129878132535,1
ser_TRINITY_DN18693_c0_g3,0.06494960525463792,1
ser_TRINITY_DN1275_c0_g1,0.06500904361315532,1
ser_TRINITY_DN12160_c0_g1,0.06513366017129346,1
ser_TRINITY_DN13590_c0_g2,0.06520971386354568,1
ser_TRINITY_DN41416_c0_g2,0.06541782408188782,1
ser_TRINITY_DN37951_c0_g2,0.06567462139344757,1
ser_TRINITY_DN9319_c0_g3,0.0661210155017968,1
ser_TRINITY_DN47858_c0_g1,0.06616722523255522,1
ser_TRINITY_DN6055_c1_g1,0.06642707355613303,1
